Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
999982,11th Nuneaton (Weddington) Scout Group,51465244,R5501,Grants / Donations to External Organisations,"2,000.00",04/12/2018,Communities
208079,123 Comms Ltd t/a ParentMail,51462102,R4513,Telephones & Broadband,764.10,21/12/2018,Schools
224477,1st Class School Improvement Ltd,51461741,R4441,Professional Fees,750.00,20/12/2018,Schools
999982,1st Coleshill Brownies,51471020,R5501,Grants / Donations to External Organisations,"1,000.00",27/12/2018,Communities
999982,1st Welford on Avon Scout Group,51471230,R5501,Grants / Donations to External Organisations,600.00,27/12/2018,Communities
,2jba007535003 Ukvi,9192,,,"1,333.20",11/12/2018,Communities
223099,Abacus Training Centre Ltd,51457505,R1601,Training,575.00,07/12/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51457652,R1601,Training,575.00,07/12/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51457481,R1601,Training,575.00,07/12/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51457702,C1010,Acquisition Of New Assets,"8,490.00",11/12/2018,Capital
221450,Abbey Fire (UK) Ltd,51464025,R2023,Property Services Mechanical (LM),598.20,07/12/2018,Resources
221450,Abbey Fire (UK) Ltd,51464023,R2023,Property Services Mechanical (LM),620.30,07/12/2018,Resources
999982,Abbey Medical Centre,51472671,R5501,Grants / Donations to External Organisations,500.00,27/12/2018,Communities
231359,Abbey Offices Park Ltd,51458061,R5702,Payments to External Contractors,"2,270.00",12/12/2018,Communities
236194,Absolute Translations Ltd,51463892,R5702,Payments to External Contractors,599.96,27/12/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51468476,R5704,Public Transport,"3,390.00",12/12/2018,Communities
100068,Accomplish Group Ltd  (Freedom Care),51471250,R5806,Residential Care,"10,297.75",21/12/2018,People Group
215546,Acorn Care and Education Ltd,51462537,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462535,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462534,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462536,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462532,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462531,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462530,R6107,SEN Statements Funding,"12,517.34",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462175,R5806,Residential Care,"79,552.62",21/12/2018,People Group
215546,Acorn Care and Education Ltd,51462538,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462539,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51462533,R6107,SEN Statements Funding,"11,852.00",21/12/2018,Communities
215546,Acorn Care and Education Ltd,51464368,R6107,SEN Statements Funding,"13,515.67",27/12/2018,Communities
215546,Acorn Care and Education Ltd,51464360,R6107,SEN Statements Funding,"11,852.00",27/12/2018,Communities
215546,Acorn Care and Education Ltd,51464359,R6107,SEN Statements Funding,"11,852.00",27/12/2018,Communities
