Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
999982,1st North Leamington Scout Group,51464008,R5501,Grants / Donations to External Organisations,"1,944.00",29/11/2018,Communities
999982,22nd Rugby (Hillmorton) Scout Group,51464078,R5501,Grants / Donations to External Organisations,"1,700.00",29/11/2018,Communities
,3doodler,53797,,,703.50,23/11/2018,Resources
,3doodler,53801,,,703.50,23/11/2018,Resources
,3doodler,53886,,,703.50,23/11/2018,Resources
200014,3P Learning Ltd,51448171,R4512,Software,690.48,09/11/2018,Schools
200014,3P Learning Ltd,51448694,R4512,Software,671.33,14/11/2018,Schools
210116,AAI Sports Ltd T/A The Sports Connexion,51453337,R4409,Consultancy,"1,380.00",08/11/2018,People Group
200114,Abacus Day Nursery,51459839,R6106,Early Years Funding (PVIs and LA),"25,347.51",16/11/2018,Communities
200114,Abacus Day Nursery,51460422,R6106,Early Years Funding (PVIs and LA),"2,764.02",20/11/2018,Communities
200115,Abacus Pre-School Nursery Ltd,51459776,R6106,Early Years Funding (PVIs and LA),"7,348.99",16/11/2018,Communities
200115,Abacus Pre-School Nursery Ltd,51460380,R6106,Early Years Funding (PVIs and LA),"2,036.65",20/11/2018,Communities
223099,Abacus Training Centre Ltd,51452959,R1601,Training,575.00,23/11/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51454795,R1601,Training,575.00,30/11/2018,Fire and Rescue
221450,Abbey Fire (UK) Ltd,51453922,R2023,Property Services Mechanical (LM),830.25,15/11/2018,Resources
231359,Abbey Offices Park Ltd,51445505,R5702,Payments to External Contractors,"2,270.00",02/11/2018,Communities
237324,Abingdon & Witney College,51453234,R5702,Payments to External Contractors,795.67,23/11/2018,Communities
237324,Abingdon & Witney College,51453230,R5702,Payments to External Contractors,795.67,23/11/2018,Communities
201875,About Interiors Ltd t/a E & M Services,51450580,R2002,Building Maintenance,"3,440.00",16/11/2018,Communities
201875,About Interiors Ltd t/a E & M Services,51454096,R2002,Building Maintenance,"1,570.00",30/11/2018,Communities
236194,Absolute Translations Ltd,51454014,R4441,Professional Fees,689.97,29/11/2018,People Group
219926,Accessible Transport Group Ltd (ATG),51462963,R5704,Public Transport,"4,070.00",27/11/2018,Communities
999982,Accountant General of the Senior Courts,51456068,R4928,Other Insurance Claims,"6,551.30",07/11/2018,Other Services
208345,ACM Management Solutions Ltd,51463256,C1030,"New Construction, Conversion & Renovation",550.00,30/11/2018,Capital
215546,Acorn Care and Education Ltd,51446312,R6107,SEN Statements Funding,"11,144.26",08/11/2018,Communities
236890,Acorn Children's Home (Branston) Ltd,51443669,R5806,Residential Care,"19,906.34",05/11/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51452271,R5806,Residential Care,"-17,979.92",05/11/2018,People Group
200146,Acorn Wood Day Nursery,51459852,R6106,Early Years Funding (PVIs and LA),"21,178.91",16/11/2018,Communities
200146,Acorn Wood Day Nursery,51460426,R6106,Early Years Funding (PVIs and LA),"6,189.30",20/11/2018,Communities
215891,Action For Children (****6746),51454166,R5806,Residential Care,"50,625.00",30/11/2018,People Group
213959,Acuma Solutions Ltd,51445668,R4506,IT Support & Maintenance,"1,590.00",02/11/2018,People Group
220313,Adana Management Group Ltd,51447882,R1101,Agency Staff Pay,"1,910.77",09/11/2018,Resources
200832,Adelie Foods Ltd t/a Brambles Foods Ltd,51459107,R4102,Catering Services & Supplies,705.70,30/11/2018,Resources
223797,Advance Trust T/A Vale of Evesham School,51445724,R6107,SEN Statements Funding,"3,367.31",02/11/2018,Communities
223797,Advance Trust T/A Vale of Evesham School,51445726,R6107,SEN Statements Funding,"1,830.77",02/11/2018,Communities
200188,Advanced Health & Care Ltd,51448718,R4513,Telephones & Broadband,"1,690.00",15/11/2018,People Group
215933,Advent Communications PR Ltd,51445834,R4301,"Advertising, Publicity & Promotion","2,135.00",07/11/2018,Communities
237126,Adventure with Dementia Ltd,51443393,R1601,Training,"1,000.00",02/11/2018,People Group
209397,AECOM Ltd,51458009,R4010,Equipment Hire,960.00,21/11/2018,Communities
234328,AFFPRO Solutions Ltd,51454715,R4409,Consultancy,"9,450.00",30/11/2018,People Group
200201,Age UK Warwickshire,51445720,R5807,Social Care Block Contracts,"7,583.33",02/11/2018,People Group
200201,Age UK Warwickshire,51450625,R5807,Social Care Block Contracts,"5,000.00",14/11/2018,People Group
200201,Age UK Warwickshire,51448855,R5807,Social Care Block Contracts,"1,907.69",15/11/2018,People Group
200201,Age UK Warwickshire,51448854,R5807,Social Care Block Contracts,"4,615.00",15/11/2018,People Group
200201,Age UK Warwickshire,51448853,R5807,Social Care Block Contracts,"4,615.00",15/11/2018,People Group
200201,Age UK Warwickshire,51448861,R5807,Social Care Block Contracts,"1,846.00",15/11/2018,People Group
200201,Age UK Warwickshire,51448852,R5807,Social Care Block Contracts,"1,907.69",15/11/2018,People Group
200201,Age UK Warwickshire,51459394,R5208,Recycling/re-use Credits,"1,500.00",21/11/2018,Communities
200201,Age UK Warwickshire,51459394,R5208,Recycling/re-use Credits,"1,500.00",21/11/2018,Communities
200201,Age UK Warwickshire,51459394,R5208,Recycling/re-use Credits,"1,000.00",21/11/2018,Communities
200201,Age UK Warwickshire,51459394,R5208,Recycling/re-use Credits,"1,000.00",21/11/2018,Communities
200201,Age UK Warwickshire,51452948,R5807,Social Care Block Contracts,"5,333.33",23/11/2018,People Group
200201,Age UK Warwickshire,51455615,R5807,Social Care Block Contracts,"4,615.00",30/11/2018,People Group
200201,Age UK Warwickshire,51455622,R5807,Social Care Block Contracts,"1,846.00",30/11/2018,People Group
200201,Age UK Warwickshire,51455630,R5807,Social Care Block Contracts,"1,907.69",30/11/2018,People Group
200201,Age UK Warwickshire,51455636,R5807,Social Care Block Contracts,"1,907.69",30/11/2018,People Group
200201,Age UK Warwickshire,51455641,R5807,Social Care Block Contracts,"4,615.00",30/11/2018,People Group
237403,Agriforest Contracting Ltd,51448813,R5706,Payments to Third Parties - Recoverable Operating Expenditure,900.00,09/11/2018,Communities
231993,Aim Educational Ltd,51458823,R5848,Residential Care (Children),"1,395.00",14/11/2018,People Group
231993,Aim Educational Ltd,51450636,R5702,Payments to External Contractors,"3,250.00",21/11/2018,Communities
231993,Aim Educational Ltd,51454733,R5702,Payments to External Contractors,"1,400.00",30/11/2018,Communities
200211,Airtay,51453380,R2751,Grounds Maintenance,"4,213.00",27/11/2018,Communities
200211,Airtay,51453396,R2751,Grounds Maintenance,742.00,27/11/2018,Communities
200211,Airtay,51453396,R2751,Grounds Maintenance,697.00,27/11/2018,Communities
208797,Alcester Academy (ACAD) School,51457037,R5501,Grants / Donations to External Organisations,"3,000.00",12/11/2018,Communities
208797,Alcester Academy (ACAD) School,51460898,R6107,SEN Statements Funding,"5,277.00",21/11/2018,Communities
207814,Alcester Grammar School (Academy),51460866,R6107,SEN Statements Funding,"1,383.00",21/11/2018,Communities
200237,Alcester Nursery Studio,51453766,R6106,Early Years Funding (PVIs and LA),700.00,15/11/2018,Communities
200237,Alcester Nursery Studio,51459880,R6106,Early Years Funding (PVIs and LA),"10,880.69",16/11/2018,Communities
200237,Alcester Nursery Studio,51460427,R6106,Early Years Funding (PVIs and LA),"1,155.34",20/11/2018,Communities
220516,Alere Ltd (****7108) t/a Abbott,51447286,R5702,Payments to External Contractors,"40,000.00",09/11/2018,Communities
235897,All Saints Leek Wootton - Coventry Diocese MAT,51455015,R4030,Materials,540.00,06/11/2018,Other Services
235897,All Saints Leek Wootton - Coventry Diocese MAT,51460862,R6107,SEN Statements Funding,"1,160.00",21/11/2018,Communities
207773,Allstar Business Solutions Ltd,51455609,R3004,Repair & Maintenance Of Vehicles,"39,713.63",08/11/2018,Communities
200291,Alveston Cygnets,51453770,R6106,Early Years Funding (PVIs and LA),700.00,15/11/2018,Communities
200291,Alveston Cygnets,51459783,R6106,Early Years Funding (PVIs and LA),"18,678.64",16/11/2018,Communities
