Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Directorate,
200014,3P Learning Ltd,51440366,R2002,Building Maintenance,612.00,19/10/2018,Schools,
228690,3tc Software Ltd,51434059,R4506,IT Support & Maintenance,"2,996.00",04/10/2018,Fire and Rescue,
207852,4imprint Direct Ltd,51434034,R4301,"Advertising, Publicity & Promotion",650.00,03/10/2018,People Directorate,
200044,A E Bennett & Sons,51440328,R4615,Coroner/Mortuary/Pathology Fees,740.68,19/10/2018,Other Services,
223099,Abacus Training Centre Ltd,51439042,R1601,Training,575.00,19/10/2018,Fire and Rescue,
223099,Abacus Training Centre Ltd,51439046,R1601,Training,575.00,19/10/2018,Fire and Rescue,
223099,Abacus Training Centre Ltd,51439044,R1601,Training,575.00,19/10/2018,Fire and Rescue,
221450,Abbey Fire (UK) Ltd,51447370,R2023,Property Services Mechanical (LM),632.30,19/10/2018,Resources,
221450,Abbey Fire (UK) Ltd,51444686,R2023,Property Services Mechanical (LM),625.00,19/10/2018,Resources,
221450,Abbey Fire (UK) Ltd,51447368,R2023,Property Services Mechanical (LM),630.10,19/10/2018,Resources,
231359,Abbey Offices Park Ltd,51435606,R5702,Payments to External Contractors,"2,270.00",05/10/2018,Communities,
209852,ABC Teachers Ltd,51440478,R1101,Agency Staff Pay,"5,754.40",19/10/2018,Schools,
237324,Abingdon & Witney College,51453184,R5702,Payments to External Contractors,"-2,387.00",30/10/2018,Communities,
237324,Abingdon & Witney College,51450595,R5702,Payments to External Contractors,"2,387.00",30/10/2018,Communities,
214940,Absence Protection Limited,51444622,R4030,Materials,600.00,04/10/2018,Other Services,
214940,Absence Protection Limited,50338447,R4056,Learning Resources Curriculum,-600.00,04/10/2018,Schools,
236194,Absolute Translations Ltd,51438539,R4441,Professional Fees,"1,149.95",18/10/2018,People Directorate,
236194,Absolute Translations Ltd,51440583,R4441,Professional Fees,919.96,19/10/2018,People Directorate,
236194,Absolute Translations Ltd,51440581,R4441,Professional Fees,689.94,19/10/2018,People Directorate,
219926,Accessible Transport Group Ltd (ATG),51451764,R5704,Public Transport,"4,070.00",25/10/2018,Communities,
215546,Acorn Care and Education Ltd,51435152,R6107,SEN Statements Funding,"13,515.66",05/10/2018,Communities,
215546,Acorn Care and Education Ltd,51435156,R6107,SEN Statements Funding,"13,515.66",05/10/2018,Communities,
215546,Acorn Care and Education Ltd,51435151,R6107,SEN Statements Funding,"13,515.66",05/10/2018,Communities,
215546,Acorn Care and Education Ltd,51442634,R5806,Residential Care,"69,308.70",26/10/2018,People Directorate,
236890,Acorn Children's Home (Branston) Ltd,51443668,R5806,Residential Care,"19,906.34",31/10/2018,People Directorate,
200150,Act On Energy,51435447,R5702,Payments to External Contractors,"24,972.50",05/10/2018,Communities,
215891,Action For Children (****6746),51444987,R5806,Residential Care,"50,625.00",08/10/2018,People Directorate,
215891,Action For Children (****6746),51448094,R5806,Residential Care,"50,625.00",30/10/2018,People Directorate,
231979,Adaptive IT Solutions Ltd,51433781,R4505,ICT Supplies / Consumables,"4,898.00",03/10/2018,Schools,
231979,Adaptive IT Solutions Ltd,51437876,R4503,Hardware,"3,150.00",12/10/2018,Schools,
999982,Admiral  Insurance,51443664,R4928,Other Insurance Claims,"1,535.40",18/10/2018,Other Services,
999982,Admiral Insurance,51443734,R4928,Other Insurance Claims,"-1,535.40",02/10/2018,Other Services,
200187,Advance Housing & Support Ltd,51437726,R5851,Supported Living,"1,890.00",12/10/2018,People Directorate,
200187,Advance Housing & Support Ltd,51441816,R5851,Supported Living,"1,520.64",26/10/2018,People Directorate,
200187,Advance Housing & Support Ltd,51441821,R5851,Supported Living,"2,168.32",26/10/2018,People Directorate,
200187,Advance Housing & Support Ltd,51451555,R5851,Supported Living,"-1,000.00",31/10/2018,People Directorate,
226666,Advance Trust T/A The Kingfisher School,51445988,R6107,SEN Statements Funding,"1,111.54",10/10/2018,Communities,
226666,Advance Trust T/A The Kingfisher School,51445993,R6107,SEN Statements Funding,"1,111.54",19/10/2018,Communities,
226666,Advance Trust T/A The Kingfisher School,51445983,R6107,SEN Statements Funding,"1,830.77",19/10/2018,Communities,
226666,Advance Trust T/A The Kingfisher School,51445981,R6107,SEN Statements Funding,"16,050.00",19/10/2018,Communities,
200188,Advanced Health & Care Ltd,51448710,R4513,Telephones & Broadband,845.00,25/10/2018,People Directorate,
200188,Advanced Health & Care Ltd,51448109,R4409,Consultancy,768.00,26/10/2018,People Directorate,
215933,Advent Communications PR Ltd,51441357,R4301,"Advertising, Publicity & Promotion","2,380.00",25/10/2018,Communities,
215933,Advent Communications PR Ltd,51441361,R4301,"Advertising, Publicity & Promotion","1,190.00",25/10/2018,Communities,
209397,AECOM Ltd,51441353,C1050,External Fees,"6,108.52",02/10/2018,Capital,
234328,AFFPRO Solutions Ltd,51443016,R4409,Consultancy,"4,500.00",26/10/2018,People Directorate,
200201,Age UK Warwickshire,51440586,R5807,Social Care Block Contracts,"7,583.33",01/10/2018,People Directorate,
200201,Age UK Warwickshire,51440073,R5807,Social Care Block Contracts,"4,615.00",12/10/2018,People Directorate,
200201,Age UK Warwickshire,51440074,R5807,Social Care Block Contracts,"1,907.69",12/10/2018,People Directorate,
200201,Age UK Warwickshire,51440070,R5807,Social Care Block Contracts,"4,615.00",12/10/2018,People Directorate,
200201,Age UK Warwickshire,51440075,R5807,Social Care Block Contracts,"1,846.00",12/10/2018,People Directorate,
200201,Age UK Warwickshire,51440072,R5807,Social Care Block Contracts,"1,907.69",19/10/2018,People Directorate,
200201,Age UK Warwickshire,51450626,R5807,Social Care Block Contracts,780.00,23/10/2018,People Directorate,
200201,Age UK Warwickshire,51451013,R5807,Social Care Block Contracts,"1,846.00",24/10/2018,People Directorate,
200201,Age UK Warwickshire,51451017,R5807,Social Care Block Contracts,"4,615.00",24/10/2018,People Directorate,
200201,Age UK Warwickshire,51451028,R5807,Social Care Block Contracts,"4,615.00",24/10/2018,People Directorate,
231993,Aim Educational Ltd,51434253,R5702,Payments to External Contractors,"9,000.00",05/10/2018,Communities,
231993,Aim Educational Ltd,51437563,R5702,Payments to External Contractors,"1,800.00",12/10/2018,Communities,
231993,Aim Educational Ltd,51441201,R5702,Payments to External Contractors,"4,800.00",25/10/2018,Communities,
231993,Aim Educational Ltd,51441204,R5702,Payments to External Contractors,"3,200.00",25/10/2018,Communities,
231993,Aim Educational Ltd,51441729,R5702,Payments to External Contractors,"10,160.00",26/10/2018,Communities,
231993,Aim Educational Ltd,51442220,R5702,Payments to External Contractors,-777.00,26/10/2018,Communities,
200211,Airtay,51435744,R2751,Grounds Maintenance,"1,648.00",05/10/2018,Communities,
200211,Airtay,51436522,R2751,Grounds Maintenance,625.00,11/10/2018,Communities,
200211,Airtay,51438227,R2751,Grounds Maintenance,"2,030.00",16/10/2018,Communities,
200211,Airtay,51441127,R2751,Grounds Maintenance,"1,686.00",24/10/2018,Communities,
234584,AJW Painting Ltd,51439057,R2002,Building Maintenance,550.00,19/10/2018,Fire and Rescue,
200223,Alan Robinson Property Rental,51441503,R2201,Rents & Lettings,"4,125.00",25/10/2018,Resources,
208797,Alcester Academy (ACAD) School,51443727,R5501,Grants / Donations to External Organisations,"15,612.00",03/10/2018,Communities,
208797,Alcester Academy (ACAD) School,51449666,R6107,SEN Statements Funding,"5,453.00",19/10/2018,Communities,
207814,Alcester Grammar School (Academy),51442911,R6109,Funding payment to Academies and Non WCC Schools,600.00,01/10/2018,Communities,
207814,Alcester Grammar School (Academy),51449674,R6107,SEN Statements Funding,"1,429.00",19/10/2018,Communities,
223728,Alere Toxicology Plc (****0298),51452072,R4441,Professional Fees,782.00,26/10/2018,People Directorate,
237279,ALG Sound and Lighting (UK) Ltd,51442588,R2002,Building Maintenance,"3,335.00",01/10/2018,Schools,
235897,All Saints Leek Wootton - Coventry Diocese MAT,51449643,R6107,SEN Statements Funding,"1,198.00",19/10/2018,Communities,
236626,Alliance Electronics Ltd t/a Alliance Transport Technologies,51437385,R4030,Materials,567.00,12/10/2018,Communities,
207773,Allstar Business Solutions Ltd,51443787,R3004,Repair & Maintenance Of Vehicles,"35,473.23",10/10/2018,Communities,
,Alsters Kelley LLP,38188,,,501.60,10/10/2018,People Directorate,
200291,Alveston Cygnets,51443829,R6106,Early Years Funding (PVIs and LA),800.00,04/10/2018,Communities,
235474,Ameo Professional Services Ltd,51433951,R4409,Consultancy,"22,000.00",01/10/2018,Other Services,
236040,Andmar Machinery Services Ltd RBS Scheme (rent),51443966,R2201,Rents & Lettings,"4,375.00",26/10/2018,Resources,
200349,Anglia DNA Services Ltd,51436547,R4441,Professional Fees,664.00,11/10/2018,Resources,
200351,Angloco Ltd,51438460,R3004,Repair & Maintenance Of Vehicles,"2,647.13",17/10/2018,Fire and Rescue,
236798,Anker Bridge Nursery,51439929,R6106,Early Years Funding (PVIs and LA),"1,164.24",01/10/2018,Communities,
200389,Apetito Ltd,51434261,R5807,Social Care Block Contracts,"15,330.27",05/10/2018,People Directorate,
234649,Appoint Us Services (Midlands) CIC,51439456,R4441,Professional Fees,"1,890.00",04/10/2018,People Directorate,
234649,Appoint Us Services (Midlands) CIC,51450398,R4441,Professional Fees,787.50,23/10/2018,People Directorate,
234649,Appoint Us Services (Midlands) CIC,51450401,R4441,Professional Fees,637.50,23/10/2018,People Directorate,
234649,Appoint Us Services (Midlands) CIC,51452000,R4441,Professional Fees,525.00,25/10/2018,People Directorate,
234649,Appoint Us Services (Midlands) CIC,51449481,R4441,Professional Fees,562.50,31/10/2018,People Directorate,
236956,APT Security Systems Ltd,51433915,R5702,Payments to External Contractors,"3,002.08",03/10/2018,Communities,
235393,Aquobex,51442684,C1030,"New Construction, Conversion & Renovation","10,280.40",02/10/2018,Capital,
235393,Aquobex,51442745,C1030,"New Construction, Conversion & Renovation","10,252.00",12/10/2018,Capital,
213826,Arbury Medical Centre,51451901,R5702,Payments to External Contractors,524.58,30/10/2018,Communities,
213826,Arbury Medical Centre,51451847,R5702,Payments to External Contractors,672.00,30/10/2018,Communities,
200419,Arden Construction Ltd,51439107,C1030,"New Construction, Conversion & Renovation","1,745.73",02/10/2018,Capital,
200419,Arden Construction Ltd,51439109,C1030,"New Construction, Conversion & Renovation","5,891.00",02/10/2018,Capital,
200419,Arden Construction Ltd,51439110,C1030,"New Construction, Conversion & Renovation","4,896.63",02/10/2018,Capital,
200419,Arden Construction Ltd,51439111,C1030,"New Construction, Conversion & Renovation","4,896.63",02/10/2018,Capital,
200419,Arden Construction Ltd,51438809,C1030,"New Construction, Conversion & Renovation","85,160.80",02/10/2018,Capital,
200419,Arden Construction Ltd,51439108,C1030,"New Construction, Conversion & Renovation","2,772.00",03/10/2018,Capital,
200419,Arden Construction Ltd,51444386,R2022,Property Services Building (LB),"5,473.54",04/10/2018,Resources,
200419,Arden Construction Ltd,51445371,R2022,Property Services Building (LB),905.36,09/10/2018,Resources,
200419,Arden Construction Ltd,51445370,C1030,"New Construction, Conversion & Renovation","1,608.54",09/10/2018,Capital,
200419,Arden Construction Ltd,51445366,C1030,"New Construction, Conversion & Renovation","4,882.90",09/10/2018,Capital,
200419,Arden Construction Ltd,51447103,C1030,"New Construction, Conversion & Renovation","5,571.04",10/10/2018,Capital,
200419,Arden Construction Ltd,51445368,C1030,"New Construction, Conversion & Renovation","17,845.42",17/10/2018,Capital,
200419,Arden Construction Ltd,51446698,C1030,"New Construction, Conversion & Renovation","16,609.24",19/10/2018,Capital,
200419,Arden Construction Ltd,51446697,C1030,"New Construction, Conversion & Renovation","125,924.02",19/10/2018,Capital,
200419,Arden Construction Ltd,51450251,C1030,"New Construction, Conversion & Renovation","54,055.00",22/10/2018,Capital,
200419,Arden Construction Ltd,51450252,C1030,"New Construction, Conversion & Renovation","21,246.38",22/10/2018,Capital,
200419,Arden Construction Ltd,51447128,C1030,"New Construction, Conversion & Renovation","52,746.85",22/10/2018,Capital,
200419,Arden Construction Ltd,51447136,C1030,"New Construction, Conversion & Renovation","11,525.82",22/10/2018,Capital,
200419,Arden Construction Ltd,51450253,C1030,"New Construction, Conversion & Renovation","48,044.43",22/10/2018,Capital,
200419,Arden Construction Ltd,51450018,C1030,"New Construction, Conversion & Renovation",759.51,25/10/2018,Capital,
200419,Arden Construction Ltd,51452340,R2022,Property Services Building (LB),"1,601.15",25/10/2018,Resources,
200419,Arden Construction Ltd,51450250,C1030,"New Construction, Conversion & Renovation","1,489.85",25/10/2018,Capital,
200419,Arden Construction Ltd,51452346,R2022,Property Services Building (LB),"-1,601.15",25/10/2018,Resources,
200419,Arden Construction Ltd,51449899,R2022,Property Services Building (LB),"57,370.00",26/10/2018,Resources,
236288,Arden Fields School (Academy),51442859,R6108,Funding payments to WCC Schools,600.00,01/10/2018,Communities,
236288,Arden Fields School (Academy),51445868,R1408,Other Staffing Costs,"6,465.00",10/10/2018,Schools,
236288,Arden Fields School (Academy),51448888,R6107,SEN Statements Funding,"37,370.00",17/10/2018,Communities,
226768,Arden Leisure Ltd t/a Studley Sports Centre,51436457,R2201,Rents & Lettings,"1,150.00",10/10/2018,Communities,
200429,Argos Business Solutions Ltd (****9518),51435774,R4008,Equipment,"3,052.01",10/10/2018,Resources,
200429,Argos Business Solutions Ltd (****9518),51438240,R4008,Equipment,"1,431.03",17/10/2018,Resources,
200429,Argos Business Solutions Ltd (****9518),51440616,R4008,Equipment,"2,750.79",24/10/2018,Resources,
200429,Argos Business Solutions Ltd (****9518),51443418,R4008,Equipment,"2,897.90",31/10/2018,Resources,
227343,Arnbrook Primary School- Academy,51442905,R6109,Funding payment to Academies and Non WCC Schools,"1,200.00",01/10/2018,Communities,
200441,Arriva Midlands North Ltd (****4814),51451766,R5704,Public Transport,"22,940.00",25/10/2018,Communities,
219768,Art of Brilliance Ltd,51443749,R1601,Training,"3,517.00",31/10/2018,Resources,
219768,Art of Brilliance Ltd,51443756,R1601,Training,"4,721.00",31/10/2018,Resources,
213431,Ash Green School & Arts College (Academy),51442813,R6109,Funding payment to Academies and Non WCC Schools,"2,400.00",01/10/2018,Communities,
213431,Ash Green School & Arts College (Academy),51449644,R6107,SEN Statements Funding,"2,232.00",19/10/2018,Communities,
999982,Ash Mill Developments Ltd,51452259,R5702,Payments to External Contractors,"8,000.00",26/10/2018,Communities,
236184,Ashby and Croft Manufacturing Ltd,51444377,C1030,"New Construction, Conversion & Renovation","8,420.85",11/10/2018,Capital,
