Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51432745,R5806,Residential Care,16607.13,28/09/2018,People Group
200103,A1 Taxi Booking Service Ltd,51430101,R3206,Client/Customer/Pupil Travel,530.00,14/09/2018,People Group
200114,Abacus Day Nursery,51439880,R6106,Early Years Funding (PVIs and LA),14977.17,24/09/2018,Communities
200114,Abacus Day Nursery,51440839,R6106,Early Years Funding (PVIs and LA),648.03,25/09/2018,Communities
200115,Abacus Pre-School Nursery Ltd,51439928,R6106,Early Years Funding (PVIs and LA),3240.47,24/09/2018,Communities
223099,Abacus Training Centre Ltd,51429162,R1601,Training,575.00,03/09/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51433488,R1601,Training,3800.00,07/09/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51429160,R1601,Training,575.00,13/09/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51431370,R4008,Equipment,1816.00,20/09/2018,Fire and Rescue
231359,Abbey Offices Park Ltd,51428345,R5702,Payments to External Contractors,2240.00,07/09/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51435589,R5704,Public Transport,4240.00,11/09/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51435621,R5704,Public Transport,4070.00,18/09/2018,Communities
235637,Accomplish - Woodlands Care Home,51435443,R5806,Residential Care,16684.16,10/09/2018,People Group
235637,Accomplish - Woodlands Care Home,51435436,R5806,Residential Care,4207.84,10/09/2018,People Group
235637,Accomplish - Woodlands Care Home,51435432,R5806,Residential Care,871.34,10/09/2018,People Group
235637,Accomplish - Woodlands Care Home,51435427,R5806,Residential Care,21014.40,10/09/2018,People Group
208345,ACM Management Solutions Ltd,51440386,C1030,"New Construction, Conversion & Renovation",600.00,24/09/2018,Capital
236890,Acorn Children's Home (Branston) Ltd,51434037,R5806,Residential Care,19264.28,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51434029,R5806,Residential Care,29978.57,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51434028,R5806,Residential Care,5714.33,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51434025,R5806,Residential Care,642.14,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51434022,R5806,Residential Care,19264.28,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51434021,R5806,Residential Care,8990.00,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51433976,R5806,Residential Care,19264.28,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51433971,R5806,Residential Care,9632.14,05/09/2018,People Group
236890,Acorn Children's Home (Branston) Ltd,51435514,R5806,Residential Care,642.14,11/09/2018,People Group
200146,Acorn Wood Day Nursery,51439857,R6106,Early Years Funding (PVIs and LA),25080.83,24/09/2018,Communities
200146,Acorn Wood Day Nursery,51440853,R6106,Early Years Funding (PVIs and LA),3110.52,25/09/2018,Communities
200150,Act On Energy,51426807,R5702,Payments to External Contractors,24972.50,05/09/2018,Communities
200150,Act On Energy,51426801,R5702,Payments to External Contractors,24972.50,05/09/2018,Communities
220313,Adana Management Group Ltd,51433495,R1101,Agency Staff Pay,2376.15,28/09/2018,Resources
200169,Addaction - Henley House,51426806,R4441,Professional Fees,11591.20,05/09/2018,Communities
200169,Addaction - Henley House,51430098,R4441,Professional Fees,6989.00,14/09/2018,Communities
200188,Advanced Health & Care Ltd,51426966,R4506,IT Support & Maintenance,905.00,06/09/2018,People Group
200188,Advanced Health & Care Ltd,51426970,R4513,Telephones & Broadband,11480.86,07/09/2018,People Group
200188,Advanced Health & Care Ltd,51428692,R4409,Consultancy,507.50,12/09/2018,People Group
209397,AECOM Ltd,51432280,R5702,Payments to External Contractors,2940.00,21/09/2018,Communities
209397,AECOM Ltd,51441362,C1050,External Fees,3391.48,26/09/2018,Capital
,Aerling 2kf2zw Mead S,53191,,,589.83,28/09/2018,People Group
234328,AFFPRO Solutions Ltd,51433396,R4409,Consultancy,9120.00,28/09/2018,People Group
200201,Age UK Warwickshire,51439748,R5807,Social Care Block Contracts,7583.33,24/09/2018,People Group
200201,Age UK Warwickshire,51439761,R5807,Social Care Block Contracts,720.00,25/09/2018,People Group
