Savings Area,Directorate,Savings Option,Description of Savings Option, Saving 2010/11 (£'000) , Extra Saving 2011/12 (£'000) , Extra Saving 2012/13 (£'000) , Extra Saving 2013/14 (£'000) 
AH1,"Adult, Health and Community Services",Customer Access,"Streamline the adult customer journey, supported by increased mobile working and conversion to a more efficient assessment process, to meet the same needs. The option includes a review of team manager posts.",232 ,38 ,400 ,92 
AH2,"Adult, Health and Community Services",PHILLIS,Recommission the PHILLIS service with a view to reducing costs through delivery by the voluntary sector and/or existing teams.,150 ,150 ,0 ,0 
AH3,"Adult, Health and Community Services",Continuing Health Care,Ensure all community health care packages are appropriate and where this is found not to be the case recover costs from the NHS.,104 ,104 ,0 ,0 
AH4,"Adult, Health and Community Services",Reablement,"Invest in an internal reablement service, so reducing the cost of traditional care packages.","1,302 ","1,246 ",188 ,0 
AH5,"Adult, Health and Community Services",Extra Care and Residential Care,"Invest in more specialist residential care and extra care, removing the excess capacity in residential care services.",139 ,243 ,52 ,449 
AH6,"Adult, Health and Community Services",Adult social care charging policy,"Increase the charges for community based adult social care services. This will include reviewing the level of and subsidy, raising the ceilings on charges and reducing the minimum income protection provided.",769 ,"2,007 ",324 ,0 
AH7,"Adult, Health and Community Services",Homecare,"Full year effect of the reduction in costs following the review of operational practices, terms and conditions and the overall mix of provision of homecare.",685 ,222 ,114 ,214 
AH8,"Adult, Health and Community Services",Day services and voluntary sector provision,"Reduce the provision of day care services (voluntary sector, internally and externally provided) and reinvest 50% of the savings into personalisation.",349 ,272 ,373 ,246 
AH9,"Adult, Health and Community Services",Transport costs,Rationalise transport services in line with the day services review (AH8).,37 ,71 ,65 ,25 
AH10,"Adult, Health and Community Services",Application of the Fair Access to Care Services criteria,Review care packages with low contact hours to ensure compliance with the substantial or critical level of care need required for continued funding.,154 ,0 ,0 ,0 
AH11,"Adult, Health and Community Services",Reviewing Service,Reassess the cost of care packages where reviews have been undertaken by the Reviewing Service and implement efficiencies in the service.,75 ,100 ,100 ,0 
AH12,"Adult, Health and Community Services",Residential care homes,Reduce costs associated with spending on empty residential care beds.,160 ,0 ,0 ,0 
AH13,"Adult, Health and Community Services",Management structures - community support services,Reduce the number of management posts,202 ,0 ,0 ,0 
AH14,"Adult, Health and Community Services",Management structures - adult social care,Reduce the number of management posts,163 ,58 ,151 ,0 
AH15,"Adult, Health and Community Services",Allowance for double counting of Adult Social Care savings,The adult social care savings initiatives have the potential to impact on the same services. A 5% overall reduction in the savings options is included as an allowance for any duplication.,(200),(222),(81),(52)
AH20,"Adult, Health and Community Services",Funding pressures not known at this stage,Higher savings made in the plan's early years to ensure the service does not overspend as a result of slippage or any emergent spending pressure.,(69),"(1,473)","1,542 ",0 
AH21,"Adult, Health and Community Services","Unidentified Adult, Health and Community Services savings",Further savings required to meet the savings target in future years.,131 ,512 ,210 ,"2,588 "
AH28,"Adult, Health and Community Services","Libraries, Heritage and Cultural Services",Rationalise the services to deliver savings to the level identified and to resolve the underlying structural overspend in the library service including the reimbursement of the 2009/10 overspend by the end of 2013/14.,70 ,70 ,70 ,70 
CY1,"Children, Young People and Families",Post 16 transport,Remove transport arrangements for home to college transport.,379 ,550 ,371 ,0 
CY2,"Children, Young People and Families",Music Service,"Reduce the subsidy for the County Music Service and investigate the potential for sub-regional collaboration on this service with Coventry and Solihull, to generate compensating savings in order to minimise the impact on clients of the service.",223 ,327 ,245 ,0 
CY3,"Children, Young People and Families",Integrated Youth Support Services,"Streamline IYSS activities and places of service delivery to reflect the level of need in a locality, using Youth Panels and Youth Forums to reprioritise service provision.",300 ,300 ,0 ,0 
CY4,"Children, Young People and Families",Arts Zone,Review the service provision as part of reducing the cost and subsidy provided to cultural services.,117 ,0 ,0 ,0 
