SOA Code,SOA Name,Ward Name,Locality,District/Borough,JSA Claimants June 2008,JSA Claimants June 2009,Working Age Population,JSA Claimant Count Rate June 2008,JSA Claimant Count Rate June 2009
E01031005,"New Arley East, Hill Top and Ansley",Arley and Whitacre,North Warwickshire - South ,North Warwickshire,19,31,885,2.1%,3.5%
E01031006,New Arley West and Old Arley,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,19,44,924,2.1%,4.8%
E01031007,New Arley South and Over Whitacre,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,10,23,786,1.3%,2.9%
E01031008,Ansley Common and Birchley Heath,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,23,57,801,2.9%,7.1%
E01031009,Atherstone Central - Canal and Outwoods,Atherstone Central,North Warwickshire - East ,North Warwickshire,36,72,1407,2.6%,5.1%
E01031010,Atherstone Central - Centre,Atherstone Central,North Warwickshire - East ,North Warwickshire,37,98,1045,3.5%,9.4%
E01031011,Atherstone North - Town Centre North & Alder Mill,Atherstone North,North Warwickshire - East ,North Warwickshire,19,40,1287,1.5%,3.1%
E01031012,Atherstone North - St Georges and Carlyon,Atherstone North,North Warwickshire - East ,North Warwickshire,15,33,769,2.0%,4.3%
E01031013,Atherstone South,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,8,14,577,1.4%,2.4%
E01031014,Mancetter North,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,9,18,795,1.1%,2.3%
E01031015,Mancetter South and Ridge Lane,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,27,74,820,3.3%,9.0%
E01031016,Baddesley Ensor West,Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,12,38,904,1.3%,4.2%
E01031017,"Grendon, Bradley Green and Whittington",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,9,22,792,1.1%,2.8%
E01031018,"Baddesley Common, Baxterley and Merevale",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,6,22,762,0.8%,2.9%
E01031019,Coleshill North - Grimstock Hill,Coleshill North,North Warwickshire - South ,North Warwickshire,10,23,1038,1.0%,2.2%
E01031020,Coleshill North - Cole End,Coleshill North,North Warwickshire - South ,North Warwickshire,5,34,951,0.5%,3.6%
E01031021,Coleshill South - Centre,Coleshill South,North Warwickshire - South ,North Warwickshire,14,42,972,1.4%,4.3%
E01031022,Coleshill South - Hospital & Southfields,Coleshill South,North Warwickshire - South ,North Warwickshire,10,36,1011,1.0%,3.6%
E01031023,Curdworth and Wishaw,Curdworth,North Warwickshire - West ,North Warwickshire,12,28,993,1.2%,2.8%
E01031024,Marston and Water Park,Curdworth,North Warwickshire - West ,North Warwickshire,11,19,1085,1.0%,1.8%
E01031025,Dordon Rural,Dordon,North Warwickshire - North ,North Warwickshire,11,41,880,1.3%,4.7%
E01031026,Dordon Village,Dordon,North Warwickshire - North ,North Warwickshire,25,56,1062,2.4%,5.3%
E01031027,Corley,Fillongley,North Warwickshire - South ,North Warwickshire,7,18,935,0.7%,1.9%
E01031028,Fillongley and The Packingtons,Fillongley,North Warwickshire - South ,North Warwickshire,12,37,1217,1.0%,3.0%
E01031029,Hartshill South,Hartshill,North Warwickshire - East ,North Warwickshire,14,36,893,1.6%,4.0%
E01031030,Hartshill North and Caldecote,Hartshill,North Warwickshire - East ,North Warwickshire,41,62,1352,3.0%,4.6%
E01031031,Piccadilly and Wood End,Hurley and Wood End,North Warwickshire - West ,North Warwickshire,20,72,1477,1.4%,4.9%
E01031032,Hurley,Hurley and Wood End,North Warwickshire - West ,North Warwickshire,13,44,948,1.4%,4.6%
E01031033,Kingsbury South,Kingsbury,North Warwickshire - West ,North Warwickshire,19,43,1138,1.7%,3.8%
E01031034,Kingsbury North,Kingsbury,North Warwickshire - West ,North Warwickshire,12,39,1328,0.9%,2.9%
E01031035,Warton and Shuttington,Newton Regis and Warton,North Warwickshire - North ,North Warwickshire,8,48,1077,0.7%,4.5%
E01031036,"Newton Regis, Austrey and Seckington",Newton Regis and Warton,North Warwickshire - North ,North Warwickshire,9,28,932,1.0%,3.0%
E01031037,Polesworth East - St Helena,Polesworth East,North Warwickshire - North ,North Warwickshire,16,52,833,1.9%,6.2%
E01031038,Polesworth East - Station,Polesworth East,North Warwickshire - North ,North Warwickshire,12,37,1270,0.9%,2.9%
E01031039,Polesworth West - School,Polesworth West,North Warwickshire - North ,North Warwickshire,11,34,1015,1.1%,3.3%
E01031040,Polesworth West - Birchmoor & Pooley Fields,Polesworth West,North Warwickshire - North ,North Warwickshire,9,31,1177,0.8%,2.6%
E01031041,Water Orton West,Water Orton,North Warwickshire - West ,North Warwickshire,17,39,1215,1.4%,3.2%
E01031042,Water Orton East,Water Orton,North Warwickshire - West ,North Warwickshire,9,24,1122,0.8%,2.1%
E01031043,Abbey Town Centre,Abbey,Abbey & Wem Brook ,Nuneaton and Bedworth,56,109,849,6.6%,12.8%
