Location,Map Ref,X Coordinate,Y Coordinate,Mobile,Route,Number,Stop Name,Sheltered Location,Arrive,Depart,Stay,Day of the week,Week No
Admington,135,420138,246141,Alcester,G,6,Village,No,14:25,14:40,15,Tuesday,3
Alcester,,409102,257375,Alcester,M,6,Malt Mill Lane Sheltered Housing Scheme,Yes,16:00,16:30,30,Tuesday,3
Alcester,,408648,257333,Alcester,K,1,Teddy Bear Corner Nursery,No,09:10,09:35,25,Friday,2
Aldermans Green,50,437229,284788,Bedworth,B,10,Toldish Hall  Farm,No,15:15,15:30,15,Tuesday,1
Aldermans Green,50,436594,284107,Bedworth,B,11,Parrotts Grove,No,15:35,15:50,15,Tuesday,1
Alderminster,130,423090,248457,Alcester,D,3,Old Road,No,10:10,10:35,25,Thursday,1
Alveston,121,423561,256515,Alcester,M,3,Ferry Inn,No,12:20,12:40,20,Tuesday,3
Ansley,,430246,294147,Atherstone,F,7,Pipers Lane,No,14:20,14:35,15,Monday,2
Ansley,26,429839,291638,Atherstone,M,3,Ludford Close,No,13:15,13:45,30,Tuesday,3
Ansley,27,430156,291441,Atherstone,M,4,Croft Mead,No,13:50,14:30,40,Tuesday,3
Ansley,27,430207,291248,Atherstone,M,5,Birmingham Road,No,14:35,14:55,20,Tuesday,3
Ansty,51,439683,283408,Bedworth,B,9,Grove Road,No,14:45,15:05,20,Tuesday,1
Ardens Grafton,119,411601,254386,Alcester,J,7,T Junction,No,12:10,12:30,20,Thursday,2
Arley,,428289,290489,Atherstone,F,3,Meadow Croft,Yes,11:10,11:50,40,Monday,2
Arley,,428492,290834,Atherstone,F,4,Roland Court,Yes,11:55,12:15,20,Monday,2
Armscote,136,423564,244424,Alcester,D,9,Crab Tree Farm,No,14:40,14:55,15,Thursday,1
Armscote,136,424280,244714,Alcester,D,10,Village Phone Box,No,15:00,15:15,15,Thursday,1
Armscote,136,425305,245012,Alcester,D,11,Fair Havens Bungalow,No,15:20,15:35,15,Thursday,1
Ascott,142,432319,234743,Alcester,K,6,Opp. Post Box,No,13:55,14:15,20,Friday,2
Ash Green,37,433462,284834,Atherstone,C,11,Ash Green School - Ash Green Lane,No,15:50,16:30,40,Wednesday,1
Ashorne,122,430454,257751,Southam,B,7,Phone Box,No,14:20,14:40,20,Tuesday,1
Aspley Heath,87,409490,270523,Alcester,H,3,Murmel - Blind Lane,No,09:40,09:55,15,Wednesday,2
Aspley Heath,87,409700,270415,Alcester,H,2,Ferndale - Blind Lane,No,09:20,09:35,15,Wednesday,2
Aspley Heath,87,409870,270547,Alcester,H,4,Aspley Heath Lane,No,10:00,10:15,15,Wednesday,2
