SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,% of Total Population Aged 0 - 15,% of Total Population - Working Age (16 - 60 Females/16 - 64 Males),"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031005,"New Arley East, Hill Top and Ansley",Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,460",22.7%,59.8%,17.5%
E01031006,New Arley West and Old Arley,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,428",18.8%,65.1%,16.0%
E01031007,New Arley South and Over Whitacre,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,229",16.4%,63.1%,20.4%
E01031008,Ansley Common and Birchley Heath,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,322",21.6%,60.8%,17.5%
E01031009,Atherstone Central - Canal and Outwoods,Atherstone Central,North Warwickshire - East ,North Warwickshire,"2,159",17.0%,64.8%,18.2%
E01031010,Atherstone Central - Centre,Atherstone Central,North Warwickshire - East ,North Warwickshire,"1,615",19.9%,66.1%,14.0%
E01031011,Atherstone North - Town Centre North & Alder Mill,Atherstone North,North Warwickshire - East ,North Warwickshire,"2,007",17.8%,63.2%,19.0%
E01031012,Atherstone North - St Georges and Carlyon,Atherstone North,North Warwickshire - East ,North Warwickshire,"1,488",17.9%,52.2%,29.8%
E01031013,Atherstone South,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,046",13.5%,57.3%,29.3%
E01031014,Mancetter North,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,268",15.1%,60.8%,24.1%
E01031015,Mancetter South and Ridge Lane,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,418",22.8%,57.6%,19.5%
E01031016,Baddesley Ensor West,Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,576",17.8%,58.2%,24.0%
E01031017,"Grendon, Bradley Green and Whittington",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,291",15.6%,63.2%,21.1%
E01031018,"Baddesley Common, Baxterley and Merevale",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,190",15.5%,60.6%,23.9%
E01031019,Coleshill North - Grimstock Hill,Coleshill North,North Warwickshire - South ,North Warwickshire,"1,687",20.7%,63.0%,16.3%
E01031020,Coleshill North - Cole End,Coleshill North,North Warwickshire - South ,North Warwickshire,"1,498",16.0%,62.5%,21.5%
E01031021,Coleshill South - Centre,Coleshill South,North Warwickshire - South ,North Warwickshire,"1,627",12.7%,61.5%,25.9%
E01031022,Coleshill South - Hospital & Southfields,Coleshill South,North Warwickshire - South ,North Warwickshire,"1,797",16.2%,57.0%,26.7%
E01031023,Curdworth and Wishaw,Curdworth,North Warwickshire - West ,North Warwickshire,"1,634",14.4%,60.4%,25.2%
E01031024,Marston and Water Park,Curdworth,North Warwickshire - West ,North Warwickshire,"1,729",13.9%,63.7%,22.3%
E01031025,Dordon Rural,Dordon,North Warwickshire - North ,North Warwickshire,"1,442",14.5%,62.0%,23.5%
