Town,Road,District_Borough,County,Easting,Northing,Operating
Nuneaton (Hill Top),Donnithorne Avenue (bottom of hill / near East end of Kneberley Crescent),Nuneaton & Bedworth Borough,Warwickshire,436456,290127,Y
Rugby (Hilmorton),"Lower Hillmorton Road (South side of road, near to Abbotts Way junction) (double site)",Rugby Borough,Warwickshire,452499,274434,Y
Nuneaton (Weddington),Weddington Road (near to Caldecote Close junction),Nuneaton & Bedworth Borough,Warwickshire,436323,293503,Y
Atherstone,Southlands / Margaret Road junction,North Warwickshire Borough,Warwickshire,431170,297311,Y
Atherstone,South Street (near to Margaret Road junction) (job share site),North Warwickshire Borough,Warwickshire,431239,297392,Y
Bedworth Heath,Bowling Green Lane (outside school),Nuneaton & Bedworth Borough,Warwickshire,434466,285872,Y
Baddesley Ensor,The Common (by Keys Hill junction),North Warwickshire Borough,Warwickshire,427350,298353,Y
Rugby (Bilton),"Bawnmore Road (near Bawnmore Park, outside school)",Rugby Borough,Warwickshire,449074,273052,Y
Nuneaton,Croft Road (near to Northumberland Avenue junction) (double site),Nuneaton & Bedworth Borough,Warwickshire,434719,291204,Y
Bedworth,Newtown Road (near to  Ambleside Road junction),Nuneaton & Bedworth Borough,Warwickshire,435314,286979,Y
Rugby,Bilton Road (near to Merttens Drive junction),Rugby Borough,Warwickshire,449889,274902,Y
Nuneaton (Attleborough),Leyland Road (near to Lutterworth Road / Ivanhoe Avenue junction),Nuneaton & Bedworth Borough,Warwickshire,437413,290507,Y
Rugby (Hilmorton),"Lower Hillmorton Road (North side of road, near to Abbotts Way junction) (double site)",Rugby Borough,Warwickshire,452504,274443,Y
Nuneaton (Hill Top),Donnithorne Avenue (top of hill / West end of Knebley Crescent),Nuneaton & Bedworth Borough,Warwickshire,436284,290076,Y
Wolvey,Bulkington Road (outside school),Rugby Borough,Warwickshire,442565,287813,Y
Bulkington,Weston Lane (outside school),Nuneaton & Bedworth Borough,Warwickshire,438635,287130,Y
Bedworth,Coventry Road (near to Lovell Close junction),Nuneaton & Bedworth Borough,Warwickshire,435367,285817,Y
Fillongley,Coventry Road (outside school),North Warwickshire Borough,Warwickshire,428049,287249,Y
Nuneaton (Whitestone),Gipsy Lane (near to Caroline Close junction),Nuneaton & Bedworth Borough,Warwickshire,437961,289448,Y
Nuneaton (Stockingford),Haunchwood Road (near to Westbury Road junction),Nuneaton & Bedworth Borough,Warwickshire,433969,291624,Y
Hartshill,Church Road (near to Church Close junction),North Warwickshire Borough,Warwickshire,432644,293890,Y
Nuneaton,Edward Street (near to Fitton Street junction),Nuneaton & Bedworth Borough,Warwickshire,436044,291264,Y
Nuneaton (Stockingford),Park Lane (near to Robins Way junction),Nuneaton & Bedworth Borough,Warwickshire,432054,291218,Y
Bedworth (Collycroft),Sutherland Drive (near to Hogarth Close junction),Nuneaton & Bedworth Borough,Warwickshire,435396,287752,Y
Bedworth,Bulkington Road (outside school),Nuneaton & Bedworth Borough,Warwickshire,436349,286894,Y
Coleshill,Wingfield Road (outside school),North Warwickshire Borough,Warwickshire,420008,288594,Y
Bedworth Heath,Goodyears End Lane (near to Heath Road / Bowling Green Lane junction),Nuneaton & Bedworth Borough,Warwickshire,434439,285994,Y
Atherstone,South Street (near to junction with Margaret Road) (job share site),North Warwickshire Borough,Warwickshire,431240,297392,Y
Arley,Gunn Hill (outside school),North Warwickshire Borough,Warwickshire,429413,289723,Y
Hartshill,Church Road (near to Hayes Road junction),North Warwickshire Borough,Warwickshire,432525,293718,Y
Rugby (Hilmorton),Hillmorton Road (near to Fisher Avenue junction),Rugby Borough,Warwickshire,452249,274024,Y
Nuneaton,Croft Road (near to Northumberland Avenue junction) (double site),Nuneaton & Bedworth Borough,Warwickshire,434725,291197,Y
Kingsbury,Tamworth Road (near to Highview junction),North Warwickshire Borough,Warwickshire,421694,296449,Y
Kingsbury,Tamworth Road (near to Ralph Crescent (South End) junction),North Warwickshire Borough,Warwickshire,421565,296823,Y
Stretton-on-Dunsmore,Fosse Way (near to Brookside junction),Rugby Borough,Warwickshire,441168,272745,Y
Bedworth,Leicester Road (near to Hurst Road junction),Nuneaton & Bedworth Borough,Warwickshire,435837,287395,Y
Galley Common,"Plough Hill Road (outside school, near to School Lane junction)",Nuneaton & Bedworth Borough,Warwickshire,431801,292270,Y
Rugby (Clifton upon Dunsmore),"Main Street (outside school, near to Station Road junction)",Rugby Borough,Warwickshire,452840,276317,Y
Atherstone,Witherley Road (outside school),North Warwickshire Borough,Warwickshire,431649,297418,Y
Hartshill,Victoria Road (outside schooll),North Warwickshire Borough,Warwickshire,432564,293574,Y
Polesworth,"High Street (near to Coronation Avenue junction, outside school)",North Warwickshire Borough,Warwickshire,426697,302627,Y
Rugby (New Bilton),"Addison Road (near to Steele Street junction, outside school)",Rugby Borough,Warwickshire,448974,275117,Y
Dordon,"Dordon Road (near to Birchwood Avenue junction, outside school)",North Warwickshire Borough,Warwickshire,425879,301373,Y
Nuneaton,Croft Road (near to Merrivale Avenue junction),Nuneaton & Bedworth Borough,Warwickshire,435158,291719,Y
Atherstone,Ratcliffe Road (outside school),North Warwickshire Borough,Warwickshire,431316,298139,Y
Nuneaton,"Northumberland Avenue (near to Granby Road junction, outside school)",Nuneaton & Bedworth Borough,Warwickshire,434638,291350,Y
Bedworth,Rye Piece Ringway (outside school),Nuneaton & Bedworth Borough,Warwickshire,436095,287307,Y
Bulkington,Nuneaton Road (near to Barbridge Road junction),Nuneaton & Bedworth Borough,Warwickshire,439344,286942,Y
