ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
3103,Abbey C.Of E. Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.5,7.6,7.8,1,6.7,4.9
2410,Abbots Farm Infant School,Infant,Primary,Eastern,Rugby,5.3,5.1,4.1,2.5,2.9,0
2421,Abbots Farm Junior School,Junior,Primary,Eastern,Rugby,3.3,4.1,4.2,0,0.8,0.8
2639,Acorns Primary School,Primary,Primary,Southern,Stratford upon Avon,6,4.3,3.6,0,0,0
5407,Alcester Grammar School,Secondary,Secondary,Southern,Stratford upon Avon,3.3,3.4,3.8,0.2,0.9,0.9
4240,Alcester High School Technology College,Secondary,Secondary,Southern,Stratford upon Avon,7.6,7.3,7.6,6.1,4.1,4.6
4150,Alderman Smith School And Sports College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.8,8.9,9,6.5,9,10.5
3588,"All Saints C.Of E. (VA) Primary School, Leek Wootton",Primary,Primary,Central,Warwick,3,2.7,2.3,0,0,0
3301,All Saints C.Of E. Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5,6.1,7.1,3.6,3.9,2.3
3154,All Saints C.Of E. Junior School,Junior,Primary,Central,Warwick,4.3,4.6,5.3,0.5,1.4,2.1
3101,"All Saints C.Of E. Primary School, Nuneaton",Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,9.6,8.6,7.2,9.4,8.7,0.9
3002,Alveston C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.2,4.9,5.1,0.9,3.4,0.8
2630,Arden Forest Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.2,4.7,5.2,6.1,1.8,3.3
2004,Arden Hill Infant School,Infant,Primary,North Warwickshire,North Warwickshire,5.6,5.6,6.4,2.2,3.4,7.5
5401,Ash Green School and Arts College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,9.5,8.5,8.6,10.8,9.1,7.7
4241,Ashlawn School,Secondary,Secondary,Eastern,Rugby,7.3,8.8,7.8,5.9,8.1,4.8
3007,Austrey C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,3.9,3.3,4.2,0,0,0
4190,Aylesford School. A specialist Language and Music College,Secondary,Secondary,Central,Warwick,7.6,7,7.8,7.4,6.1,5.6
3587,Barford St. Peter's C.Of E. Primary School,Primary,Primary,Southern,Warwick,4.1,4.5,3.1,0,0,0
2423,Bawnmore Infant School,Infant,Primary,Eastern,Rugby,2.7,3.2,3.4,0,0,0.9
3011,Bidford-On-Avon C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,5.3,4.5,5.3,2.2,2.2,3.9
3205,Bilton C.Of E. Junior School,Junior,Primary,Eastern,Rugby,3.5,3.3,3.7,0.2,0.2,0.2
2420,Bilton Infant School,Infant,Primary,Eastern,Rugby,4.4,4,4.4,1.1,0,2.7
4238,Bilton School A Maths and Computing College,Secondary,Secondary,Eastern,Rugby,8.8,8,7.1,8.5,7.9,5
2626,Binley Woods Primary School,Primary,Primary,Eastern,Rugby,4.2,4.2,4.7,1.1,0.6,1.2
2619,Birchwood Primary School,Primary,Primary,North Warwickshire,North Warwickshire,5.1,4.8,4.7,1.4,2.5,2
2014,Bishops Itchington Primary School,Primary,Primary,Central,Stratford upon Avon,4.9,5.8,4.8,3.9,4.3,1.6
3141,Bishops Tachbrook C.Of E. Primary School,Primary,Primary,Central,Warwick,3.3,2.7,4.1,0.6,0,0.6
2603,Bishopton Primary School,Primary,Primary,Southern,Stratford upon Avon,9.2,12.1,14,10.6,16,15.3
