INSPECTOR,EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,COST_CODE,START_AGE,LEAVE_AGE,GOVERNANCE_DESC,SCH_DELIVERY_NO,CLOSED
Adrienne Holland,Nuneaton & Bedworth,Nuneaton and Bedworth,3103,Infant,Primary,Abbey C.Of E. Infant School,Mrs. Deborah Middleton,31/12/2010,ASTON ROAD,,NUNEATON,WARWICKSHIRE,CV11 5EL,(024) 7638 6101,,,admin3103@we-learn.com,E53,4,7,Voluntary Controlled,B38,N
Peter Rayers,Eastern,Rugby,2410,Infant,Primary,Abbots Farm Infant School,Mrs. Linda Teague,,ABBOTTS WAY,,RUGBY,WARWICKSHIRE,CV21 4AP,(01788) 543093,,(01788) 543093,admin2410@we-learn.com,D14,4,7,Community,A46,N
Peter Rayers,Eastern,Rugby,2421,Junior,Primary,Abbots Farm Junior School,Mr. John Alexander,,ABBOTTS WAY,,RUGBY,WARWICKSHIRE,CV21 4AP,(01788) 576074,,(01788) 576074,afjsuk@yahoo.co.uk,D15,7,11,Community,A47,N
Linda Stock,Southern,Stratford on Avon,2639,Primary,Primary,Acorns Primary School,Mrs. Dorinda Hunt,,LONG COMPTON,,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 5LA,(01608) 684654,,,admin2639@we-learn.com,F61,4,11,Community,C4,N
Douglas Tribe,Southern,Stratford on Avon,5407,Secondary,Secondary,Alcester Grammar School,Mr. Iain Blaikie,,BIRMINGHAM ROAD,,ALCESTER,WARWICKSHIRE,B49 5ED,(01789) 762494,,(01789) 400626,moore.c1@we-learn.com,W07,11,18,Foundation,C34,N
Tony Salmon,Southern,Stratford on Avon,4240,Secondary,Secondary,Alcester High School Technology College,Ms. Jane Brooks,,GERARD ROAD,,ALCESTER,WARWICKSHIRE,B49 6QQ,(01789) 762285,,(01789) 400095,4240admin@we-learn.com,Q02,11,16,Community,C39,N
Chris Hunt,Nuneaton & Bedworth,Nuneaton and Bedworth,4150,Secondary,Secondary,Alderman Smith School And Sports College,Mrs. M A Ryan,,RADNOR DRIVE,STOCKINGFORD,NUNEATON,WARWICKSHIRE,CV10 7PD,(024) 7634 1134,,(024) 7637 5459,office@aldermansmith.com,P09,11,16,Community,B31,N
Phil Robbins,Central,Warwick,3588,Primary,Primary,"All Saints C.Of E. (VA) Primary School, Leek Wootton",Mrs. Susan Patterson,,WARWICK ROAD,LEEK WOOTTON,WARWICK,WARWICKSHIRE,CV35 7QR,(01926) 400498,,(01926) 400498,admin3588@we-learn.com,C37,4,11,Voluntary Aided,D51,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,3301,Infant,Primary,All Saints C.Of E. Infant School,Mr. Mark Ingham,,BULKINGTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 9DG,(024) 7631 3387,,(024) 7631 3387,admin3301@we-learn.com,E13,4,7,Voluntary Aided,B61,N
Stephen McGlone,Central,Warwick,3154,Junior,Primary,All Saints C.Of E. Junior School,Mr. Richard Machin,,NELSON AVENUE,,WARWICK,WARWICKSHIRE,CV34 5LY,(01926) 492991,,(01926) 408116,admin3154@we-learn.com,C48,7,11,Voluntary Controlled,D33,N
