ESTAB,School name,District,Education Area,Type,Phase,2008 Information Not Yet Obtained,2008 Any Other Asian Background,2008 Any Other Black Background,2008 Any Other Ethnic Group,2008 Any Other Mixed Background,2008 Any Other White Background,2008 Bangladeshi,2008 Black - African,2008 Black Caribbean,2008 Chinese,2008 Gypsy / Roma,2008 Indian,2008 Pakistani,2008 Refused,2008 Traveller of Irish Heritage,2008 White - British,2008 White - Irish,2008 White and Asian,2008 White and Black African,2008 White and Black Caribbean,2009 Information Not Yet Obtained,2009 Any Other Asian Background,2009 Any Other Black Background,2009 Any Other Ethnic Group,2009 Any Other Mixed Background,2009 Any Other White Background,2009 Bangladeshi,2009 Black - African,2009 Black Caribbean,2009 Chinese,2009 Gypsy / Roma,2009 Indian,2009 Pakistani,2009 Refused,2009 Traveller of Irish Heritage,2009 White - British,2009 White - Irish,2009 White and Asian,2009 White and Black African,2009 White and Black Caribbean,2010 Information Not Yet Obtained,2010 Any Other Asian Background,2010 Any Other Black Background,2010 Any Other Ethnic Group,2010 Any Other Mixed Background,2010 Any Other White Background,2010 Bangladeshi,2010 Black - African,2010 Black Caribbean,2010 Chinese,2010 Gypsy / Roma,2010 Indian,2010 Pakistani,2010 Refused,2010 Traveller of Irish Heritage,2010 White - British,2010 White - Irish,2010 White and Asian,2010 White and Black African,2010 White and Black Caribbean
1000,Atherstone Early Years Centre,North Warwickshire,North Warwickshire,Nursery,Nursery,0,0,0,0,0,0,0,0,1.2,1.2,0,0,0,0,0,92.6,1.2,2.5,0,1.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Bedworth Early Years Centre and Nursery,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,92.6,0,4.4,0,1.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Bedworth Heath Nursery School and Children's Centre,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,0,0,1.3,1.3,0,0,0,0,0,1.3,0,6.3,0,0,0,88.8,0,0,0,1.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Whitnash Nursery School,Warwick,Central,Nursery,Nursery,12.5,1.3,0,0,1.3,2.5,0,0,0,0,0,13.8,1.3,10,0,46.3,2.5,3.8,1.3,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,Kenilworth Children's Centre and Nursery School,Warwick,Central,Nursery,Nursery,0,0,0,0,1.3,2.5,0,0,0,1.3,0,0,0,0,0,89.9,1.3,2.5,0,1.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,Warwick Children's Centre & Nursery School,Warwick,Central,Nursery,Nursery,6.8,1.4,0,0,2.7,2.7,0,0,0,0,0,1.4,1.4,1.4,0,81.1,0,0,0,1.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Stockingford Early Years Centre,Nuneaton and Bedworth,Nuneaton & Bedworth,Nursery,Nursery,1.3,0,0,1.3,0,1.3,0,0,0,0,0,1.3,0,0,0,94.8,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Nursery Hill Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0.7,1.4,0,0,0,0,0,0,0,0,0,0.7,1.4,2.2,0,92.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.5,0,0,97.8,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,95,0,0,0,0
2002,Gun Hill Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0.9,0,93.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.9,0,94.5,0,3.7,0,0,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0.9,0,94.5,0,2.7,0,0
2004,Arden Hill Infant School,North Warwickshire,North Warwickshire,Infant,Primary,4.5,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,94.9,0,0,0,0,13.7,0,0,0,1.1,1.6,0,0,0,0,0,1.6,0,0,0.5,80.8,0,0,0.5,0,0,0,0,0,0.6,1.1,0,0,0,0,0,1.1,0,0,1.1,94.9,0,0,1.1,0
