Estab,School Name,Type,Phase,Education Area,District Area,2008,2009,2010
3103,Abbey C.Of E. Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,20.8,26.5,31.6
2410,Abbots Farm Infant School,Infant,Primary,Eastern,Rugby,4.9,6.6,11.3
2421,Abbots Farm Junior School,Junior,Primary,Eastern,Rugby,3.2,4.8,9.2
2639,Acorns Primary School,Primary,Primary,Southern,Stratford on Avon,2.7,0,6.8
5407,Alcester Grammar School,Secondary,Secondary,Southern,Stratford on Avon,0.7,1,0.7
4240,Alcester High School Technology College,Secondary,Secondary,Southern,Stratford on Avon,7.3,5.7,8.5
4150,Alderman Smith School And Sports College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,12.1,13.8,15.4
3588,"All Saints C.Of E. (VA) Primary School, Leek Wootton",Primary,Primary,Central,Warwick,0,0.8,0.8
3301,All Saints C.Of E. Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,27.3,26.1,19.5
3154,All Saints C.Of E. Junior School,Junior,Primary,Central,Warwick,7.9,15.8,12.4
3101,"All Saints C.Of E. Primary School, Nuneaton",Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,50,54,60.7
3002,Alveston C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,5.8,6.7,6.1
2630,Arden Forest Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.9,6.5,4.6
2004,Arden Hill Infant School,Infant,Primary,North Warwickshire,North Warwickshire,13.8,14.6,17
5401,Ash Green School and Arts College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,12.7,14,13.8
4241,Ashlawn School,Secondary,Secondary,Eastern,Rugby,3.4,4.4,4.7
1000,Atherstone Early Years Centre,Nursery,Nursery,North Warwickshire,North Warwickshire,0,0,0
3007,Austrey C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,0,2,3.8
4190,Aylesford School. A specialist Language and Music College,Secondary,Secondary,Central,Warwick,8.4,11.5,11.2
3587,Barford St. Peter's C.Of E. Primary School,Primary,Primary,Southern,Warwick,1.7,1.8,2.6
2423,Bawnmore Infant School,Infant,Primary,Eastern,Rugby,3.4,3.4,3.9
1001,Bedworth Early Years Centre and Nursery,Nursery,Nursery,Nuneaton & Bedworth,Nuneaton and Bedworth,0,0,0
1002,Bedworth Heath Nursery School and Children's Centre,Nursery,Nursery,Nuneaton & Bedworth,Nuneaton and Bedworth,0,0,0
3011,Bidford-On-Avon C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,11.5,9.7,11.1
3205,Bilton C.Of E. Junior School,Junior,Primary,Eastern,Rugby,4.3,5.3,4.8
2420,Bilton Infant School,Infant,Primary,Eastern,Rugby,6.4,5.3,6.2
4238,Bilton School A Maths and Computing College,Secondary,Secondary,Eastern,Rugby,7.7,7.7,8.7
2626,Binley Woods Primary School,Primary,Primary,Eastern,Rugby,2.4,3.1,3.9
2619,Birchwood Primary School,Primary,Primary,North Warwickshire,North Warwickshire,7,8.3,8.7
2014,Bishops Itchington Primary School,Primary,Primary,Central,Stratford on Avon,8.5,14,17.8
3141,Bishops Tachbrook C.Of E. Primary School,Primary,Primary,Central,Warwick,5.4,4.6,8.5
2603,Bishopton Primary School,Primary,Primary,Southern,Stratford on Avon,20.9,17.9,25.2
2598,Boughton Leigh Infant School,Infant,Primary,Eastern,Rugby,33.8,34.7,29.9
2590,Boughton Leigh Junior School,Junior,Primary,Eastern,Rugby,15.6,14.8,17.9
3215,Bournebrook C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,7.5,6.6,7.5
3014,Brailes C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,4.9,5.4,5.8
2327,Briar Hill Infant School,Infant,Primary,Central,Warwick,6.5,7.1,9.6
2053,Bridge Town Primary School,Primary,Primary,Southern,Stratford on Avon,2.3,3.6,3.2
7023,Brooke School,Special,Special,Eastern,Rugby,26.6,28.4,28.9
2330,Brookhurst Primary School,Primary,Primary,Central,Warwick,2.5,3.2,4.1
2616,Brownsover Community School,Infant,Primary,Eastern,Rugby,7.6,9.3,10.2
2329,Budbrooke Primary School,Primary,Primary,Central,Warwick,0.4,2.2,2.2
3143,Burton Green C.Of E. Primary School,Primary,Primary,Central,Warwick,0,0,1
2640,Camp Hill Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,38.4,43.8,45
4192,Campion School,Secondary,Secondary,Central,Warwick,18.1,19.9,26.1
3315,Canon Evans C.Of E. Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,8.9,12.8,11.8
3302,Canon Maggs C.Of E. Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,8.7,10.7,10.1
3594,Cawston Grange Primary School,Primary,Primary,Eastern,Rugby,4.9,8.7,8.7
2581,Chetwynd Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,10.2,11.9,11.3
