For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2009,Central,All Saints? C. of E. (Aided) Community Primary School (Leek Wootton),17,17,Places Allocated According to Schools Criteria. Contact School for Details.
2009,Central,Bishops Itchington (Community) Primary School,30,14,All Offered
2009,Central,Bishops Tachbrook C. of E. (Controlled) Primary School,30,30,"All On Time Criteria 2, 4 & 5. "
2009,Central,Briar Hill (Community) Infant School,90,90,"All On Time Criteria 2, 3, and 4 up to a distance 0f .834 miles"
2009,Central,Brookhurst (Community) Primary School,60,60,All Offered including Unplaced Applicants
2009,Central,Budbrooke (Community) Primary School,45,45,"All On Time Criteria 2, 4, 5 and 7 up to a distance of 1.26 miles"
2009,Central,Burton Green C. of E. (Controlled) Primary School ,15,15,"All On Time Criteria 2, 4, 5 and 7 up to a distance of 2.117 miles"
2009,Central,Clapham Terrace (Community) Community Primary School,30,30,All Offered Including Unplaced Applicants
2009,Central,Clinton (Community) Primary School,30,30,"All On Time Criteria 2, 4, 5 and 7 up to a distance of .307 miles"
2009,Central,Coten End (Community) Primary School,60,60,"All On Time Criteria 2, 4 and 5 up to a distance of .988 miles"
2009,Central,Cubbington C. of E. (Controlled) Primary School,30,30,"All On Time Criteria 2, 4, 5 and 7 up to a distance of 1.462 miles"
2009,Central,Emscote (Community) Infant School,60,60,All On-Time Applicants
2009,Central,The Ferncumbe C. of E. (Controlled) Primary School,17,17,All On-Time and Late Applicants
2009,Central,Harbury C. of E. (Controlled) Primary School,30,30,"All On Time Criteria 2, 4, 5 and 7 up to a distance of 3.854 miles"
2009,Central,Kingsway Community (Community) Primary School,24,23,All Offered Including Unplaced Applicants
2009,Central,Lapworth C. of E. (Controlled) Primary School,20,20,All On Time & Late Applicants
2009,Central,Lillington (Community) Primary School,30,30,All Offered Including Unplaced Applicants
2009,Central,Long Itchington C. of E. (Controlled) Primary School,28,17,All Offered
2009,Central,Milverton (Community) Primary School,45,45,"All On Time Criteria 2, 4, 5 and 7 up to a distance of .56 miles"
2009,Central,Newburgh (Community) Primary School,30,30,All On Time Criteria 2 and 4
2009,Central,Our Lady & St Theresa's Catholic (Aided) Primary School,30,13,All Offered
2009,Central,Priors Field (Community) Primary School ,30,30,All On-Time Criteria 2 and 4 up to a distance of 0.641 miles
2009,Central,Radford Semele C. of E. (Controlled) Primary School,30,30,All On Time and Late Applicants 
2009,Central,Shrubland Street (Community) Community Primary School,28,28,All Offered Including Unplaced Applicants
2009,Central,Southam (Community) Primary School,42,34,All Offered
2009,Central,St Anthony's Catholic (Aided) Primary School,30,26,All Offered
2009,Central,St Augustine's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2009,Central,St James' C. of E. (Aided) Primary School (Southam),28,20,All Offered
2009,Central,St John's (Community) Primary School,40,41,All Offered Including Unplaced Applicants
2009,Central,St Joseph's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2009,Central,St Lawrence C. of E. (Aided) Primary School,26,13,All Offered
2009,Central,St Mary's Catholic (Aided) Primary School (Southam),30,13,All Offered
