EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,START_AGE,LEAVE_AGE,Control,SCH_DELIVERY_NO,Specialism,Second Specialism,WEB_ADDRESS
Nuneaton & Bedworth,Nuneaton and Bedworth,3103,Infant,Primary,Abbey C.Of E. Infant School,Mrs. Deborah Middleton,31/12/2010,ASTON ROAD,,NUNEATON,WARWICKSHIRE,CV11 5EL,(024) 7638 6101,,,admin3103@we-learn.com,4,7,C of E Controlled,B38,,,N/A
Eastern,Rugby,2410,Infant,Primary,Abbots Farm Infant School,Mrs. Linda Teague,,ABBOTTS WAY,,RUGBY,WARWICKSHIRE,CV21 4AP,(01788) 543093,,(01788) 543093,admin2410@we-learn.com,4,7,Community,A46,,,http://www.abbotsfarm-inf.warwickshire.sch.uk/
Eastern,Rugby,2421,Junior,Primary,Abbots Farm Junior School,Mrs. Sharon Farrell,31/03/2011,ABBOTTS WAY,,RUGBY,WARWICKSHIRE,CV21 4AP,(01788) 576074,,(01788) 576074,admin2421@we-learn.com,7,11,Community,A47,,,http://www.abbotsfarm.co.uk/
Southern,Stratford on Avon,2639,Primary,Primary,Acorns Primary School,Ms. Jane O'Sullivan,Acting,LONG COMPTON,,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 5LA,(01608) 684654,,,admin2639@we-learn.com,4,11,Community,C4,,,http://www.acornsprimary.co.uk
Southern,Stratford on Avon,5407,Academy,Academy,Alcester Grammar School,Mr. Iain Blaikie,,BIRMINGHAM ROAD,,ALCESTER,WARWICKSHIRE,B49 5ED,(01789) 762494,,(01789) 400626,moore.c1@we-learn.com,11,18,Academy Trust,C34,Arts,Science,http://www.alcester.net/ags
Southern,Stratford on Avon,4240,Secondary,Secondary,Alcester High School Technology College,Ms. Jane Brooks,,GERARD ROAD,,ALCESTER,WARWICKSHIRE,B49 6QQ,(01789) 762285,,(01789) 400095,4240admin.s@we-learn.com,11,16,Community,C39,Technology,Music,http://www.ahstc.net
Central,Warwick,3588,Primary,Primary,"All Saints C.Of E. (VA) Primary School, Leek Wootton",Mrs. Susan Patterson,,WARWICK ROAD,LEEK WOOTTON,WARWICK,WARWICKSHIRE,CV35 7QR,(01926) 400498,,(01926) 400498,admin3588@we-learn.com,4,11,C of E Aided,D51,,,http://www.allsaints-leekwootton.warwickshire.sch.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,3301,Infant,Primary,All Saints C.Of E. Infant School,Mrs. Tina Keeling,,BULKINGTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 9DG,(024) 7631 3387,,(024) 7631 3387,admin3301@we-learn.com,4,7,C of E Aided,B61,,,http://www.allsaintsschbedworth.co.uk
Central,Warwick,3154,Junior,Primary,All Saints C.Of E. Junior School,Mr. Richard Machin,,NELSON AVENUE,,WARWICK,WARWICKSHIRE,CV34 5LY,(01926) 492991,,(01926) 408116,admin3154@we-learn.com,7,11,C of E Controlled,D33,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,3101,Primary,Primary,"All Saints C.Of E. Primary School, Nuneaton",Mrs. Sally Kaminski-Gaze,,KNEBLEY CRESCENT,,NUNEATON,WARWICKSHIRE,CV10 7AT,(024) 7638 2123,,(024) 7632 0531,admin3101@we-learn.com,4,11,C of E Controlled,B51,,,N/A
Southern,Stratford on Avon,3002,Primary,Primary,Alveston C.Of E. Primary School,Mrs. Krystyna Vickery,,KNIGHT'S LANE,TIDDINGTON,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 7BZ,(01789) 293412,,,admin3002@we-learn.com,4,11,C of E Controlled,C15,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,2630,Infant,Primary,Arden Forest Infant School,Mrs. Pam Griffin,,WESTON LANE,BULKINGTON,NUNEATON,WARWICKSHIRE,CV12 9RT,(024) 7631 5913,,,admin2630@we-learn.com,4,7,Community,B58,,,http://www.ardenforest.warwickshire.sch.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,5401,Secondary,Secondary,Ash Green School and Arts College,Mr. Andrew Clay,,ASH GREEN LANE,EXHALL,COVENTRY,WEST MIDLANDS,CV7 9AH,(024) 7636 6772,(024) 7636 6797,(024) 7636 6383,head.teacher@admin.ashgreen.warwickshire.sch.uk,11,16,Foundation,B74,Arts,,http://www.ashgreenschool.co.uk/
Eastern,Rugby,4241,Academy,Academy,Ashlawn School,Mrs. Lois Reed,,ASHLAWN ROAD,,RUGBY,WARWICKSHIRE,CV22 5ET,(01788) 573425/6,,(01788) 536159,info@ashlawn.org.uk,11,18,Academy Trust,A50,Science,Leadership Partner School YST,http://www.ashlawn.org.uk
North Warwickshire,North Warwickshire,1000,Nursery,Nursery,Atherstone Early Years Centre,Mrs. Jeanette Hiatt,,KINGS AVENUE,,ATHERSTONE,WARWICKSHIRE,CV9 1JZ,(01827) 713116,,,admin1000@we-learn.com,2,3,Community,B12,,,N/A
North Warwickshire,North Warwickshire,3007,Primary,Primary,Austrey C.Of E. Primary School,Mrs. Ann Parsons,,ST. NICHOLAS CLOSE,AUSTREY,ATHERSTONE,WARWICKSHIRE,CV9 3EQ,(01827) 830248,,,admin3007@we-learn.com,4,11,C of E Controlled,B2,,,http://www.austrey-ce-school.co.uk/
Central,Warwick,4190,Secondary,Secondary,Aylesford School and Sixth Form College,Mr. Steven Hall,,SHELLEY AVENUE,,WARWICK,WARWICKSHIRE,CV34 6LA,(01926) 747100,,(01926) 494194,office@aylesford-elearning.net,11,18,Community,D28,Language,Music,http://www.aylesford-elearning.net
Southern,Warwick,3587,Primary,Primary,Barford St. Peter's C.Of E. Primary School,Ms. Annette Delaney,,CHURCH STREET,BARFORD,WARWICK,WARWICKSHIRE,CV35 8EW,(01926) 624244,,(01926) 624109,admin3587@we-learn.com,4,11,C of E Aided,D5,,,http://www.barfordschool.org
Eastern,Rugby,2423,Infant,Primary,Bawnmore Infant School,Mrs. Debra Wade,,BAWNMORE ROAD,,RUGBY,WARWICKSHIRE,CV22 6JS,(01788) 810065,,(01788) 810065,admin2423@we-learn.com,4,7,Community,A20,,,http://www.bawnmoreinfantschool.co.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,1002,Nursery,Nursery,Bedworth Heath Nursery School and Children's Centre,Miss. Amanda King,,GLEBE AVENUE,,BEDWORTH,WARWICKSHIRE,CV12 0DP,(024) 7636 4188,,,admin1002@we-learn.com,2,3,Community,B76,,,http://www.bedworthheathnursery.co.uk/
Southern,Stratford on Avon,3011,Primary,Primary,Bidford-On-Avon C.Of E. Primary School,Mr. Andrew Simms,,BRAMLEY WAY,BIDFORD-ON-AVON,ALCESTER,WARWICKSHIRE,B50 4QG,(01789) 773201,,,admin3011@we-learn.com,4,11,C of E Controlled,C31,,,http://www.bidfordonavon.warwickshire.sch.uk
Eastern,Rugby,3205,Junior,Primary,Bilton C.Of E. Junior School,Mr. Richard Powell,,PLANTAGENET DRIVE,,RUGBY,WARWICKSHIRE,CV22 6LB,(01788) 810675,,(01788) 522576,admin3205@we-learn.com,7,11,C of E Controlled,A21,,,http://www.biltonjuniorschool.co.uk
Eastern,Rugby,2420,Infant,Primary,Bilton Infant School,Mrs. Sharon Harris,,MAGNET LANE,BILTON,RUGBY,WARWICKSHIRE,CV22 7NH,(01788) 811549,,(01788) 811549,admin2420@we-learn.com,4,7,Community,A23,,,http://www.bis.moonfruit.com/
Eastern,Rugby,4238,Secondary,Secondary,Bilton School A Maths and Computing College,Ms. Patsy Weighill,,LAWFORD LANE,BILTON,RUGBY,WARWICKSHIRE,CV22 7JT,(01788) 840600,,(01788) 840610,office@biltonmail.com,11,16,Community,A24,Maths and Computing,,http://www.biltonschool.com
Eastern,Rugby,2626,Primary,Primary,Binley Woods Primary School,Mrs. Karen Davidson,,COOMBE DRIVE,,BINLEY WOODS,WARWICKSHIRE,CV3 2QU,(024) 7654 3754,(024) 7654 0055,(024) 76540055,admin2626@we-learn.com,4,11,Community,D71,,,http://www.binleywoods.warwickshire.sch.uk
