FID,ESTAB,SCH_NAME,ADDRESS_1,ADDRESS_2,ADDRESS_3,POSTCODE,SCH_TYPE,EDUC_AREA,UPRN,LATTIUDE,LONGITUDE
,1000,Atherstone Early Years Centre,RATCLIFFE ROAD,,ATHERSTONE,CV9 1LF,Nursery,North Warwickshire,2016,52.5786677,-1.5420408
,1001,Bedworth Early Years Centre and Nursery,HAZEL GROVE,,BEDWORTH,CV129DA,Nursery,Nuneaton & Bedworth,1008,52.4786839,-1.4594918
,1002,Bedworth Heath Nursery School,GLEBE AVENUE,,BEDWORTH,CV120DP,Nursery,Nuneaton & Bedworth,1021,52.4734553,-1.4970235
,1003,Whitnash Nursery School,NURSERY LANE,WHITNASH,LEAMINGTON SPA,CV312PW,Nursery,Central,5092,52.2747780,-1.5245999
,1020,Kenilworth Children's Centre and Nursery School,BERTIE ROAD,,KENILWORTH,CV8 1JP,Nursery,Central,5034,52.3425248,-1.5755131
,1022,Warwick Children's Centre and Nursery School,COVENTRY ROAD,,WARWICK,CV344LJ,Nursery,Central,5231,52.2848663,-1.5819716
,1041,Stockingford Early Years Centre,ST. PAUL'S ROAD,STOCKINGFORD,NUNEATON,CV108HW,Nursery,Nuneaton & Bedworth,6015,52.5190190,-1.5039607
,1105,Teacher and Learning Centre,POUND LANE,LILLINGTON,LEAMINGTON SPA,CV327RT,PRU,Central,5102,52.2958284,-1.5415451
,2001,Nursery Hill Primary School,ANSLEY COMMON,,NUNEATON,CV100PY,Primary,North Warwickshire,2001,52.5397303,-1.5415021
,2002,Gun Hill Infant School,GUN HILL,NEW ARLEY,COVENTRY,CV7 8HB,Infant,North Warwickshire,2005,52.5045522,-1.5676939
,2004,Arden Hill Infant School,SOUTHLANDS,,ATHERSTONE,CV9 1DZ,Infant,North Warwickshire,2013,52.5735226,-1.5436289
,2014,Bishops Itchington Primary School,LADBROKE ROAD,BISHOPS ITCHINGTON,SOUTHAM,CV472RN,Primary,Central,4035,52.2171048,-1.4292396
,2017,Claverdon Primary School,LANGLEY ROAD,CLAVERDON,WARWICK,CV358QA,Primary,Southern,4064,52.2798296,-1.7178815
,2018,Dordon Community Primary School,ROMAN WAY,DORDON,TAMWORTH,B78 1PJ,Primary,North Warwickshire,2106,52.6041372,-1.6157667
,2021,Wheelwright Lane Primary School,WHEELWRIGHT LANE,ASH GREEN,COVENTRY,CV7 9HN,Primary,Nuneaton & Bedworth,1016,52.4551795,-1.5058111
,2024,Great Alne Primary School,SCHOOL ROAD,GREAT ALNE,ALCESTER,B49 6HQ,Primary,Southern,4079,52.2302851,-1.8382399
,2028,Michael Drayton Junior School,THE WOODLANDS,HARTSHILL,NUNEATON,CV100SZ,Junior,North Warwickshire,2125,52.5425930,-1.5220087
,2029,Nathaniel Newton Infant School,VICTORIA ROAD,CHAPEL END,NUNEATON,CV100LS,Infant,North Warwickshire,2128,52.5397188,-1.5204328
,2031,Henley-In-Arden Primary School,ARDEN ROAD,,HENLEY-IN-ARDEN,B95 5LT,Primary,Southern,4092,52.2913675,-1.7738153
,2032,Hurley Primary School,HEANLEY LANE,HURLEY,ATHERSTONE,CV9 2HY,Primary,North Warwickshire,2140,52.5607485,-1.6374464
,2043,Quinton Primary School,LOWER QUINTON,,STRATFORD-UPON-AVON,CV378SA,Primary,Southern,4144,52.1229395,-1.7421252
,2046,Snitterfield Primary School,SCHOOL ROAD,SNITTERFIELD,STRATFORD-UPON-AVON,CV370JL,Primary,Southern,4168,52.2369914,-1.6894661
,2049,Stockton Primary School,SCHOOL STREET,STOCKTON,RUGBY,CV478JE,Primary,Central,4206,52.2697294,-1.3614319
,2050,Stratford-upon-Avon Primary School,BROAD STREET,,STRATFORD-UPON-AVON,CV376HN,Primary,Southern,4229,52.1895610,-1.7118992
,2052,Thomas Jolyffe Primary School,CLOPTON ROAD,,STRATFORD-UPON-AVON,CV376TE,Primary,Southern,4225,52.2020759,-1.7083506
,2053,Bridge Town Primary School,BYRON ROAD,,STRATFORD-UPON-AVON,CV377JP,Primary,Southern,4228,52.1852558,-1.6945214
,2055,Studley Infant School,HIGH STREET,,STUDLEY,B80 7HJ,Infant,Southern,4263,52.2726045,-1.8960333
,2058,Welford-On-Avon Primary School,HEADLAND ROAD,WELFORD-ON-AVON,STRATFORD-UPON-AVON,CV378ER,Primary,Southern,4298,52.1659335,-1.7881062
,2063,Wood End Primary School,WOOD STREET,WOOD END,ATHERSTONE,CV9 2QL,Primary,North Warwickshire,2139,52.5796095,-1.6464406
,2064,Lighthorne Heath Primary School,LIGHTHORNE HEATH,,LEAMINGTON SPA,CV339TW,Primary,Southern,4077,52.2007619,-1.4905513
,2103,Chilvers Coton Community Infant School,FITTON STREET,,NUNEATON,CV115RB,Infant,Nuneaton & Bedworth,1153,52.5174563,-1.4730901
,2634,Goodyers End Primary School,BOWLING GREEN LANE,,BEDWORTH,CV120HP,Primary,Nuneaton & Bedworth,1247,52.4695266,-1.4949043
,2635,Exhall Cedars Infant School,TRENANCE ROAD,EXHALL,COVENTRY,CV7 9FJ,Infant,Nuneaton & Bedworth,1015,52.4691779,-1.4787598
,2636,Park Lane Primary School,PARK LANE,,NUNEATON,CV108NL,Primary,Nuneaton & Bedworth,1145,52.5178848,-1.5300578
,2637,Shrubland Street Community Primary School,SHRUBLAND STREET,,LEAMINGTON SPA,CV312AR,Primary,Central,5096,52.2789988,-1.5279260
,2638,Kingsway Community Primary School,BAKER AVENUE,,LEAMINGTON SPA,CV313HB,Primary,Central,5087,52.2785001,-1.5382207
