,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
INSERTED DETAIL,200003,1spatial Group Ltd,51196952,R4512,Software,928.80,28/04/2017,Resources
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51203446,R5806,Residential Care,6400.00,13/04/2017,People Group
INSERTED DETAIL,200013,2simple Software Ltd,51190512,R4512,Software,48300.00,21/04/2017,Resources
INSERTED DETAIL,200014,3P Learning Ltd,51185765,R4056,SCHOOLS ONLY Learning Resources Curriculum,540.00,07/04/2017,Schools
INSERTED DETAIL,200017,90-One Education,51183892,R5604,Commissioned Works,1950.00,06/04/2017,Communities
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190478,R5805,Homecare - External Domiciliary,2590.28,06/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190483,R5805,Homecare - External Domiciliary,925.12,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190485,R5805,Homecare - External Domiciliary,925.12,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190480,R5805,Homecare - External Domiciliary,1850.24,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190479,R5805,Homecare - External Domiciliary,925.12,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190477,R5805,Homecare - External Domiciliary,644.28,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190474,R5805,Homecare - External Domiciliary,925.12,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190473,R5805,Homecare - External Domiciliary,578.20,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51189505,R5805,Homecare - External Domiciliary,614.66,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51190476,R5805,Homecare - External Domiciliary,2593.36,13/04/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51202342,R5805,Homecare - External Domiciliary,538.88,21/04/2017,People Group
INSERTED DETAIL,219733,A Call to Men UK,51190498,R4030,Materials,2000.00,21/04/2017,Communities
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51179202,R5848,Residential Care (Children),15000.00,05/04/2017,People Group
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51195164,R5848,Residential Care (Children),15000.00,27/04/2017,People Group
INSERTED DETAIL,218624,A Merrie Noyse,51197145,R4612,Projects,1905.80,10/04/2017,Communities
INSERTED DETAIL,218624,A Merrie Noyse,51189673,R4612,Projects,1050.00,20/04/2017,Communities
INSERTED DETAIL,200114,Abacus Day Nursery,51200205,R6106,Early Years Funding (PVIs and LA),16605.28,24/04/2017,Communities
INSERTED DETAIL,200114,Abacus Day Nursery,51208382,R6106,Early Years Funding (PVIs and LA),2269.41,28/04/2017,Communities
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,51200091,R6106,Early Years Funding (PVIs and LA),11497.75,24/04/2017,Communities
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,51208351,R6106,Early Years Funding (PVIs and LA),1014.36,28/04/2017,Communities
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51183114,R1601,Training,1300.00,07/04/2017,Fire and Rescue
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51193755,R1601,Training,1225.00,26/04/2017,Fire and Rescue
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51193760,R1601,Training,1375.00,26/04/2017,Fire and Rescue
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51193762,R1601,Training,1375.00,26/04/2017,Fire and Rescue
INSERTED DETAIL,233294,Abbey Healthcare (Aaron Court),51183454,R5806,Residential Care,1260.43,27/04/2017,People Group
INSERTED DETAIL,233294,Abbey Healthcare (Aaron Court),51203442,R5806,Residential Care,1853.57,27/04/2017,People Group
INSERTED DETAIL,200121,Abbey Preschool,51200054,R6106,Early Years Funding (PVIs and LA),2646.54,24/04/2017,Communities
INSERTED DETAIL,230978,Abbotswood Lodge Ltd,51203445,R5806,Residential Care,1772.52,13/04/2017,People Group
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51188392,R5822,Foster Care Payments - External Provision,3314.79,13/04/2017,People Group
INSERTED DETAIL,209852,ABC Teachers Ltd,51183879,R1101,Agency Staff Pay,1263.45,07/04/2017,Schools
INSERTED DETAIL,209852,ABC Teachers Ltd,51188077,R1101,Agency Staff Pay,1263.45,13/04/2017,Schools
