Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,
200014,3P Learning Ltd,50810520,R4512,Software,1566.00,21/04/2015,Schools,,,,
200014,3P Learning Ltd,50813672,R4515,Computer Equipment Curriculum,675.00,27/04/2015,Schools,,,,
223628,A and K Home Care Services Ltd,50796777,R5805,Homecare - External Domiciliary (Adults),2464.00,15/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50806114,R5805,Homecare - External Domiciliary (Adults),528.00,15/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50806175,R5805,Homecare - External Domiciliary (Adults),560.00,15/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50806176,R5805,Homecare - External Domiciliary (Adults),1344.00,15/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50806177,R5805,Homecare - External Domiciliary (Adults),560.00,15/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50806178,R5805,Homecare - External Domiciliary (Adults),928.00,15/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50806209,R5805,Homecare - External Domiciliary (Adults),896.00,16/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50810937,R5805,Homecare - External Domiciliary (Adults),984.00,21/04/2015,People Group,,,,
223628,A and K Home Care Services Ltd,50814236,R5805,Homecare - External Domiciliary (Adults),2464.00,29/04/2015,People Group,,,,
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50806495,R5848,Residential Care (Children),15000.00,20/04/2015,People Group,,,,
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50812685,R5848,Residential Care (Children),7260.00,29/04/2015,People Group,,,,
,A1 CLUTCHES,P-Card,,,"1,205.10",23/04/2015,,,,,
200114,Abacus Day Nursery,50791297,R6106,Private Providers - Early Years Funding,15526.37,13/04/2015,People Group,,,,
200114,Abacus Day Nursery,50811116,R6106,Private Providers - Early Years Funding,1447.88,27/04/2015,People Group,,,,
227305,Abacus Fostering Ltd,50791725,R5822,Foster Care Payments - External,3118.00,10/04/2015,People Group,,,,
200115,Abacus Pre-School Nursery Ltd,50791298,R6106,Private Providers - Early Years Funding,6969.22,13/04/2015,People Group,,,,
200115,Abacus Pre-School Nursery Ltd,50811117,R6106,Private Providers - Early Years Funding,740.03,27/04/2015,People Group,,,,
223099,Abacus Training Centre Ltd,50800802,R4019,Fire Equipment Purchase,16200.00,02/04/2015,Fire and Rescue,,,,
223099,Abacus Training Centre Ltd,50800803,R4019,Fire Equipment Purchase,15750.00,02/04/2015,Fire and Rescue,,,,
223099,Abacus Training Centre Ltd,50808822,R1601,Training - External,3212.00,22/04/2015,Fire and Rescue,,,,
223099,Abacus Training Centre Ltd,50808871,R1601,Training - External,700.00,17/04/2015,Fire and Rescue,,,,
221450,Abbey Fire (UK) Ltd,50798192,R2007,Health & Safety Contracts/Services,750.00,17/04/2015,Resources,,,,
221450,Abbey Fire (UK) Ltd,50798193,R2007,Health & Safety Contracts/Services,750.00,17/04/2015,Resources,,,,
221450,Abbey Fire (UK) Ltd,50798194,R2007,Health & Safety Contracts/Services,750.00,17/04/2015,Resources,,,,
221450,Abbey Fire (UK) Ltd,50804638,R2007,Health & Safety Contracts/Services,2100.00,30/04/2015,Resources,,,,
221450,Abbey Fire (UK) Ltd,50804639,R2007,Health & Safety Contracts/Services,2940.00,30/04/2015,Resources,,,,
200121,Abbey Preschool,50791299,R6106,Private Providers - Early Years Funding,5734.17,13/04/2015,People Group,,,,
223033,ABC Fostering Services Ltd,50800900,R5822,Foster Care Payments - External,3447.64,30/04/2015,People Group,,,,
223033,ABC Fostering Services Ltd,50800901,R5822,Foster Care Payments - External,3314.79,30/04/2015,People Group,,,,
223033,ABC Fostering Services Ltd,50805966,R5822,Foster Care Payments - External,3314.79,29/04/2015,People Group,,,,
200139,Ace Gearboxes Ltd,50804707,R4030,Materials,650.00,13/04/2015,Communities,,,,
214625,Acorn Hills Nursing Home,50809914,R5806,Residential Care (Adults),1915.84,24/04/2015,People Group,,,,
200145,Acorn Tree Surgery Ltd,50800957,R5706,Payments to Third Parties - Recoverable Operating Expenditure,816.46,07/04/2015,Communities,,,,
200146,Acorn Wood Day Nursery,50791300,R6106,Private Providers - Early Years Funding,10321.51,13/04/2015,People Group,,,,
200146,Acorn Wood Day Nursery,50811118,R6106,Private Providers - Early Years Funding,2895.75,27/04/2015,People Group,,,,
200152,Action 21,50808036,R5207,Re-useable Credits,959.05,17/04/2015,Communities,,,,
211087,Action Centres Uk Ltd,50788933,R5805,Homecare - External Domiciliary (Adults),592.70,02/04/2015,People Group,,,,
215891,Action For Children (****6746),50800984,R5848,Residential Care (Children),50625.00,23/04/2015,People Group,,,,
215891,Action For Children (****6746),50803666,R5702,Payments to External Contractors,-1948.52,07/04/2015,Communities,,,,
226074,Active FM,50801452,C1030,"New Construction, Conversion & Renovation",10745.00,24/04/2015,Capital,,,,
226074,Active FM,50801453,C1030,"New Construction, Conversion & Renovation",750.00,24/04/2015,Capital,,,,
226074,Active FM,50801453,C1030,"New Construction, Conversion & Renovation",9995.00,24/04/2015,Capital,,,,
200158,Active8 Sports,50797003,R4433,Sport Instruction,2220.00,13/04/2015,Schools,,,,
200169,Addaction - Henley House,50799524,R1101,Agency Staff Pay,3608.00,01/04/2015,Communities,,,,
200169,Addaction - Henley House,50809054,R5702,Payments to External Contractors,20971.73,21/04/2015,Communities,,,,
200169,Addaction - Henley House,50810817,R5702,Payments to External Contractors,281709.79,23/04/2015,Communities,,,,
200172,Adept,50804717,R4702,Subscriptions To Organisations,1495.00,13/04/2015,Other Services,,,,
225565,Adiemus Care Ltd (Cameron House),50809967,R5806,Residential Care (Adults),1812.44,20/04/2015,People Group,,,,
200187,Advance Housing & Support Ltd,50804999,R5805,Homecare - External Domiciliary (Adults),893.20,13/04/2015,People Group,,,,
100301,ADVENT ESTATES LIMITED T/A Kilsby House,50810073,R5806,Residential Care (Adults),3771.52,20/04/2015,People Group,,,,
209397,AECOM Ltd,50809166,R5702,Payments to External Contractors,1000.00,24/04/2015,Communities,,,,
216354,After Adoption,50797106,R4702,Subscriptions To Organisations,12138.00,02/04/2015,People Group,,,,
228407,Ahimsa (Safer Families) Ltd,50809818,R4405,Child Protection - Psychological Assessment,2419.20,22/04/2015,People Group,,,,
228469,Airstar European Network,50803644,R4019,Fire Equipment Purchase,2050.00,29/04/2015,Fire and Rescue,,,,
200211,Airtay,50776471,C1030,"New Construction, Conversion & Renovation",8500.00,02/04/2015,Capital,,,,
200211,Airtay,50796528,R2751,Grounds Maintenance Non Contract,8375.00,02/04/2015,Communities,,,,
200211,Airtay,50796529,C1030,"New Construction, Conversion & Renovation",7767.00,02/04/2015,Capital,,,,
200211,Airtay,50800086,R2751,Grounds Maintenance Non Contract,3800.00,09/04/2015,Communities,,,,
200211,Airtay,50800087,R2751,Grounds Maintenance Non Contract,5500.00,09/04/2015,Communities,,,,
200211,Airtay,50800167,R2751,Grounds Maintenance Non Contract,1975.00,09/04/2015,Communities,,,,
200212,Airware Pneumatics Ltd,50813231,R4030,Materials,622.14,30/04/2015,Communities,,,,
225383,Alan Hornsby Crane Hire,50793211,R5702,Payments to External Contractors,720.00,10/04/2015,Communities,,,,
100245,Albemarle Rest Home Ltd,50809919,R5806,Residential Care (Adults),5418.32,20/04/2015,People Group,,,,
100245,Albemarle Rest Home Ltd,50809919,R5806,Residential Care (Adults),2489.52,20/04/2015,People Group,,,,
100245,Albemarle Rest Home Ltd,50809919,R5806,Residential Care (Adults),2700.00,20/04/2015,People Group,,,,
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50810228,R5806,Residential Care (Adults),4573.68,20/04/2015,People Group,,,,
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50810228,R5806,Residential Care (Adults),1813.68,20/04/2015,People Group,,,,
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50810228,R5806,Residential Care (Adults),2213.68,20/04/2015,People Group,,,,
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50810228,R5806,Residential Care (Adults),4156.72,20/04/2015,People Group,,,,
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50810228,R5806,Residential Care (Adults),-681.36,20/04/2015,People Group,,,,
216679,Albert Street Medical Centre,50815205,R5702,Payments to External Contractors,500.00,29/04/2015,Communities,,,,
216679,Albert Street Medical Centre,50815317,R5702,Payments to External Contractors,1471.01,29/04/2015,Communities,,,,
208797,Alcester Academy (ACAD) School,50811929,R6107,SEN Statements Funding - Non-Maintained Schools,1676.00,22/04/2015,People Group,,,,
221172,Alcester Health Centre,50814141,R5702,Payments to External Contractors,833.50,29/04/2015,Communities,,,,
221172,Alcester Health Centre,50815332,R5702,Payments to External Contractors,1035.55,29/04/2015,Communities,,,,
200237,Alcester Nursery Studio,50791301,R6106,Private Providers - Early Years Funding,30199.96,13/04/2015,People Group,,,,
200237,Alcester Nursery Studio,50811119,R6106,Private Providers - Early Years Funding,3861.00,27/04/2015,People Group,,,,
220516,Alere Ltd (****7108),50800241,R5702,Payments to External Contractors,40000.00,09/04/2015,Communities,,,,
227909,Alive Oak,50795369,R5702,Payments to External Contractors,4515.00,10/04/2015,Communities,,,,
200109,All About People Counselling Services Ltd,50804778,R4409,Consultancy,2797.50,17/04/2015,Resources,,,,
202796,All Blinds Ltd,50801207,R2022,Building (LB),2384.44,01/04/2015,Resources,,,,
100004,Allambie Court Nursing Home,50809921,R5806,Residential Care (Adults),1840.68,20/04/2015,People Group,,,,
100004,Allambie Court Nursing Home,50809921,R5806,Residential Care (Adults),1859.08,20/04/2015,People Group,,,,
100004,Allambie Court Nursing Home,50809921,R5806,Residential Care (Adults),5196.56,20/04/2015,People Group,,,,
100435,Allambie Enterprises,50809922,R5806,Residential Care (Adults),1562.52,20/04/2015,People Group,,,,
207773,Allstar Business Solutions Ltd,50802543,R3005,Fuel,39707.32,10/04/2015,Communities,,,,
222255,Altman Integrated Technologies Ltd (AIT),50801626,R4018,Equipment Repair & Maintenance,975.00,24/04/2015,Resources,,,,
