,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,
INSERTED DETAIL,200003,1spatial Group Ltd,50994479,R4512,Software,860.00,21/04/2016,Resources,,,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51006920,R5806,Residential Care (Adults),2916.44,18/04/2016,People Group,,,,,
INSERTED DETAIL,227450,2bm Ltd,50982789,R4505,ICT Supplies / Consumables,5248.00,01/04/2016,Resources,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50998015,R5805,Homecare - External Domiciliary (Adults),896.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50998018,R5805,Homecare - External Domiciliary (Adults),672.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50998019,R5805,Homecare - External Domiciliary (Adults),576.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50998026,R5805,Homecare - External Domiciliary (Adults),672.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50998032,R5805,Homecare - External Domiciliary (Adults),560.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51004440,R5805,Homecare - External Domiciliary (Adults),560.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51004343,R5805,Homecare - External Domiciliary (Adults),2400.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51004436,R5805,Homecare - External Domiciliary (Adults),896.00,15/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50996811,R5805,Homecare - External Domiciliary (Adults),2464.00,22/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50999268,R5805,Homecare - External Domiciliary (Adults),896.00,28/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50999343,R5805,Homecare - External Domiciliary (Adults),1360.00,28/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50999360,R5805,Homecare - External Domiciliary (Adults),560.00,28/04/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50999255,R5805,Homecare - External Domiciliary (Adults),1120.00,28/04/2016,People Group,,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50983857,R5848,Residential Care (Children),15000.00,06/04/2016,People Group,,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50994957,R5848,Residential Care (Children),7500.00,21/04/2016,People Group,,,,,
INSERTED DETAIL,200114,Abacus Day Nursery,50990015,R6106,Private Providers - Early Years Funding,14908.84,04/04/2016,People Group,,,,,
INSERTED DETAIL,200114,Abacus Day Nursery,51008932,R6106,Private Providers - Early Years Funding,1351.35,25/04/2016,People Group,,,,,
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,50990011,R6106,Private Providers - Early Years Funding,8439.52,04/04/2016,People Group,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,51004918,C1010,Acquisition Of New Assets,898.10,15/04/2016,Capital,,,,,
INSERTED DETAIL,200121,Abbey Preschool,50990098,R6106,Private Providers - Early Years Funding,4690.26,04/04/2016,People Group,,,,,
