Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
219686,(NFER)The National Foundation for Educational Research in England and Wales (****2060),51379228,R4058,"Books, Newspapers & Publications","1,380.80",20/04/2018,Schools
200013,2simple Software Ltd,51378305,R4512,Software,"48,300.00",20/04/2018,Resources
200014,3P Learning Ltd,51386216,R4512,Software,700.56,19/04/2018,Schools
234457,3SFire,51379151,R1601,Training,"1,150.00",24/04/2018,Fire and Rescue
207852,4imprint Direct Ltd,51369363,R4008,Equipment,821.00,05/04/2018,People Group
223628,A and K Home Care Services Ltd,51375760,R5805,Homecare - External Domiciliary,"-26,800.00",12/04/2018,People Group
223628,A and K Home Care Services Ltd,51385037,R5805,Homecare - External Domiciliary,754.32,20/04/2018,People Group
223628,A and K Home Care Services Ltd,51385037,R5805,Homecare - External Domiciliary,"3,514.56",27/04/2018,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51380937,R5848,Residential Care (Children),"16,607.13",27/04/2018,People Group
210116,AAI Sports Ltd T/A The Sports Connexion,51374507,R1102,Staffing / Secondment recharges,550.00,13/04/2018,Communities
200114,Abacus Day Nursery,51389839,R6106,Early Years Funding (PVIs and LA),"21,765.74",27/04/2018,Communities
200114,Abacus Day Nursery,51390741,R6106,Early Years Funding (PVIs and LA),722.09,30/04/2018,Communities
200115,Abacus Pre-School Nursery Ltd,51389615,R6106,Early Years Funding (PVIs and LA),"14,774.76",27/04/2018,Communities
200115,Abacus Pre-School Nursery Ltd,51390634,R6106,Early Years Funding (PVIs and LA),601.74,30/04/2018,Communities
223099,Abacus Training Centre Ltd,51372795,R1601,Training,"3,850.00",12/04/2018,Fire and Rescue
231359,Abbey Offices Park Ltd,51372222,R5702,Payments to External Contractors,"2,240.00",06/04/2018,Communities
209852,ABC Teachers Ltd,51379449,R1101,Agency Staff Pay,780.00,04/04/2018,Schools
209852,ABC Teachers Ltd,51378611,R1101,Agency Staff Pay,780.00,04/04/2018,Schools
201875,About Interiors Ltd t/a E & M Services,51379178,R2002,Building Maintenance,"1,500.00",25/04/2018,Communities
201875,About Interiors Ltd t/a E & M Services,51379179,R2002,Building Maintenance,"3,895.00",25/04/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51389512,R5704,Public Transport,"4,290.00",26/04/2018,Communities
235656,Ace Scaffolding Ltd,51380549,R4010,Equipment Hire,900.00,10/04/2018,Communities
215546,Acorn Care and Education Ltd,51374512,R6107,SEN Statements Funding,"12,162.00",13/04/2018,Communities
215546,Acorn Care and Education Ltd,51374519,R6107,SEN Statements Funding,"12,162.00",13/04/2018,Communities
215546,Acorn Care and Education Ltd,51375083,R6107,SEN Statements Funding,"15,400.67",13/04/2018,Communities
215546,Acorn Care and Education Ltd,51376051,R6107,SEN Statements Funding,"3,333.34",18/04/2018,Communities
215546,Acorn Care and Education Ltd,51386569,R6109,Funding payment to Academies and Non WCC Schools,600.00,20/04/2018,Communities
200145,Acorn Tree Surgery Ltd,51368935,R5706,Payments to Third Parties - Recoverable Operating Expenditure,520.50,04/04/2018,Communities
200145,Acorn Tree Surgery Ltd,51368958,R5706,Payments to Third Parties - Recoverable Operating Expenditure,"1,762.23",04/04/2018,Communities
200146,Acorn Wood Day Nursery,51389573,R6106,Early Years Funding (PVIs and LA),"29,301.59",27/04/2018,Communities
