Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Directorate
999982,2nd Warwick Sea Scouts,51508954,R5501,Grants / Donations to External Organisations,"2,500.00",09/04/2019,Communities
207852,4imprint Direct Ltd,51499177,R4301,"Advertising, Publicity & Promotion","1,100.15",05/04/2019,People 
,A Line Coaches,15352,,,625.00,15/04/2019,Communites
237056,A2b Removals,51510878,R4607,Client Expenses,600.00,12/04/2019,People 
238269,AAT (GB) Ltd,51498367,R4008,Equipment - Access To Work,"5,391.00",05/04/2019,Communities
223099,Abacus Training Centre Ltd,51509186,R1601,Training,575.00,11/04/2019,Communities
223099,Abacus Training Centre Ltd,51509184,R1601,Training,"1,150.00",11/04/2019,Communities
223099,Abacus Training Centre Ltd,51509183,R1601,Training,"1,150.00",11/04/2019,Communities
223099,Abacus Training Centre Ltd,51504183,R4008,Equipment - Access To Work,690.00,18/04/2019,Communities
231359,Abbey Offices Park Ltd,51497826,R4015,Equipment Repair & Maintenance,"2,270.00",04/04/2019,Communities
209852,ABC Teachers Ltd,51505371,R1101,Agency Staff Pay,585.00,18/04/2019,Schools
201875,About Interiors Ltd t/a E & M Services,51505143,R2002,Building Maintenance,"2,057.50",18/04/2019,Communities
201875,About Interiors Ltd t/a E & M Services,51503920,R2002,Building Maintenance,669.50,18/04/2019,Communities
201875,About Interiors Ltd t/a E & M Services,51503916,R2002,Building Maintenance,"1,570.00",18/04/2019,Communities
201875,About Interiors Ltd t/a E & M Services,51505144,R2002,Building Maintenance,"3,910.00",18/04/2019,Communities
,Accident Express,4055,,,659.87,18/04/2019,Communites
236890,Acorn Children's Home (Branston) Ltd,51503133,R5806,Residential Care,"-19,906.43",03/04/2019,People 
200152,Action 21 (2010) Ltd t/a Action 21,51508780,R5208,Recycling/re-use Credits,"3,240.30",10/04/2019,Communities
200168,ADCS / The Association of Directors of Children's Services Ltd,51501067,R4702,Subscriptions To Organisations,"3,135.00",11/04/2019,Other Services
200169,Addaction - Henley House,51506685,R5702,Payments to External Contractors,"1,295.16",25/04/2019,Communities
200169,Addaction - Henley House,51507472,R5702,Payments to External Contractors,"1,332.64",26/04/2019,Communities
200169,Addaction - Henley House,51507483,R5702,Payments to External Contractors,"1,458.07",26/04/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51488465,R6107,SEN Statements Funding,850.00,01/04/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51488462,R6107,SEN Statements Funding,"5,350.00",01/04/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51506692,R6107,SEN Statements Funding,"12,346.00",01/04/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51448253,R6107,SEN Statements Funding,"-9,054.00",01/04/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51488461,R6107,SEN Statements Funding,"1,400.00",01/04/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51488464,R6107,SEN Statements Funding,850.00,01/04/2019,Communities
200188,Advanced Health & Care Ltd,51505976,R4513,Telephones & Broadband,-500.00,30/04/2019,People 
200188,Advanced Health & Care Ltd,51505959,R4513,Telephones & Broadband,500.00,30/04/2019,People 
200188,Advanced Health & Care Ltd,51515904,R4513,Telephones & Broadband,904.00,30/04/2019,People 
209397,AECOM Ltd,51505179,R4409,Consultancy,"42,968.43",18/04/2019,Communities
209397,AECOM Ltd,51507519,C1050,External Fees,"31,935.33",26/04/2019,Capital
234328,AFFPRO Solutions Ltd,51511910,R4409,Consultancy,"9,000.00",15/04/2019,People 
234328,AFFPRO Solutions Ltd,51511908,R4409,Consultancy,"9,000.00",15/04/2019,People 
200201,Age UK Warwickshire,51499613,R5807,Social Care Block Contracts,"12,916.66",05/04/2019,People 
200201,Age UK Warwickshire,51499106,R5807,Social Care Block Contracts,"1,846.00",05/04/2019,People 
200201,Age UK Warwickshire,51499118,R5807,Social Care Block Contracts,"4,615.00",05/04/2019,People 
200201,Age UK Warwickshire,51499108,R5807,Social Care Block Contracts,"4,615.00",05/04/2019,People 
200201,Age UK Warwickshire,51499111,R5807,Social Care Block Contracts,"1,907.69",05/04/2019,People 
200201,Age UK Warwickshire,51499107,R5807,Social Care Block Contracts,"1,907.69",05/04/2019,People 
231993,Aim Educational Ltd,51505183,R5702,Payments to External Contractors,800.00,18/04/2019,Communities
231993,Aim Educational Ltd,51507531,R5702,Payments to External Contractors,"6,600.00",26/04/2019,Communities
231993,Aim Educational Ltd,51507533,R5702,Payments to External Contractors,"6,600.00",26/04/2019,Communities
231993,Aim Educational Ltd,51513777,R5702,Payments to External Contractors,-875.00,26/04/2019,Communities
231993,Aim Educational Ltd,51507532,R5702,Payments to External Contractors,"1,320.00",26/04/2019,Communities
231993,Aim Educational Ltd,51507535,R5702,Payments to External Contractors,"1,320.00",26/04/2019,Communities
231993,Aim Educational Ltd,51507539,R5702,Payments to External Contractors,"3,625.00",26/04/2019,Communities
231993,Aim Educational Ltd,51507540,R5702,Payments to External Contractors,"6,600.00",26/04/2019,Communities
231993,Aim Educational Ltd,51507537,R5702,Payments to External Contractors,"4,125.00",26/04/2019,Communities
231993,Aim Educational Ltd,51507538,R5702,Payments to External Contractors,"10,197.00",26/04/2019,Communities
208797,Alcester Academy (ACAD) School,51514396,R6107,SEN Statements Funding,"4,980.00",26/04/2019,Communities
207814,Alcester Grammar School (Academy),51514430,R6107,SEN Statements Funding,"1,429.00",26/04/2019,Communities
200238,Alcium Software Ltd,51511210,R5702,Payments to External Contractors,"3,832.50",12/04/2019,Communities
238712,Aldi Stores Ltd - Corporate Bank Account,51515642,R5702,Payments to External Contractors,"1,500.00",29/04/2019,Communities
200252,A-Line Coaches Coventry Ltd,51511709,R3204,Home To School / College Transport,750.00,26/04/2019,Communities
200266,Aljac Fuelling Components Ltd,51507501,R4015,Equipment Repair & Maintenance,591.56,26/04/2019,Communities
235897,All Saints Leek Wootton - Coventry Diocese MAT,51514417,R6107,SEN Statements Funding,"1,388.00",26/04/2019,Communities
207709,Allen Ford,51513270,R4030,Materials,674.05,23/04/2019,Communities
230581,Alliantist Ltd,51508752,R4512,Software,"40,000.00",12/04/2019,People 
207773,Allstar Business Solutions Ltd,51507822,R3004,Repair & Maintenance Of Vehicles,"36,044.55",04/04/2019,Communities
200287,Alsters Kelley Solicitors Ltd,51512461,R4441,Professional Fees,"1,465.00",26/04/2019,People 
228595,Amelio Utilities (Gloucester) Ltd,51509236,R5702,Payments to External Contractors,"1,520.00",09/04/2019,Communities
228595,Amelio Utilities (Gloucester) Ltd,51509237,R5702,Payments to External Contractors,"5,083.20",09/04/2019,Communities
235474,Ameo Professional Services Ltd,51497645,R4409,Consultancy,"19,000.00",03/04/2019,Other Services
238135,Ancient Craft,51503956,R4030,Materials,820.00,18/04/2019,Communities
238271,Anjali Dance Company Ltd,51501021,R5702,Payments to External Contractors,"3,600.00",11/04/2019,Communities
238271,Anjali Dance Company Ltd,51502512,R5702,Payments to External Contractors,600.00,12/04/2019,Communities
200389,Apetito Ltd,51498146,R5807,Social Care Block Contracts,"14,529.90",04/04/2019,People 
237799,Apex Acoustics Ltd,51501555,C1050,External Fees,"2,460.00",12/04/2019,Capital
,Appian Trading Limited,33050,,,"2,820.00",12/04/2019,Communites
234649,Appoint Us Services (Midlands) CIC,51502819,R4441,Professional Fees,"1,012.50",17/04/2019,People 
234649,Appoint Us Services (Midlands) CIC,51502810,R4441,Professional Fees,517.05,17/04/2019,People 
235393,Aquobex,51507773,C1030,"New Construction, Conversion & Renovation","6,822.98",03/04/2019,Capital
235393,Aquobex,51507832,C1030,"New Construction, Conversion & Renovation","6,721.00",03/04/2019,Capital
235393,Aquobex,51507771,C1030,"New Construction, Conversion & Renovation","2,524.14",03/04/2019,Capital
235393,Aquobex,51507768,C1030,"New Construction, Conversion & Renovation",750.00,04/04/2019,Capital
235393,Aquobex,51515725,C1030,"New Construction, Conversion & Renovation","2,387.69",29/04/2019,Capital
235393,Aquobex,51515401,C1030,"New Construction, Conversion & Renovation","8,079.93",30/04/2019,Capital
233488,Arbour Cross Associates Ltd,51497659,R5702,Payments to External Contractors,"4,397.73",03/04/2019,Communities
213826,Arbury Medical Centre,51515013,R5702,Payments to External Contractors,532.00,30/04/2019,Communities
235309,Arc Electrical (Design and Installations) Ltd (****0168),51503943,R2002,Building Maintenance,616.66,18/04/2019,Communities
200419,Arden Construction Ltd,51504791,R2022,Property Services Building (LB),"13,155.23",02/04/2019,Resources
200419,Arden Construction Ltd,51504949,C1030,"New Construction, Conversion & Renovation","1,293.83",03/04/2019,Capital
200419,Arden Construction Ltd,51506072,C1030,"New Construction, Conversion & Renovation","38,696.77",05/04/2019,Capital
200419,Arden Construction Ltd,51508766,C1030,"New Construction, Conversion & Renovation","20,814.51",09/04/2019,Capital
200419,Arden Construction Ltd,51508770,C1030,"New Construction, Conversion & Renovation","3,317.73",10/04/2019,Capital
200419,Arden Construction Ltd,51508765,R2022,Property Services Building (LB),"-5,753.47",10/04/2019,Resources
200419,Arden Construction Ltd,51508767,R2022,Property Services Building (LB),"2,106.50",10/04/2019,Resources
200419,Arden Construction Ltd,51508771,R2022,Property Services Building (LB),"5,753.47",10/04/2019,Resources
200419,Arden Construction Ltd,51508768,R2022,Property Services Building (LB),"1,345.33",10/04/2019,Resources
200419,Arden Construction Ltd,51508769,R2022,Property Services Building (LB),"5,734.93",12/04/2019,Resources
200419,Arden Construction Ltd,51511217,C1030,"New Construction, Conversion & Renovation","16,581.40",23/04/2019,Capital
200419,Arden Construction Ltd,51512096,C1030,"New Construction, Conversion & Renovation","84,197.29",25/04/2019,Capital
200419,Arden Construction Ltd,51513798,C1030,"New Construction, Conversion & Renovation","64,000.00",26/04/2019,Capital
200419,Arden Construction Ltd,51513803,C1030,"New Construction, Conversion & Renovation","47,676.50",30/04/2019,Capital
200419,Arden Construction Ltd,51513801,C1030,"New Construction, Conversion & Renovation","28,345.81",30/04/2019,Capital
200419,Arden Construction Ltd,51513802,R2022,Property Services Building (LB),"3,386.25",30/04/2019,Resources
