,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,
INSERTED DETAIL,200003,1spatial Group Ltd,50841640,R4512,Software,860.00,03/08/2015,Resources,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50870704,R5806,Residential Care (Adults),-12290.71,10/08/2015,People Group,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50870705,R5806,Residential Care (Adults),15207.15,10/08/2015,People Group,,
INSERTED DETAIL,221093,24x7 Taxis,50860426,R3205,Client Travel - Taxis,1245.75,05/08/2015,People Group,,
INSERTED DETAIL,227450,2bm Ltd,50870926,R2709,Cleaning Materials,1300.00,17/08/2015,Fire and Rescue,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863856,R5805,Homecare - External Domiciliary (Adults),896.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863884,R5805,Homecare - External Domiciliary (Adults),672.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863883,R5805,Homecare - External Domiciliary (Adults),896.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50865334,R5805,Homecare - External Domiciliary (Adults),2464.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863322,R5805,Homecare - External Domiciliary (Adults),672.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863854,R5805,Homecare - External Domiciliary (Adults),560.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863855,R5805,Homecare - External Domiciliary (Adults),944.00,05/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50868519,R5805,Homecare - External Domiciliary (Adults),560.00,06/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50868520,R5805,Homecare - External Domiciliary (Adults),672.00,06/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50870836,R5805,Homecare - External Domiciliary (Adults),672.00,10/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50870889,R5805,Homecare - External Domiciliary (Adults),560.00,10/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50871645,R5805,Homecare - External Domiciliary (Adults),642.00,12/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50875354,R5805,Homecare - External Domiciliary (Adults),560.00,19/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50875353,R5805,Homecare - External Domiciliary (Adults),1344.00,19/08/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50875392,R5805,Homecare - External Domiciliary (Adults),1008.00,19/08/2015,People Group,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50863262,R5848,Residential Care (Children),15000.00,07/08/2015,People Group,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50872273,R5848,Residential Care (Children),15000.00,19/08/2015,People Group,,
INSERTED DETAIL,200086,A Pargetter & Son Ltd,50866531,R4615,Mortuary/Pathology Expenses,600.00,10/08/2015,Other Services,,
INSERTED DETAIL,200113,Abacus Cash Registers Ltd,50868637,R4018,Equipment Repair & Maintenance,1843.00,06/08/2015,Communities,,
INSERTED DETAIL,227305,Abacus Fostering Ltd,50864736,R5822,Foster Care Payments - External,3340.71,04/08/2015,People Group,,
