,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
INSERTED DETAIL,204624,****DO NOT USE**** Orion Media Ltd (use 229039 Bauer Radio),51068327,R5802,Substitute Care,840.90,10/08/2016,People Group
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51066722,R5806,Residential Care (Adults),2916.44,08/08/2016,People Group
INSERTED DETAIL,224477,1st Class School Improvement Ltd,51063591,R5604,Commissioned Works,5000.00,12/08/2016,Communities
INSERTED DETAIL,224477,1st Class School Improvement Ltd,51063582,R5604,Commissioned Works,7700.00,12/08/2016,Communities
INSERTED DETAIL,230893,36 Bedford Row,50996378,R5702,Payments to External Contractors,700.00,03/08/2016,Communities
INSERTED DETAIL,200014,3P Learning Ltd,51061942,R4029,Licences (Incl Tv),595.00,01/08/2016,Schools
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51067720,R5805,Homecare - External Domiciliary (Adults),925.12,09/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51069353,R5805,Homecare - External Domiciliary (Adults),925.12,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51069398,R5805,Homecare - External Domiciliary (Adults),2478.00,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51069402,R5805,Homecare - External Domiciliary (Adults),925.12,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51069409,R5805,Homecare - External Domiciliary (Adults),1156.40,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51067744,R5805,Homecare - External Domiciliary (Adults),809.48,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51067731,R5805,Homecare - External Domiciliary (Adults),594.72,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51067733,R5805,Homecare - External Domiciliary (Adults),809.48,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51067734,R5805,Homecare - External Domiciliary (Adults),528.64,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51069338,R5805,Homecare - External Domiciliary (Adults),925.12,11/08/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51067714,R5805,Homecare - External Domiciliary (Adults),2428.44,11/08/2016,People Group
