Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
228843,1st Care Ltd t/a Acorn Care Home,51263236,R5806,Residential Care,6400.24,17/08/2017,People Group,
234269,1st Class Property Solutions Ltd,51253355,R2003,Devolved Maintenance (Via Local),2175.00,02/08/2017,Schools,
233106,4Passion Care Ltd,51267279,R5851,Supported Living,9431.82,30/08/2017,People Group,
219733,A Call to Men UK,51250392,R1601,Training,500.00,16/08/2017,Communities,
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51258097,R5848,Residential Care (Children),15000.00,17/08/2017,People Group,
200102,A.S. Wilkes Services,51244810,R2751,Grounds Maintenance,640.00,02/08/2017,Communities,
200102,A.S. Wilkes Services,51244817,R2751,Grounds Maintenance,640.00,02/08/2017,Communities,
200113,Abacus Cash Registers Ltd,51253640,R4008,Equipment,1843.00,17/08/2017,Communities,
223099,Abacus Training Centre Ltd,51247467,R4008,Equipment,1800.00,09/08/2017,Fire and Rescue,
223099,Abacus Training Centre Ltd,51249469,R1601,Training,1300.00,11/08/2017,Fire and Rescue,
223099,Abacus Training Centre Ltd,51249474,R1601,Training,850.00,11/08/2017,Fire and Rescue,
223099,Abacus Training Centre Ltd,51249478,R1601,Training,1525.00,11/08/2017,Fire and Rescue,
223099,Abacus Training Centre Ltd,51249486,R1601,Training,1450.00,11/08/2017,Fire and Rescue,
223099,Abacus Training Centre Ltd,51257856,R1601,Training,1168.00,17/08/2017,Fire and Rescue,
221450,Abbey Fire (UK) Ltd,51259259,C1030,"New Construction, Conversion & Renovation",668.84,03/08/2017,Capital,
221450,Abbey Fire (UK) Ltd,51266430,R2023,Mechanical (LM),566.77,17/08/2017,Resources,
233294,Abbey Healthcare (Aaron Court),51261030,R5806,Residential Care,6450.43,07/08/2017,People Group,
233294,Abbey Healthcare (Aaron Court),51263233,R5806,Residential Care,2076.00,17/08/2017,People Group,
231359,Abbey Offices Park Ltd,51252296,R5702,Payments to External Contractors,925.00,08/08/2017,Communities,
231359,Abbey Offices Park Ltd,51252299,R5702,Payments to External Contractors,2100.00,08/08/2017,Communities,
230978,Abbotswood Lodge Ltd,51263235,R5806,Residential Care,1772.52,17/08/2017,People Group,
201709,About Me Care and Support Ltd,51267389,R5851,Supported Living,4321.96,25/08/2017,People Group,
201709,About Me Care and Support Ltd,51267387,R5851,Supported Living,4321.97,25/08/2017,People Group,
201709,About Me Care and Support Ltd,51267390,R5851,Supported Living,4304.80,25/08/2017,People Group,
201709,About Me Care and Support Ltd,51267391,R5851,Supported Living,4321.96,25/08/2017,People Group,
201709,About Me Care and Support Ltd,51267355,R5851,Supported Living,4296.25,25/08/2017,People Group,
227552,AC Education Ltd,51267182,R5802,Substitute Care,4255.00,15/08/2017,People Group,
,Accessible Transport Group Ltd,,,," 25,689.44 ",31/08/2017,Communities Group,
219926,Accessible Transport Group Ltd (ATG),51264221,R5704,Public Transport,1860.00,15/08/2017,Communities,
999982,Accountant General of the Senior Courts,51268684,R4928,Other Insurance Claims,5250.00,17/08/2017,Other Services,
