Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
233106,4Passion Care Ltd,51429514,R5851,Supported Living,4145.40,29/08/2018,People Group
233106,4Passion Care Ltd,51429514,R5851,Supported Living,6515.95,29/08/2018,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51425057,R5806,Residential Care,16607.13,30/08/2018,People Group
223099,Abacus Training Centre Ltd,51429164,R1601,Training,575.00,31/08/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51426161,R1601,Training,575.00,31/08/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51426160,R1601,Training,575.00,31/08/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51426157,R1601,Training,575.00,31/08/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51426156,R1601,Training,575.00,31/08/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51420487,R4008,Equipment,1380.00,15/08/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51424622,R4008,Equipment,1380.00,28/08/2018,Fire and Rescue
231359,Abbey Offices Park Ltd,51418633,R5702,Payments to External Contractors,2240.00,09/08/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51421244,R5704,Public Transport,4240.00,17/08/2018,Communities
200148,Acs Ltd,51416076,R4505,ICT Supplies / Consumables,514.00,03/08/2018,Resources
200152,Action 21,51424425,R5208,Recycling/re-use Credits,2338.78,24/08/2018,Communities
215891,Action For Children (****6746),51424579,R5806,Residential Care,50625.00,24/08/2018,People Group
200157,Active Mind Solutions,51418798,R4512,Software,1800.00,10/08/2018,Resources
999982,Adana Management Group Ltd,51428814,R2201,Rents & Lettings,550.00,22/08/2018,Communities
220313,Adana Management Group Ltd,51426055,R1101,Agency Staff Pay,2211.90,31/08/2018,Resources
220313,Adana Management Group Ltd,51414361,R1101,Agency Staff Pay,2359.72,01/08/2018,Resources
200166,ADASS,51427456,R4702,Subscriptions To Organisations,1937.00,29/08/2018,Other Services
999982,Admiral Insurance,51431145,R4928,Other Insurance Claims,1535.40,22/08/2018,Other Services
200187,Advance Housing & Support Ltd,51427446,R5851,Supported Living,788.48,09/08/2018,People Group
200187,Advance Housing & Support Ltd,51428970,R5851,Supported Living,788.48,22/08/2018,People Group
200187,Advance Housing & Support Ltd,51418574,R5851,Supported Living,985.60,10/08/2018,People Group
200187,Advance Housing & Support Ltd,51428969,R5851,Supported Living,1576.96,22/08/2018,People Group
999982,Advanced Products Ltd,51425988,R2201,Rents & Lettings,572.00,03/08/2018,Communities
234328,AFFPRO Solutions Ltd,51425981,R4409,Consultancy,9900.00,31/08/2018,People Group
200201,Age UK Warwickshire,51430873,R5208,Recycling/re-use Credits,1000.00,24/08/2018,Communities
200201,Age UK Warwickshire,51430873,R5208,Recycling/re-use Credits,1000.00,24/08/2018,Communities
200201,Age UK Warwickshire,51430873,R5208,Recycling/re-use Credits,1000.00,24/08/2018,Communities
200201,Age UK Warwickshire,51430873,R5208,Recycling/re-use Credits,1500.00,24/08/2018,Communities
200201,Age UK Warwickshire,51430873,R5208,Recycling/re-use Credits,1500.00,24/08/2018,Communities
200201,Age UK Warwickshire,51430873,R5208,Recycling/re-use Credits,1500.00,24/08/2018,Communities
200201,Age UK Warwickshire,51430874,R5208,Recycling/re-use Credits,1732.91,24/08/2018,Communities
200201,Age UK Warwickshire,51424850,R5807,Social Care Block Contracts,1846.00,17/08/2018,People Group
200201,Age UK Warwickshire,51424855,R5807,Social Care Block Contracts,1907.69,17/08/2018,People Group
200201,Age UK Warwickshire,51424856,R5807,Social Care Block Contracts,1907.69,17/08/2018,People Group
200201,Age UK Warwickshire,51424837,R5807,Social Care Block Contracts,4615.00,17/08/2018,People Group
200201,Age UK Warwickshire,51424852,R5807,Social Care Block Contracts,4615.00,17/08/2018,People Group
200201,Age UK Warwickshire,51421059,R5807,Social Care Block Contracts,7583.33,17/08/2018,People Group
234227,Airedale International Air Conditioning Ltd,51423317,R2023,Property Services Mechanical (LM),1100.00,10/08/2018,Resources
200211,Airtay,51424627,R2751,Grounds Maintenance,525.00,24/08/2018,Communities
200211,Airtay,51424629,R2751,Grounds Maintenance,650.00,24/08/2018,Communities
200211,Airtay,51424626,R2751,Grounds Maintenance,685.00,24/08/2018,Communities
200211,Airtay,51425496,R2751,Grounds Maintenance,895.00,01/08/2018,Communities
200211,Airtay,51424628,R2751,Grounds Maintenance,1695.00,24/08/2018,Communities
200211,Airtay,51424625,R2751,Grounds Maintenance,1750.00,24/08/2018,Communities
200211,Airtay,51422473,R2751,Grounds Maintenance,3000.00,22/08/2018,Communities
208797,Alcester Academy (ACAD) School,51415514,R3204,Home To School / College Transport,851.00,02/08/2018,Communities
208797,Alcester Academy (ACAD) School,51428901,R4441,Professional Fees,1000.00,24/08/2018,Communities
208797,Alcester Academy (ACAD) School,51430513,R6107,SEN Statements Funding,4000.00,21/08/2018,Communities
207814,Alcester Grammar School (Academy),51430499,R6107,SEN Statements Funding,1429.00,21/08/2018,Communities
999982,ALDI Stores Ltd,51430021,R5702,Payments to External Contractors,6000.00,22/08/2018,Communities
202796,All Blinds Ltd,51423430,R2022,Property Services Building (LB),1109.36,09/08/2018,Resources
235897,All Saints Leek Wootton - Coventry Diocese MAT,51430504,R6107,SEN Statements Funding,1397.00,21/08/2018,Communities
207773,Allstar Business Solutions Ltd,51425771,R3004,Repair & Maintenance Of Vehicles,35472.29,10/08/2018,Communities
221048,Alzheimer's Society,51421701,R5807,Social Care Block Contracts,55885.50,10/08/2018,People Group
210011,Amberhawk Training Ltd,51414377,R1601,Training,1033.00,01/08/2018,Resources
228595,Amelio Utilities (Gloucester) Ltd,51427620,R5702,Payments to External Contractors,770.00,14/08/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51427615,R5702,Payments to External Contractors,800.00,14/08/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51427619,R5702,Payments to External Contractors,1520.00,14/08/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51427659,R5702,Payments to External Contractors,1520.00,15/08/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51427657,R5702,Payments to External Contractors,3600.00,15/08/2018,Communities
235474,Ameo Professional Services Ltd,51426040,R4409,Consultancy,18000.00,31/08/2018,Other Services
235474,Ameo Professional Services Ltd,51418328,R4409,Consultancy,20000.00,09/08/2018,Other Services
236040,Andmar Machinery Services Ltd RBS Scheme (rent),51419440,R2201,Rents & Lettings,4375.00,01/08/2018,Resources
230129,Angel Care Tamworth Ltd,51426864,R5805,Homecare - External Domiciliary,741.00,09/08/2018,People Group
200389,Apetito Ltd,51417026,R5807,Social Care Block Contracts,13859.05,03/08/2018,People Group
215154,Applewood Support Ltd,51428161,R5851,Supported Living,1364.40,10/08/2018,People Group
235393,Aquobex,51431954,C1030,"New Construction, Conversion & Renovation",1010.00,28/08/2018,Capital
235393,Aquobex,51431950,C1030,"New Construction, Conversion & Renovation",7558.32,28/08/2018,Capital
235393,Aquobex,51431953,C1030,"New Construction, Conversion & Renovation",10825.88,28/08/2018,Capital
213826,Arbury Medical Centre,51431885,R5702,Payments to External Contractors,699.44,30/08/2018,Communities
213826,Arbury Medical Centre,51431900,R5702,Payments to External Contractors,1344.00,30/08/2018,Communities
209592,Archaeological Surveys Ltd,51420158,R4409,Consultancy,2000.00,15/08/2018,Communities
200419,Arden Construction Ltd,51428420,C1030,"New Construction, Conversion & Renovation",551.29,20/08/2018,Capital
200419,Arden Construction Ltd,51428431,C1030,"New Construction, Conversion & Renovation",1691.94,21/08/2018,Capital
200419,Arden Construction Ltd,51426921,C1030,"New Construction, Conversion & Renovation",1725.06,13/08/2018,Capital
200419,Arden Construction Ltd,51430205,R2024,Property Services Electrical (LE),2964.00,24/08/2018,Resources
200419,Arden Construction Ltd,51428419,R2022,Property Services Building (LB),3992.37,22/08/2018,Resources
200419,Arden Construction Ltd,51431362,C1030,"New Construction, Conversion & Renovation",9981.56,29/08/2018,Capital
200419,Arden Construction Ltd,51428416,C1030,"New Construction, Conversion & Renovation",16728.25,20/08/2018,Capital
200419,Arden Construction Ltd,51426195,C1030,"New Construction, Conversion & Renovation",37535.45,15/08/2018,Capital
200419,Arden Construction Ltd,51428422,C1030,"New Construction, Conversion & Renovation",41200.00,20/08/2018,Capital
200419,Arden Construction Ltd,51424174,C1030,"New Construction, Conversion & Renovation",63395.40,02/08/2018,Capital
200419,Arden Construction Ltd,51431358,R2022,Property Services Building (LB),64505.00,29/08/2018,Resources
200419,Arden Construction Ltd,51431374,C1030,"New Construction, Conversion & Renovation",71409.61,30/08/2018,Capital
236288,Arden Fields School (Academy),51430008,R6107,SEN Statements Funding,37370.00,20/08/2018,Communities
226768,Arden Leisure Ltd t/a Studley Sports Centre,51417815,R2201,Rents & Lettings,1150.00,09/08/2018,Communities
200429,Argos Business Solutions Ltd (****9518),51417180,R4008,Equipment,1027.33,08/08/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51414210,R4008,Equipment,1120.51,01/08/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51424643,R4008,Equipment,1272.05,29/08/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51420165,R4008,Equipment,1351.10,15/08/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51422437,R4008,Equipment,1461.07,22/08/2018,Resources
219768,Art of Brilliance Ltd,51425990,R1601,Training,1763.50,31/08/2018,Resources
219768,Art of Brilliance Ltd,51426145,R1601,Training,3000.00,31/08/2018,Resources
219768,Art of Brilliance Ltd,51426003,R1601,Training,3517.00,31/08/2018,Resources
219768,Art of Brilliance Ltd,51414372,R1601,Training,4721.00,01/08/2018,Resources
219768,Art of Brilliance Ltd,51414374,R1601,Training,4721.00,01/08/2018,Resources
213431,Ash Green School & Arts College (Academy),51430480,R6107,SEN Statements Funding,2026.00,21/08/2018,Communities
209807,Ashlawn School Academy Trust,51428903,R4441,Professional Fees,1000.00,24/08/2018,Communities
209807,Ashlawn School Academy Trust,51430481,R6107,SEN Statements Funding,7883.00,21/08/2018,Communities
227882,Ashwood Gifts Ltd,51420057,R4044,Stock For Re-Sale Or Hire,1350.86,15/08/2018,Communities
200468,Askews And Holts Library Services Ltd.,51425056,R4058,"Books, Newspapers & Publications",721.70,30/08/2018,Resources
236105,Aspire Children Services,51424454,R5459,Leaving Care Accommodation,2086.48,24/08/2018,People Group
200472,Aspire People Ltd,51420018,R1101,Agency Staff Pay,799.00,15/08/2018,Schools
200472,Aspire People Ltd,51416728,R1101,Agency Staff Pay,806.00,03/08/2018,Schools
200472,Aspire People Ltd,51416729,R1101,Agency Staff Pay,1142.00,03/08/2018,Schools
200472,Aspire People Ltd,51420018,R1101,Agency Staff Pay,1524.00,15/08/2018,Schools
200472,Aspire People Ltd,51416729,R1101,Agency Staff Pay,1635.00,03/08/2018,Schools
200472,Aspire People Ltd,51416728,R1101,Agency Staff Pay,1910.00,03/08/2018,Schools
214538,Aspire Sports Health & Fitness Ltd,51417176,R4433,For use by schools only - Sport Instruction,519.09,08/08/2018,Schools
214538,Aspire Sports Health & Fitness Ltd,51417162,R4441,Professional Fees,541.54,08/08/2018,Schools
214538,Aspire Sports Health & Fitness Ltd,51420022,R4441,Professional Fees,967.27,15/08/2018,Schools
214327,Association of Educational Psychologists (AEP),51419550,R1408,Other Staffing Costs,1330.00,10/08/2018,Communities
228384,Atherstone Pharma Ltd,51427016,R5702,Payments to External Contractors,524.00,08/08/2018,Communities
208492,Atkins Ltd,51423247,C1050,External Fees,4534.91,13/08/2018,Capital
208492,Atkins Ltd,51428978,C1050,External Fees,5938.67,24/08/2018,Capital
208492,Atkins Ltd,51423248,C1050,External Fees,8546.84,13/08/2018,Capital
208492,Atkins Ltd,51428977,C1050,External Fees,9333.45,24/08/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51424169,R5702,Payments to External Contractors,1179.84,01/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51426192,C1050,External Fees,1223.45,24/08/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51429623,R5702,Payments to External Contractors,1327.32,29/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51429627,R1101,Agency Staff Pay,2789.76,23/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51429624,R4409,Consultancy,3113.97,21/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51420007,C1050,External Fees,3199.00,10/08/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51426188,C1030,"New Construction, Conversion & Renovation",3397.19,24/08/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51429622,R1101,Agency Staff Pay,3407.32,21/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51429632,R5702,Payments to External Contractors,4395.52,29/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51424337,R4409,Consultancy,4590.00,24/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51424158,R5702,Payments to External Contractors,4654.08,01/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51429630,R5702,Payments to External Contractors,4747.01,30/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51420017,C1050,External Fees,5000.00,10/08/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51424159,R5702,Payments to External Contractors,5326.08,01/08/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51429638,R1101,Agency Staff Pay,8974.40,21/08/2018,Communities
