Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
999982,121 Squadron ATC (Welfare),51335366,R5501,Grants / Donations to External Organisations,"2,250.00",22/12/2017,Communities
234314,123 Learning,51317243,R4030,Materials,526.00,15/12/2017,Communities
228843,1st Care Ltd t/a Acorn Care Home,51331560,R5806,Residential Care,685.74,14/12/2017,People Group
999982,1st Coleshill Brownies,51327169,R5501,Grants / Donations to External Organisations,"2,922.00",08/12/2017,Communities
200014,3P Learning Ltd,51315287,R4512,Software,640.08,04/12/2017,Schools
200014,3P Learning Ltd,51318769,R4056,For use by schools only - Learning Resources Curriculum,579.60,04/12/2017,Schools
200014,3P Learning Ltd,51324032,R4512,Software,539.28,29/12/2017,Schools
233106,4Passion Care Ltd,51316859,R5851,Supported Living,2362.50,06/12/2017,People Group
233106,4Passion Care Ltd,51316861,R5851,Supported Living,7520.20,06/12/2017,People Group
233106,4Passion Care Ltd,51316861,R5851,Supported Living,2221.11,06/12/2017,People Group
233106,4Passion Care Ltd,51316859,R5851,Supported Living,3585.35,06/12/2017,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51319666,R5848,Residential Care (Children),15000.00,22/12/2017,People Group
200086,A Pargetter & Son Ltd,51333306,R4615,Coroner/Mortuary/Pathology Fees,500.00,21/12/2017,Other Services
227476,AAFDA Advocacy After Fatal Domestic Abuse,51314626,R1601,Training,585.00,14/12/2017,Communities
223099,Abacus Training Centre Ltd,51309459,R4008,Equipment,2760.00,06/12/2017,Fire and Rescue
223099,Abacus Training Centre Ltd,51318861,R1601,Training,1450.00,08/12/2017,Fire and Rescue
221450,Abbey Fire (UK) Ltd,51317369,R2023,Mechanical (LM),561.65,08/12/2017,Resources
221450,Abbey Fire (UK) Ltd,51318198,R2023,Mechanical (LM),536.50,08/12/2017,Resources
221450,Abbey Fire (UK) Ltd,51321890,R2023,Mechanical (LM),510.00,08/12/2017,Resources
231359,Abbey Offices Park Ltd,51315548,R5702,Payments to External Contractors,2180.00,08/12/2017,Communities
230978,Abbotswood Lodge Ltd,51331559,R5806,Residential Care,1772.52,14/12/2017,People Group
201875,About Interiors Ltd t/a E & M Services,51321995,R2002,Building Maintenance,555.00,22/12/2017,Communities
234352,Absolute HR Solutions Ltd,51332009,C1060,Grants & Contributions To Outside Organisations,14906.77,18/12/2017,Capital
219926,Accessible Transport Group Ltd (ATG),51332574,R5704,Public Transport,3920.00,18/12/2017,Communities
219926,Accessible Transport Group Ltd (ATG),51332593,R5704,Public Transport,2791.74,18/12/2017,Communities
235125,Accounts and Tax Management Ltd,51323859,R9402,Rent Income,550.00,06/12/2017,Communities
215546,Acorn Care and Education Ltd,51309354,R6107,SEN Statements Funding,11197.33,04/12/2017,Communities
215546,Acorn Care and Education Ltd,51309261,R6107,SEN Statements Funding,-7367.23,04/12/2017,Communities
215546,Acorn Care and Education Ltd,51270361,R6107,SEN Statements Funding,-1857.18,04/12/2017,Communities
215546,Acorn Care and Education Ltd,51310066,R6107,SEN Statements Funding,11482.00,08/12/2017,Communities
215546,Acorn Care and Education Ltd,51310101,R6107,SEN Statements Funding,11826.33,08/12/2017,Communities
215546,Acorn Care and Education Ltd,51310100,R6107,SEN Statements Funding,12162.00,08/12/2017,Communities
215546,Acorn Care and Education Ltd,51310093,R6107,SEN Statements Funding,13515.67,08/12/2017,Communities
215546,Acorn Care and Education Ltd,51310090,R6107,SEN Statements Funding,11826.33,08/12/2017,Communities
215546,Acorn Care and Education Ltd,51310087,R6107,SEN Statements Funding,12431.40,08/12/2017,Communities
215546,Acorn Care and Education Ltd,51310085,R6107,SEN Statements Funding,9970.57,08/12/2017,Communities
