,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,
,,02THE GROSVENOR HOTEL,P-Card,,,779.50,28/12/2015,,,,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50943873,R5806,Residential Care (Adults),2916.44,23/12/2015,People Group,,,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50931256,R1601,Training - External,625.00,02/12/2015,Schools,,,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50931257,R1601,Training - External,1250.00,02/12/2015,Schools,,,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50932913,R5604,Commissioned Works,4250.00,08/12/2015,People Group,,,,,
INSERTED DETAIL,229769,1st Planner Ltd,50933424,R5604,Commissioned Works,50000.00,09/12/2015,People Group,,,,,
,,4IMPRINT,P-Card,,,808.90,21/12/2015,,,,,,
,,7CRAZY EGG.COM,P-Card,,,799.35,19/12/2015,,,,,,
,,7SOLON SECURITY LTD,P-Card,,,1197.50,14/12/2015,,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50932504,R5805,Homecare - External Domiciliary (Adults),672.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50932522,R5805,Homecare - External Domiciliary (Adults),672.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50932527,R5805,Homecare - External Domiciliary (Adults),560.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50932536,R5805,Homecare - External Domiciliary (Adults),560.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50932499,R5805,Homecare - External Domiciliary (Adults),896.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50930836,R5805,Homecare - External Domiciliary (Adults),2464.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50932517,R5805,Homecare - External Domiciliary (Adults),896.00,23/12/2015,People Group,,,,,
INSERTED DETAIL,200252,A Line Coaches,50940668,R5704,Public Transport,1890.00,17/12/2015,Communities,,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50932872,R5848,Residential Care (Children),-27869.00,07/12/2015,People Group,,,,,
INSERTED DETAIL,999982,A2 Solicitors LLP,50932573,R4928,Casualty Insurance Claims,11550.00,07/12/2015,Other Services,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50935946,R2023,Mechanical (LM),596.80,11/12/2015,Resources,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50941476,R2023,Mechanical (LM),594.95,21/12/2015,Resources,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50944767,R2023,Mechanical (LM),660.00,31/12/2015,Resources,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50944766,C1030,"New Construction, Conversion & Renovation",507.71,31/12/2015,Capital,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50935142,R5822,Foster Care Payments - External,3207.86,30/12/2015,People Group,,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50939598,R5822,Foster Care Payments - External,3207.86,30/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933772,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933769,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933760,R6107,SEN Statements Funding - Non-Maintained Schools,11482.00,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933773,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933776,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933784,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933788,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933789,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933807,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933808,R6107,SEN Statements Funding - Non-Maintained Schools,12162.00,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933809,R6107,SEN Statements Funding - Non-Maintained Schools,12490.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933813,R6107,SEN Statements Funding - Non-Maintained Schools,12188.00,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933815,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933819,R6107,SEN Statements Funding - Non-Maintained Schools,13148.00,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933820,R6107,SEN Statements Funding - Non-Maintained Schools,12162.00,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933824,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933828,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933830,R6107,SEN Statements Funding - Non-Maintained Schools,15400.67,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50933832,R6107,SEN Statements Funding - Non-Maintained Schools,11826.33,09/12/2015,People Group,,,,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50936663,R6107,SEN Statements Funding - Non-Maintained Schools,11197.33,14/12/2015,People Group,,,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50918374,R5848,Residential Care (Children),11378.55,01/12/2015,People Group,,,,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50942360,R5848,Residential Care (Children),11757.84,31/12/2015,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50930436,R5822,Foster Care Payments - External,3428.57,01/12/2015,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50931036,R5822,Foster Care Payments - External,880.00,02/12/2015,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50942585,R5822,Foster Care Payments - External,3055.71,22/12/2015,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50942354,R5822,Foster Care Payments - External,1570.00,22/12/2015,People Group,,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50930453,R5822,Foster Care Payments - External,3217.50,30/12/2015,People Group,,,,,
