,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50974378,R5806,Residential Care (Adults),2916.44,22/02/2016,People Group,,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50962587,R5604,Commissioned Works,8000.00,02/02/2016,People Group,,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50976090,R5604,Commissioned Works,3750.00,24/02/2016,People Group,,,,
,,4IMPRINT,P-Card,,,784.75,16/02/2016,,,,,
INSERTED DETAIL,207852,4imprint Direct Ltd,50957073,R4311,Publicity,2891.80,12/02/2016,Communities,,,,
INSERTED DETAIL,207852,4imprint Direct Ltd,50967789,R4311,Publicity,2212.45,19/02/2016,Communities,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50972226,R5805,Homecare - External Domiciliary (Adults),756.00,17/02/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50974341,R5805,Homecare - External Domiciliary (Adults),1008.00,19/02/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50960629,R5805,Homecare - External Domiciliary (Adults),672.00,24/02/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50960626,R5805,Homecare - External Domiciliary (Adults),672.00,24/02/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50960621,R5805,Homecare - External Domiciliary (Adults),560.00,24/02/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50960611,R5805,Homecare - External Domiciliary (Adults),896.00,24/02/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50960614,R5805,Homecare - External Domiciliary (Adults),896.00,24/02/2016,People Group,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50960586,R5848,Residential Care (Children),15000.00,05/02/2016,People Group,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50963935,R5848,Residential Care (Children),15000.00,26/02/2016,People Group,,,,
INSERTED DETAIL,200114,Abacus Day Nursery,50972343,R6106,Private Providers - Early Years Funding,7779.84,22/02/2016,People Group,,,,
