Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
219686,(NFER)The National Foundation for Educational Research in England and Wales (****2060),51358318,R4056,For use by schools only - Learning Resources Curriculum,967.60,14/02/2018,Schools
233106,4Passion Care Ltd,51344107,R5851,Supported Living,2295.00,02/02/2018,People Group
233106,4Passion Care Ltd,51344108,R5851,Supported Living,2329.14,02/02/2018,People Group
233106,4Passion Care Ltd,51344107,R5851,Supported Living,6956.40,02/02/2018,People Group
219733,A Call to Men (UK) CIC,51361653,R1601,Training,"7,500.00",27/02/2018,Communities
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51347830,R5848,Residential Care (Children),15000.00,16/02/2018,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51352189,R5848,Residential Care (Children),6964.26,28/02/2018,People Group
232396,A.C. Lloyd Homes Ltd,51357991,R5702,Payments to External Contractors,6750.00,12/02/2018,Communities
223099,Abacus Training Centre Ltd,51351753,R4008,Equipment,920.00,27/02/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51351768,C1010,Acquisition Of New Assets,"6,000.00",27/02/2018,Capital
999982,Abbey Green Bowling,51357339,R5501,Grants / Donations to External Organisations,-550.00,08/02/2018,Communities
231359,Abbey Offices Park Ltd,51346299,R5702,Payments to External Contractors,2200.00,09/02/2018,Communities
230978,Abbotswood Lodge Ltd,51355547,R5806,Residential Care,1772.52,08/02/2018,People Group
219926,Accessible Transport Group Ltd (ATG),51362842,R5704,Public Transport,3920.00,20/02/2018,Communities
235637,Accomplish - Woodlands Care Home,51362179,R5806,Residential Care,"28,033.43",19/02/2018,People Group
200145,Acorn Tree Surgery Ltd,51336805,R5706,Payments to Third Parties - Recoverable Operating Expenditure,4359.26,01/02/2018,Communities
200145,Acorn Tree Surgery Ltd,51337189,R5706,Payments to Third Parties - Recoverable Operating Expenditure,8000.00,01/02/2018,Communities
200145,Acorn Tree Surgery Ltd,51336809,R5706,Payments to Third Parties - Recoverable Operating Expenditure,831.43,01/02/2018,Communities
200146,Acorn Wood Day Nursery,51352156,R6106,Early Years Funding (PVIs and LA),"1,650.00",02/02/2018,Communities
