SupplierID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
226910,AA Media Ltd,50704847,C1050,External Fees,1319.50,23/01/2015,Capital
214625,Acorn Hills Nursing Home,50754572,R5806,Residential Care (Adults),1915.84,29/01/2015,People Group
225565,Adiemus Care Ltd (Cameron House),50754622,R5806,Residential Care (Adults),1812.44,26/01/2015,People Group
100301,ADVENT ESTATES LIMITED T/A Kilsby House,50754730,R5806,Residential Care (Adults),3734.16,26/01/2015,People Group
100245,Albemarle Rest Home Ltd,50754577,R5806,Residential Care (Adults),1831.84,26/01/2015,People Group
100245,Albemarle Rest Home Ltd,50754577,R5806,Residential Care (Adults),5400.00,26/01/2015,People Group
100245,Albemarle Rest Home Ltd,50754577,R5806,Residential Care (Adults),2471.20,26/01/2015,People Group
100245,Albemarle Rest Home Ltd,50754577,R5806,Residential Care (Adults),2700.00,26/01/2015,People Group
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50754885,R5806,Residential Care (Adults),2143.92,26/01/2015,People Group
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50754885,R5806,Residential Care (Adults),4017.20,26/01/2015,People Group
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50754885,R5806,Residential Care (Adults),4503.92,26/01/2015,People Group
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50754885,R5806,Residential Care (Adults),2073.28,26/01/2015,People Group
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,50754885,R5806,Residential Care (Adults),1743.92,26/01/2015,People Group
100004,Allambie Court Nursing Home,50754579,R5806,Residential Care (Adults),1840.68,26/01/2015,People Group
100004,Allambie Court Nursing Home,50754579,R5806,Residential Care (Adults),20874.61,26/01/2015,People Group
100435,Allambie Enterprises,50754580,R5806,Residential Care (Adults),1528.00,26/01/2015,People Group
227500,Alta Innovations Ltd,50736121,R4612,Projects,4800.00,20/01/2015,Communities
100136,Alveston Leys Nursing Home,50754583,R5806,Residential Care (Adults),3600.00,26/01/2015,People Group
100136,Alveston Leys Nursing Home,50754583,R5806,Residential Care (Adults),8853.80,26/01/2015,People Group
100136,Alveston Leys Nursing Home,50754583,R5806,Residential Care (Adults),1772.96,26/01/2015,People Group
217193,Amber House (Emerald Care Ltd),50754584,R5806,Residential Care (Adults),1835.16,29/01/2015,People Group
100453,Ashleigh Manor Residential Care Home,50754590,R5806,Residential Care (Adults),1680.64,26/01/2015,People Group
226763,Aspect Care Home Ltd,50754592,R5806,Residential Care (Adults),1955.84,26/01/2015,People Group
100001,Autism West Midlands,50754594,R5806,Residential Care (Adults),4025.72,26/01/2015,People Group
100007,Autism West Midlands,50754593,R5806,Residential Care (Adults),8165.16,26/01/2015,People Group
100008,Autism West Midlands,50754774,R5806,Residential Care (Adults),3941.52,26/01/2015,People Group
,AUTO STYLING UK LTD,P-CARD,,,1429.11,02/02/2015,
226378,Avalon Court Care Centre (Restful Homes Group),50738655,R5806,Residential Care (Adults),8192.86,29/01/2015,People Group
100431,Avery Homes Nuneaton Ltd,50754573,R5806,Residential Care (Adults),30731.27,26/01/2015,People Group
100431,Avery Homes Nuneaton Ltd,50754573,R5806,Residential Care (Adults),4982.14,26/01/2015,People Group
100431,Avery Homes Nuneaton Ltd,50754573,R5806,Residential Care (Adults),4843.64,26/01/2015,People Group
100431,Avery Homes Nuneaton Ltd,50754573,R5806,Residential Care (Adults),1274.95,26/01/2015,People Group
100157,Ayeesha Raj,50754596,R5806,Residential Care (Adults),1430.16,26/01/2015,People Group
,B&Q DIRECT,P-CARD,,,979.86,14/01/2015,
227402,Badby Park Ltd,50754597,R5806,Residential Care (Adults),4530.54,26/01/2015,People Group
221758,Baltimore Care Ltd,50754598,R5806,Residential Care (Adults),2320.00,26/01/2015,People Group
100252,Bancroft Gardens,50754599,R5806,Residential Care (Adults),2600.00,26/01/2015,People Group
100252,Bancroft Gardens,50754599,R5806,Residential Care (Adults),-2971.43,26/01/2015,People Group
100252,Bancroft Gardens,50754599,R5806,Residential Care (Adults),2145.60,26/01/2015,People Group
225606,Barbara's Childminding,50732503,R6106,Private Providers - Early Years Funding,702.90,29/01/2015,People Group
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,50754635,R5806,Residential Care (Adults),10745.59,26/01/2015,People Group
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,50754635,R5806,Residential Care (Adults),2090.82,26/01/2015,People Group
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,50754635,R5806,Residential Care (Adults),2560.84,26/01/2015,People Group
100209,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,50754635,R5806,Residential Care (Adults),10229.40,26/01/2015,People Group
100057,Barchester Healthcare Ltd - Dudwell St Mary Care Home,50754655,R5806,Residential Care (Adults),1705.52,26/01/2015,People Group
100057,Barchester Healthcare Ltd - Overslade House (****7129),50754785,R5806,Residential Care (Adults),2710.36,26/01/2015,People Group
219023,Barchester Healthcare Ltd - Overslade House (****7129),50754785,R5806,Residential Care (Adults),12222.04,26/01/2015,People Group
220794,Barchester Healthcare Ltd (Harper Fields),50754695,R5806,Residential Care (Adults),3980.00,26/01/2015,People Group
100021,Barchester Healthcare Ltd (Juniper House Care Home),50754726,R5806,Residential Care (Adults),3365.20,26/01/2015,People Group
100021,Barchester Healthcare Ltd T/A Cubbington Mill Care Home,50754646,R5806,Residential Care (Adults),3690.56,26/01/2015,People Group
100021,Barchester Healthcare Ltd T/A Cubbington Mill Care Home,50754646,R5806,Residential Care (Adults),5787.84,26/01/2015,People Group
,Barchester Healthcare Ltd T/A Cubbington Mill Care Home,50754646,R5806,Residential Care (Adults),5487.83,26/01/2015,People Group
223232,BATSFORD TIMBER LT,P-CARD,,,766.40,19/01/2015,
100009,Beech Hill Grange Ltd,50754605,R5806,Residential Care (Adults),3400.00,26/01/2015,People Group
100255,Beechwood Gardens,50754607,R5806,Residential Care (Adults),3886.32,26/01/2015,People Group
100255,BEN - Motor and Allied Trades Benevolent Fu,50754875,R5806,Residential Care (Adults),10080.04,26/01/2015,People Group
100255,BEN - Motor and Allied Trades Benevolent Fu,50754875,R5806,Residential Care (Adults),4736.00,26/01/2015,People Group
100255,BEN - Motor and Allied Trades Benevolent Fu,50754875,R5806,Residential Care (Adults),9222.28,26/01/2015,People Group
225268,BEN - Motor and Allied Trades Benevolent Fu,50754875,R5806,Residential Care (Adults),5481.77,26/01/2015,People Group
220806,Ben Cave Associates Ltd,50734891,R5702,Payments to External Contractors,984.20,09/01/2015,Communities
100010,Bennetts Castle Ltd,50754608,R5806,Residential Care (Adults),1852.00,26/01/2015,People Group
100010,Bentley House Ltd (Care Centre),50754609,R5806,Residential Care (Adults),1840.64,26/01/2015,People Group
100010,Bentley House Ltd (Care Centre),50754609,R5806,Residential Care (Adults),9706.24,26/01/2015,People Group
100010,Bentley House Ltd (Care Centre),50754609,R5806,Residential Care (Adults),8911.92,26/01/2015,People Group
100010,Bentley House Ltd (Care Centre),50754609,R5806,Residential Care (Adults),1962.16,26/01/2015,People Group
100256,Bentley House Ltd (Care Centre),50754609,R5806,Residential Care (Adults),9037.64,26/01/2015,People Group
100256,Benvarden Retirement Home,50754610,R5806,Residential Care (Adults),1760.00,26/01/2015,People Group
100256,Benvarden Retirement Home,50754610,R5806,Residential Care (Adults),1350.00,26/01/2015,People Group
100256,Benvarden Retirement Home,50754610,R5806,Residential Care (Adults),1800.00,26/01/2015,People Group
100391,Benvarden Retirement Home,50754610,R5806,Residential Care (Adults),1800.00,26/01/2015,People Group
,Be-Smart,50754602,R5806,Residential Care (Adults),4720.96,26/01/2015,People Group
,BIGDUG LIMITED,P-CARD,,,828.95,12/01/2015,
100011,BIKEABILITY MATERIALS,P-CARD,,,1653.96,29/01/2015,
100011,Bilton House,50754612,R5806,Residential Care (Adults),1593.92,26/01/2015,People Group
100011,Bilton House,50754612,R5806,Residential Care (Adults),7136.00,26/01/2015,People Group
225089,Bilton House,50754612,R5806,Residential Care (Adults),1593.92,26/01/2015,People Group
223453,Blanchworth Care (Alsager Court Care Home),50754582,R5806,Residential Care (Adults),1868.40,26/01/2015,People Group
225938,Blue Mar Ltd (Haunton Hall),50754696,R5806,Residential Care (Adults),1557.96,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),1777.12,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),5878.18,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),1977.12,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),1777.12,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),1977.12,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),987.09,26/01/2015,People Group
225938,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),1977.12,26/01/2015,People Group
100259,BM Care Warwick Ltd,50754619,R5806,Residential Care (Adults),2440.58,26/01/2015,People Group
227798,Branston Court Nursing Home,50754617,R5806,Residential Care (Adults),1252.92,26/01/2015,People Group
224285,Bromford Lane Care Centre,50754939,R5806,Residential Care (Adults),2775.00,29/01/2015,People Group
,Buckland Care Ltd t/a Blackwater Mill Residential Home,50754613,R5806,Residential Care (Adults),2760.00,26/01/2015,People Group
100327,BUILDING & PLUMB SUPP,P-CARD,,,732.33,23/01/2015,
100327,Burgess Care Ltd T/A Sharmer Fields House,50754828,R5806,Residential Care (Adults),34170.96,26/01/2015,People Group
100260,Burgess Care Ltd T/A Sharmer Fields House,50754828,R5806,Residential Care (Adults),34392.24,26/01/2015,People Group
100260,Butts Croft House Residential Home,50754620,R5806,Residential Care (Adults),1580.84,26/01/2015,People Group
100260,Butts Croft House Residential Home,50754620,R5806,Residential Care (Adults),5469.12,26/01/2015,People Group
100260,Butts Croft House Residential Home,50754620,R5806,Residential Care (Adults),1823.04,26/01/2015,People Group
100014,Butts Croft House Residential Home,50754620,R5806,Residential Care (Adults),5469.12,26/01/2015,People Group
100234,Camphill Devon Community Ltd,50754623,R5806,Residential Care (Adults),2190.76,26/01/2015,People Group
100234,Canning Court Care Home,50754624,R5806,Residential Care (Adults),1643.68,26/01/2015,People Group
100234,Canning Court Care Home,50754624,R5806,Residential Care (Adults),1760.52,26/01/2015,People Group
224254,Canning Court Care Home,50754624,R5806,Residential Care (Adults),12905.05,26/01/2015,People Group
224254,Care UK Community Partnerships Ltd (Ambleside Care Home),50754586,R5806,Residential Care (Adults),1849.48,26/01/2015,People Group
224254,Care UK Community Partnerships Ltd (Ambleside Care Home),50754586,R5806,Residential Care (Adults),2040.00,26/01/2015,People Group
224254,Care UK Community Partnerships Ltd (Ambleside Care Home),50754586,R5806,Residential Care (Adults),1713.60,26/01/2015,People Group
224254,Care UK Community Partnerships Ltd (Ambleside Care Home),50754586,R5806,Residential Care (Adults),9950.61,26/01/2015,People Group
224254,Care UK Community Partnerships Ltd (Ambleside Care Home),50754586,R5806,Residential Care (Adults),2000.00,26/01/2015,People Group
100261,Care UK Community Partnerships Ltd (Ambleside Care Home),50754586,R5806,Residential Care (Adults),5422.48,26/01/2015,People Group
100261,Castel Froma,50754626,R5806,Residential Care (Adults),2030.00,26/01/2015,People Group
100261,Castel Froma,50754626,R5806,Residential Care (Adults),3696.60,26/01/2015,People Group
100261,Castel Froma,50754626,R5806,Residential Care (Adults),4060.00,26/01/2015,People Group
