Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
999982,1st Kingsbury Scout Group,51152410,R5501,Grants to Organisations & Voluntary Bodies,"£1,000.00",18/01/2017,Communities
999982,2nd Hartshill Brownies Savings Fund,51152396,R5501,Grants to Organisations & Voluntary Bodies,£518.00,18/01/2017,Communities
200014,3P Learning Ltd,51140350,R4056,Learning Resources Curriculum,"£1,601.21",13/01/2017,Schools
223628,A and K Home Care Services Ltd,51143440,R5805,Homecare - External Domiciliary (Adults),£693.84,03/01/2017,People Group
223628,A and K Home Care Services Ltd,51151765,R5805,Homecare - External Domiciliary (Adults),£693.84,17/01/2017,People Group
223628,A and K Home Care Services Ltd,51157076,R5805,Homecare - External Domiciliary (Adults),£925.12,26/01/2017,People Group
223628,A and K Home Care Services Ltd,51157075,R5805,Homecare - External Domiciliary (Adults),"£1,387.68",26/01/2017,People Group
223628,A and K Home Care Services Ltd,51157073,R5805,Homecare - External Domiciliary (Adults),£693.84,26/01/2017,People Group
223628,A and K Home Care Services Ltd,51157083,R5805,Homecare - External Domiciliary (Adults),£627.76,26/01/2017,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51134225,R5848,Residential Care (Children),"£15,000.00",11/01/2017,People Group
200086,A Pargetter & Son Ltd,51135001,R4615,Mortuary/Pathology Expenses,£500.00,06/01/2017,Other Services
224529,A1 Minibus,51132642,R3204,Home To School / College Transport,£561.00,05/01/2017,Communities
231594,AAT Recycling Ltd,51133070,R5702,Payments to External Contractors,£756.50,05/01/2017,Communities
200114,Abacus Day Nursery,51147195,R6106,Private Providers - Early Years Funding,"£2,205.23",23/01/2017,Communities
999982,Abacus Pre-School,51158172,R5501,Grants to Organisations & Voluntary Bodies,£500.00,30/01/2017,Communities
223099,Abacus Training Centre Ltd,51132442,R1601,Training - External,"£1,752.00",04/01/2017,Fire and Rescue
221450,Abbey Fire (UK) Ltd,51144806,R2023,Mechanical (LM),£593.50,12/01/2017,Resources
