Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
,151 Onecall Uk,1891,,,631.20,16/01/2019,Communities,Mr Paul David Gibbs
224477,1st Class School Improvement Ltd,51465657,R4441,Professional Fees,750.00,03/01/2019,Schools,
200014,3P Learning Ltd,51465246,R4030,Materials,510.00,02/01/2019,Schools,
223628,A and K Home Care Services Ltd,51484530,R5805,Homecare - External Domiciliary,"1,104.40",30/01/2019,People Group,
200114,Abacus Day Nursery,51480465,R6106,Early Years Funding (PVIs and LA),"15,581.41",18/01/2019,Communities,
200114,Abacus Day Nursery,51481847,R6106,Early Years Funding (PVIs and LA),"3,054.98",23/01/2019,Communities,
200115,Abacus Pre-School Nursery Ltd,51480464,R6106,Early Years Funding (PVIs and LA),"6,128.89",18/01/2019,Communities,
200115,Abacus Pre-School Nursery Ltd,51481851,R6106,Early Years Funding (PVIs and LA),509.17,23/01/2019,Communities,
223099,Abacus Training Centre Ltd,51472626,R1601,Training,575.00,18/01/2019,Fire and Rescue,
223099,Abacus Training Centre Ltd,51472631,R1601,Training,575.00,18/01/2019,Fire and Rescue,
223099,Abacus Training Centre Ltd,51472635,R1601,Training,575.00,18/01/2019,Fire and Rescue,
221450,Abbey Fire (UK) Ltd,51476010,R2023,Property Services Mechanical (LM),692.40,10/01/2019,Resources,
231359,Abbey Offices Park Ltd,51466567,R5702,Payments to External Contractors,"2,270.00",04/01/2019,Communities,
219926,Accessible Transport Group Ltd (ATG),51481630,R5704,Public Transport,"3,390.00",22/01/2019,Communities,
236890,Acorn Children's Home (Branston) Ltd,51474114,R5806,Residential Care,"19,906.43",18/01/2019,People Group,
200146,Acorn Wood Day Nursery,51480496,R6106,Early Years Funding (PVIs and LA),"22,774.75",18/01/2019,Communities,
200146,Acorn Wood Day Nursery,51481856,R6106,Early Years Funding (PVIs and LA),"7,902.20",23/01/2019,Communities,
200152,Action 21,51466399,R5208,Recycling/re-use Credits,"2,623.21",04/01/2019,Communities,
215891,Action For Children (****6746),51465109,R5806,Residential Care,"50,625.00",02/01/2019,People Group,
215891,Action For Children (****6746),51472316,R5806,Residential Care,"50,625.00",18/01/2019,People Group,
220313,Adana Management Group Ltd,51465431,R1101,Agency Staff Pay,"2,242.01",02/01/2019,Resources,
200169,Addaction - Henley House,51465550,R5702,Payments to External Contractors,"37,652.70",02/01/2019,Communities,
218364,Adler and Allan Ltd,51473838,R4015,Equipment Repair & Maintenance,788.45,25/01/2019,Communities,
235764,Advanced Child Safeguarding Services Ltd t/a Risk Solutions,51468930,R4441,Professional Fees,"2,392.80",11/01/2019,Resources,
200188,Advanced Health & Care Ltd,51467095,R4506,IT Support & Maintenance,784.00,04/01/2019,People Group,
209397,AECOM Ltd,51472666,R4409,Consultancy,"19,800.75",18/01/2019,Communities,
234328,AFFPRO Solutions Ltd,51465003,R4409,Consultancy,"9,450.00",02/01/2019,People Group,
