Supplier ID,Supplier Name,Transaction Number,Account,Description,Amount,Pay date,Group
200046,A Evans - Engineering  Ltd,50160755,R3004,Repair & Maintenance Of Vehicles,850.00,31/07/2012,Communities
200252,A Line Coaches,50144223,R5704,Public Transport,2720.80,12/07/2012,Communities
216128,A.S.K. Development (N. Wales) Ltd.,50146945,R2752,Grounds Maintenance Contract,625.00,13/07/2012,People Group
216128,A.S.K. Development (N. Wales) Ltd.,50146947,R2003,Devolved Maintenance (Via Local),2855.00,23/07/2012,People Group
216128,A.S.K. Development (N. Wales) Ltd.,50146946,R2752,Grounds Maintenance Contract,5534.38,23/07/2012,People Group
216128,A.S.K. Development (N. Wales) Ltd.,50158419,R2752,Grounds Maintenance Contract,-625.00,26/07/2012,People Group
216128,A.S.K. Development (N. Wales) Ltd.,50146929,R2752,Grounds Maintenance Contract,625.00,26/07/2012,People Group
100238,Aalps College -Midlands-,50149077,R5806,Residential Care (Adults),6000.00,16/07/2012,People Group
200109,AAP Counselling Services Ltd,50137305,R4409,Consultancy,1924.00,03/07/2012,Resources
200109,AAP Counselling Services Ltd,50154409,R4409,Consultancy,1716.00,30/07/2012,Resources
216258,Aashna House (Sanctuary Care Ltd),50149078,R5806,Residential Care (Adults),1883.52,16/07/2012,People Group
216258,Aashna House (Sanctuary Care Ltd),50149078,R5806,Residential Care (Adults),1883.52,16/07/2012,People Group
200119,Abbey Fields Nursery & Out of School Club,50142904,R5702,Payments to External Contractors,4680.00,09/07/2012,People Group
100000,Abbeyfield Coventry Society Ltd,50149241,R5806,Residential Care (Adults),-1452.44,16/07/2012,People Group
100000,Abbeyfield Coventry Society Ltd,50149241,R5806,Residential Care (Adults),1450.36,16/07/2012,People Group
100000,Abbeyfield Coventry Society Ltd,50149241,R5806,Residential Care (Adults),2024.12,16/07/2012,People Group
100000,Abbeyfield Coventry Society Ltd,50149241,R5806,Residential Care (Adults),3528.57,16/07/2012,People Group
200133,Abs Skip-Hire Ltd,50149845,R5206,Excess / Bulk haulage,1038.42,18/07/2012,Communities
200133,Abs Skip-Hire Ltd,50150580,R5206,Excess / Bulk haulage,1478.61,18/07/2012,Communities
200138,Accredo Support & Development,50147874,R5805,Homecare - External Domiciliary (Adults),593.12,13/07/2012,People Group
208345,ACM Management Solutions Ltd,50140389,C1030,"New Construction, Conversion & Renovation",835.00,05/07/2012,Capital
208345,ACM Management Solutions Ltd,50145002,R2024,Electrical (LE),670.00,11/07/2012,Resources
208345,ACM Management Solutions Ltd,50152548,R2022,Building (LB),650.00,20/07/2012,Resources
200142,Acorn Fostering Services Ltd,50145462,R5801,Other Child Care,3069.86,13/07/2012,People Group
200142,Acorn Fostering Services Ltd,50145472,R5801,Other Child Care,3069.86,13/07/2012,People Group
200142,Acorn Fostering Services Ltd,50145463,R5801,Other Child Care,3145.71,20/07/2012,People Group
200142,Acorn Fostering Services Ltd,50153414,R5822,Foster Care Payments - External,2952.86,26/07/2012,People Group
200142,Acorn Fostering Services Ltd,50153415,R5822,Foster Care Payments - External,3218.57,26/07/2012,People Group
214625,Acorn Hills Nursing Home,50149081,R5806,Residential Care (Adults),-6158.06,19/07/2012,People Group
214625,Acorn Hills Nursing Home,50149081,R5806,Residential Care (Adults),8073.90,19/07/2012,People Group
200143,Acorn Nursery School,50153455,R5803,Daycare External,587.50,20/07/2012,People Group
200143,Acorn Nursery School,50153470,R5803,Daycare External,587.50,20/07/2012,People Group
200145,Acorn Tree Surgery Ltd,50151416,R5702,Payments to External Contractors,3784.22,24/07/2012,Communities
215891,Action For Children (Penhurst School),50149307,R5806,Residential Care (Adults),5520.00,16/07/2012,People Group
215280,Active Construction and Developments LLP,50147350,C1030,"New Construction, Conversion & Renovation",19833.92,16/07/2012,Capital
200166,ADASS,50145873,R1401,Professional Subscriptions,1535.00,30/07/2012,Other Services
200169,Addaction - Henley House,50136096,R5702,Payments to External Contractors,324583.33,02/07/2012,Communities
200169,Addaction - Henley House,50157447,R5702,Payments to External Contractors,324583.33,27/07/2012,Communities
200170,Addiction Recovery Centre,50157483,R5835,Residential and Inpatient Services,500.00,30/07/2012,Communities
200170,Addiction Recovery Centre,50157486,R5835,Residential and Inpatient Services,2500.00,30/07/2012,Communities
100243,Adelaide House,50149085,R5806,Residential Care (Adults),2400.00,16/07/2012,People Group
200179,Adoption UK,50153946,R5804,Foster Care Payments,740.00,23/07/2012,People Group
201347,Advanced Childcare Ltd,50145605,R5848,Residential Care (Children),11071.34,12/07/2012,People Group
215933,Advent Communications PR Limited,50137046,R4409,Consultancy,1500.00,04/07/2012,Communities
200191,Adventure Kit UK,50146699,R4007,Equipment,830.00,13/07/2012,People Group
216354,After Adoption,50155636,R4702,Subscriptions To Organisations,9000.00,26/07/2012,People Group
200201,Age UK - Warks,50139522,R5810,Adult / Elderly Day Centre,632.10,04/07/2012,People Group
