,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50855018,R5806,Residential Care (Adults),6561.99,13/07/2015,People Group,,,
INSERTED DETAIL,200014,3P Learning Ltd,50847776,R4029,Licences (Incl Tv),500.00,01/07/2015,Schools,,,
INSERTED DETAIL,200014,3P Learning Ltd,50858726,R4029,Licences (Incl Tv),505.00,21/07/2015,Schools,,,
INSERTED DETAIL,200014,3P Learning Ltd,50858737,R4512,Software,690.00,22/07/2015,Schools,,,
INSERTED DETAIL,228690,3tc Software Ltd,50826477,R4506,IT Support & Maintenance,999.00,27/07/2015,Fire and Rescue,,,
INSERTED DETAIL,228690,3tc Software Ltd,50826476,R4506,IT Support & Maintenance,599.00,27/07/2015,Fire and Rescue,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50849147,R5805,Homecare - External Domiciliary (Adults),560.00,03/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50849462,R5805,Homecare - External Domiciliary (Adults),560.00,03/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50849460,R5805,Homecare - External Domiciliary (Adults),672.00,03/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50849458,R5805,Homecare - External Domiciliary (Adults),560.00,03/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50849457,R5805,Homecare - External Domiciliary (Adults),1344.00,03/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50850857,R5805,Homecare - External Domiciliary (Adults),672.00,06/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50852018,R5805,Homecare - External Domiciliary (Adults),896.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50852019,R5805,Homecare - External Domiciliary (Adults),560.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50845963,R5810,Adult Day Care,2464.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50852017,R5805,Homecare - External Domiciliary (Adults),1008.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50851956,R5805,Homecare - External Domiciliary (Adults),896.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50851955,R5805,Homecare - External Domiciliary (Adults),672.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50851954,R5805,Homecare - External Domiciliary (Adults),672.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50849461,R5805,Homecare - External Domiciliary (Adults),1344.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50851951,R5805,Homecare - External Domiciliary (Adults),896.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50851953,R5805,Homecare - External Domiciliary (Adults),896.00,08/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50853384,R5805,Homecare - External Domiciliary (Adults),928.00,09/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50853385,R5805,Homecare - External Domiciliary (Adults),588.00,09/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50853386,R5805,Homecare - External Domiciliary (Adults),944.00,09/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50854656,R5805,Homecare - External Domiciliary (Adults),684.00,10/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50856277,R5805,Homecare - External Domiciliary (Adults),1008.00,15/07/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50863321,R5805,Homecare - External Domiciliary (Adults),672.00,29/07/2015,People Group,,,
INSERTED DETAIL,200044,A E Bennett & Sons,50858585,R4615,Mortuary/Pathology Expenses,635.45,27/07/2015,Other Services,,,
