,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
INSERTED DETAIL,230279,1489 Construction Ltd,51039926,R2003,Devolved Maintenance (Via Local),1634.00,14/07/2016,Schools,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51052253,R5806,Residential Care (Adults),2916.44,11/07/2016,People Group,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,51033743,R5604,Commissioned Works,3250.00,01/07/2016,Communities,
INSERTED DETAIL,999982,1st Sydenham Scout Group,51055340,R5501,Grants to Organisations & Voluntary Bodies,1033.00,28/07/2016,Communities,
INSERTED DETAIL,200014,3P Learning Ltd,51055713,R4056,Learning Resources Curriculum,840.00,20/07/2016,Schools,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046609,R5805,Homecare - External Domiciliary (Adults),1156.40,13/07/2016,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046613,R5805,Homecare - External Domiciliary (Adults),2478.00,13/07/2016,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046617,R5805,Homecare - External Domiciliary (Adults),578.20,13/07/2016,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046619,R5805,Homecare - External Domiciliary (Adults),2544.08,13/07/2016,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046605,R5805,Homecare - External Domiciliary (Adults),925.12,13/07/2016,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046604,R5805,Homecare - External Domiciliary (Adults),925.12,13/07/2016,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51046614,R5805,Homecare - External Domiciliary (Adults),925.12,13/07/2016,People Group,
INSERTED DETAIL,200044,A E Bennett & Sons,51046982,R4615,Mortuary/Pathology Expenses,846.11,07/07/2016,Other Services,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51041454,R5848,Residential Care (Children),15000.00,20/07/2016,People Group,
INSERTED DETAIL,200113,Abacus Cash Registers Ltd,51055864,R4018,Equipment Repair & Maintenance,1843.00,28/07/2016,Communities,
INSERTED DETAIL,200114,Abacus Day Nursery,51041819,R6106,Private Providers - Early Years Funding,3281.85,04/07/2016,Communities,
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51033199,R4019,Fire Equipment Purchase,573.50,01/07/2016,Fire and Rescue,
INSERTED DETAIL,231359,Abbey Offices Park Ltd,51041604,R5702,Payments to External Contractors,2150.00,08/07/2016,Communities,
INSERTED DETAIL,231359,Abbey Offices Park Ltd,51043507,R5702,Payments to External Contractors,2675.00,08/07/2016,Communities,
INSERTED DETAIL,230978,Abbotswood Lodge Ltd,51052252,R5806,Residential Care (Adults),6457.04,11/07/2016,People Group,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51042154,R5822,Foster Care Payments - External,3314.79,08/07/2016,People Group,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51036603,R5822,Foster Care Payments - External,3314.79,08/07/2016,People Group,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51040019,R5822,Foster Care Payments - External,2780.14,08/07/2016,People Group,
INSERTED DETAIL,209852,ABC Teachers Ltd,51040887,R1101,Agency Staff Pay,975.00,15/07/2016,Schools,
INSERTED DETAIL,209852,ABC Teachers Ltd,51044249,R1101,Agency Staff Pay,1560.00,21/07/2016,Schools,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51060585,R5818,Community Services External,4287.67,28/07/2016,People Group,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51060590,R5818,Community Services External,4287.65,28/07/2016,People Group,
INSERTED DETAIL,227552,AC Education,51054766,R5802,Substitute Care,4255.00,18/07/2016,People Group,
INSERTED DETAIL,200139,Ace Gearboxes Ltd,51052856,R4030,Materials,550.00,14/07/2016,Communities,
INSERTED DETAIL,208544,Achievement for All (3As) Ltd,51044477,R5604,Commissioned Works,3400.00,22/07/2016,Communities,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51040001,R5822,Foster Care Payments - External,2360.43,01/07/2016,People Group,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51040021,R5822,Foster Care Payments - External,3042.43,01/07/2016,People Group,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51031783,R5822,Foster Care Payments - External,3324.75,01/07/2016,People Group,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51031782,R5822,Foster Care Payments - External,3365.72,07/07/2016,People Group,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,51034729,R5706,Payments to Third Parties - Recoverable Operating Expenditure,2207.82,06/07/2016,Communities,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,51034732,R5706,Payments to Third Parties - Recoverable Operating Expenditure,4228.12,06/07/2016,Communities,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,51041809,R6106,Private Providers - Early Years Funding,2927.92,04/07/2016,Communities,
INSERTED DETAIL,211087,Action Centres Uk Ltd,51050110,R4915,Educational Visits Expenditure,4096.00,18/07/2016,Schools,
INSERTED DETAIL,215891,Action For Children (****6746),51046564,R5203,Inter Authority Payments,1833.00,01/07/2016,People Group,
INSERTED DETAIL,215891,Action For Children (****6746),51045426,R5848,Residential Care (Children),50625.00,07/07/2016,People Group,
INSERTED DETAIL,200158,Active8 Sports,51048207,R4442,Professional Fees Curriculum,1770.00,08/07/2016,Schools,
INSERTED DETAIL,200158,Active8 Sports,51048210,R4442,Professional Fees Curriculum,1068.00,11/07/2016,Schools,
INSERTED DETAIL,200158,Active8 Sports,51048062,R4433,Sport Instruction,1410.00,11/07/2016,Schools,
INSERTED DETAIL,200158,Active8 Sports,51048052,R4433,Sport Instruction,2040.00,11/07/2016,Schools,
INSERTED DETAIL,220313,Adana Management Group Ltd,51033415,R1101,Agency Staff Pay,2111.40,01/07/2016,Resources,
INSERTED DETAIL,220313,Adana Management Group Ltd,51049367,R1101,Agency Staff Pay,2411.55,29/07/2016,Resources,
INSERTED DETAIL,200169,Addaction - Henley House,51043536,R4612,Projects,40477.00,05/07/2016,Communities,
INSERTED DETAIL,200169,Addaction - Henley House,51058032,R5702,Payments to External Contractors,21691.66,22/07/2016,Communities,
INSERTED DETAIL,200169,Addaction - Henley House,51058256,R5702,Payments to External Contractors,284436.60,28/07/2016,Communities,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51052258,R5806,Residential Care (Adults),2127.16,11/07/2016,People Group,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51052258,R5806,Residential Care (Adults),6136.88,11/07/2016,People Group,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51052258,R5806,Residential Care (Adults),3076.00,11/07/2016,People Group,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51052258,R5806,Residential Care (Adults),1887.16,11/07/2016,People Group,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51052258,R5806,Residential Care (Adults),2840.00,11/07/2016,People Group,
INSERTED DETAIL,229276,Adrian Deacon t/a A J Decorations,51047572,R2001,Buildings Maintenance,600.00,29/07/2016,Communities,
INSERTED DETAIL,226666,Advance Trust T/A The Kingfisher School,51037035,R6107,SEN Statements Funding - Non-Maintained Schools,1127.00,08/07/2016,Communities,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,51052379,R5806,Residential Care (Adults),1923.48,11/07/2016,People Group,
INSERTED DETAIL,209397,AECOM Ltd,51038025,C1050,External Fees,14765.00,08/07/2016,Capital,
INSERTED DETAIL,216354,After Adoption,51039601,R5802,Substitute Care,4000.00,07/07/2016,People Group,
INSERTED DETAIL,200201,Age UK - Warks,51049762,R5809,Adult Social Care Contracts,860.00,07/07/2016,People Group,
INSERTED DETAIL,200201,Age UK - Warks,51049766,R5809,Adult Social Care Contracts,1376.00,07/07/2016,People Group,
INSERTED DETAIL,200201,Age UK - Warks,51048192,R5807,SLA Social Care Provision,4615.00,08/07/2016,People Group,
INSERTED DETAIL,200201,Age UK - Warks,51048172,R5807,SLA Social Care Provision,4615.00,08/07/2016,People Group,
INSERTED DETAIL,200201,Age UK - Warks,51048194,R5807,SLA Social Care Provision,1846.00,08/07/2016,People Group,
INSERTED DETAIL,200201,Age UK - Warks,51051392,R5208,Recycling Credits - Contract Payments,4506.55,11/07/2016,Communities,
INSERTED DETAIL,200201,Age UK - Warks,51051391,R5208,Recycling Credits - Contract Payments,2925.00,11/07/2016,Communities,
INSERTED DETAIL,200201,Age UK - Warks,51051391,R5208,Recycling Credits - Contract Payments,1575.00,11/07/2016,Communities,
INSERTED DETAIL,200201,Age UK - Warks,51051392,R5208,Recycling Credits - Contract Payments,2851.70,11/07/2016,Communities,
INSERTED DETAIL,200211,Airtay,51055532,R2751,Grounds Maintenance Non Contract,5235.00,21/07/2016,Communities,
INSERTED DETAIL,208271,Airwave Solutions Ltd,51058699,R4505,ICT Supplies / Consumables,1282.00,11/07/2016,Fire and Rescue,
INSERTED DETAIL,200223,Alan Robinson Property Rental,51040393,R2201,Rent,4125.00,13/07/2016,Resources,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51052260,R5806,Residential Care (Adults),2526.52,11/07/2016,People Group,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51052260,R5806,Residential Care (Adults),12342.40,11/07/2016,People Group,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51052504,R5806,Residential Care (Adults),2252.88,11/07/2016,People Group,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51052504,R5806,Residential Care (Adults),1849.96,11/07/2016,People Group,
INSERTED DETAIL,208344,Alcatel Lucent Telecom Ltd,51051731,R4503,Hardware,8332.00,14/07/2016,Resources,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,51045958,R4701,Grants To External Organisations,3000.00,04/07/2016,Communities,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,51056642,R6107,SEN Statements Funding - Non-Maintained Schools,1022.00,20/07/2016,Communities,
INSERTED DETAIL,207814,Alcester Grammar School (Academy),51045988,R4701,Grants To External Organisations,3000.00,04/07/2016,Communities,
INSERTED DETAIL,221172,Alcester Health Centre,51059125,R5702,Payments to External Contractors,1473.62,29/07/2016,Communities,
INSERTED DETAIL,200237,Alcester Nursery Studio,51041661,R6106,Private Providers - Early Years Funding,3217.50,04/07/2016,Communities,
INSERTED DETAIL,212639,All About Holes LTD,51044047,R4440,Admin Contracts,2220.53,15/07/2016,Communities,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51052261,R5806,Residential Care (Adults),1896.28,11/07/2016,People Group,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51052261,R5806,Residential Care (Adults),12750.48,11/07/2016,People Group,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51052261,R5806,Residential Care (Adults),3800.66,11/07/2016,People Group,
INSERTED DETAIL,100435,Allambie Enterprises,51052262,R5806,Residential Care (Adults),1592.08,11/07/2016,People Group,
INSERTED DETAIL,200276,Alliance Foster Care Ltd,51047287,R5822,Foster Care Payments - External,5142.90,08/07/2016,People Group,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,51049315,R3005,Fuel,32935.50,05/07/2016,Communities,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,51052510,R5806,Residential Care (Adults),1864.00,11/07/2016,People Group,
INSERTED DETAIL,228232,Altum Residential Care Ltd,51052265,R5806,Residential Care (Adults),52714.29,11/07/2016,People Group,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51052199,R5806,Residential Care (Adults),1880.76,11/07/2016,People Group,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51052199,R5806,Residential Care (Adults),9291.43,11/07/2016,People Group,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51052199,R5806,Residential Care (Adults),3636.88,11/07/2016,People Group,
,,AMBION CONTRACTORS LTD,P-CARD,,,1128.00 ,08/08/2016,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51048547,C1050,External Fees,7428.50,29/07/2016,Capital,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51048544,C1050,External Fees,2050.25,29/07/2016,Capital,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51048548,C1050,External Fees,4946.25,29/07/2016,Capital,
