Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
219686,(NFER)The National Foundation for Educational Research in England and Wales (****2060),51230044,R4058,"Books, Newspapers & Publications",1377.28,07/07/2017,Schools
228843,1st Care Ltd t/a Acorn Care Home,51255049,R5806,Residential Care,6400.24,27/07/2017,People Group
200013,2simple Software Ltd,51237520,R4512,Software,1000,21/07/2017,Schools
228690,3tc Software Ltd,51232614,R4512,Software,2850,14/07/2017,Fire and Rescue
200017,90-One Education,51236708,R5702,Payments to External Contractors,1800,21/07/2017,Communities
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51228535,R5848,Residential Care (Children),15000,06/07/2017,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51243265,R5848,Residential Care (Children),15000,28/07/2017,People Group
218624,A Merrie Noyse,51242806,R4441,Professional Fees,937.5,28/07/2017,Communities
233657,A1 Gleam Clean,51233568,R1101,Agency Staff Pay,598.5,17/07/2017,Schools
200114,Abacus Day Nursery,51237986,R6106,Early Years Funding (PVIs and LA),7427.16,03/07/2017,Communities
200115,Abacus Pre-School Nursery Ltd,51237941,R6106,Early Years Funding (PVIs and LA),1014.36,03/07/2017,Communities
223099,Abacus Training Centre Ltd,51230317,R1601,Training,1450,07/07/2017,Fire and Rescue
223099,Abacus Training Centre Ltd,51241482,R1601,Training,1375,28/07/2017,Fire and Rescue
231359,Abbey Offices Park Ltd,51240919,R5702,Payments to External Contractors,2100,05/07/2017,Communities
230978,Abbotswood Lodge Ltd,51255048,R5806,Residential Care,1772.52,27/07/2017,People Group
233538,Academy Board Bank Ltd,51231804,R1101,Agency Staff Pay,13872,13/07/2017,Communities
219926,Accessible Transport Group Ltd (ATG),51250738,R5704,Public Transport,1860,18/07/2017,Communities
200145,Acorn Tree Surgery Ltd,51232844,R5706,Payments to Third Parties - Recoverable Operating Expenditure,818.78,14/07/2017,Communities
200146,Acorn Wood Day Nursery,51238010,R6106,Early Years Funding (PVIs and LA),5948.6,03/07/2017,Communities
200146,Acorn Wood Day Nursery,51251085,C1030,"New Construction, Conversion & Renovation",22350,19/07/2017,Capital
200146,Acorn Wood Day Nursery,51256456,C1030,"New Construction, Conversion & Renovation",31680,27/07/2017,Capital
200146,Acorn Wood Day Nursery,51256455,C1030,"New Construction, Conversion & Renovation",1800,27/07/2017,Capital
215891,Action For Children (****6746),51226094,R5848,Residential Care (Children),50625,07/07/2017,People Group
215891,Action For Children (****6746),51242917,R5848,Residential Care (Children),50625,28/07/2017,People Group
209747,Adare SEC Ltd,51242301,R4310,"Printing, Photocopying and Reprographics",2875.48,28/07/2017,Resources
200169,Addaction - Henley House,51232231,R5702,Payments to External Contractors,255993.3,13/07/2017,Communities
200169,Addaction - Henley House,51240957,R5702,Payments to External Contractors,23086.12,28/07/2017,Communities
229387,Adelaide House (B & E Thorpe-Smith),51255053,R5806,Residential Care,4801.99,27/07/2017,People Group
229387,Adelaide House (B & E Thorpe-Smith),51255053,R5806,Residential Care,2840.04,27/07/2017,People Group
229387,Adelaide House (B & E Thorpe-Smith),51255053,R5806,Residential Care,3396.4,27/07/2017,People Group
229387,Adelaide House (B & E Thorpe-Smith),51255053,R5806,Residential Care,6570.08,27/07/2017,People Group
229387,Adelaide House (B & E Thorpe-Smith),51255053,R5806,Residential Care,2165,27/07/2017,People Group
200172,Adept,51236857,R4702,Subscriptions To Organisations,2040,07/07/2017,Other Services
233077,ADM Care Homes Ltd t/a Beeches Care Home,51255081,R5806,Residential Care,1920,27/07/2017,People Group
999982,Admiral Law Limited,51246581,R4928,Other Insurance Claims,11522.97,11/07/2017,Other Services
200187,Advance Housing & Support Ltd,51234419,R5851,Supported Living,693.68,14/07/2017,People Group
200187,Advance Housing & Support Ltd,51234404,R5851,Supported Living,2406.04,20/07/2017,People Group
200187,Advance Housing & Support Ltd,51240225,R5851,Supported Living,844.8,27/07/2017,People Group
200187,Advance Housing & Support Ltd,51240231,R5851,Supported Living,693.68,27/07/2017,People Group
100301,Advent Estates Ltd t/a Kilsby House,51255191,R5806,Residential Care,1991.64,27/07/2017,People Group
,Aerling 23kvw6 Iliffe,43859,,,718.94,14/07/2017,
200201,Age UK Warwickshire,51228949,R5807,Social Care Block Contracts,5000,05/07/2017,People Group
200201,Age UK Warwickshire,51232666,R5807,Social Care Block Contracts,1846,10/07/2017,People Group
200201,Age UK Warwickshire,51232663,R5807,Social Care Block Contracts,4615,10/07/2017,People Group
200201,Age UK Warwickshire,51232664,R5807,Social Care Block Contracts,4615,10/07/2017,People Group
200201,Age UK Warwickshire,51243190,R5807,Social Care Block Contracts,2500,10/07/2017,People Group
200201,Age UK Warwickshire,51246599,R5807,Social Care Block Contracts,5000,28/07/2017,People Group
231993,Aim Educational Ltd,51241477,R4441,Professional Fees,500,28/07/2017,Communities
233830,Airbus Defence and Space,51243055,R4512,Software,25300,28/07/2017,Fire and Rescue
200211,Airtay,51235043,R2751,Grounds Maintenance,875,20/07/2017,Communities
200211,Airtay,51235042,R2751,Grounds Maintenance,4840,20/07/2017,Communities
200211,Airtay,51235044,R2751,Grounds Maintenance,950,20/07/2017,Communities
100245,Albemarle Rest Home Ltd,51255055,R5806,Residential Care,2764.36,27/07/2017,People Group
100245,Albemarle Rest Home Ltd,51255055,R5806,Residential Care,3600,27/07/2017,People Group
100245,Albemarle Rest Home Ltd,51255055,R5806,Residential Care,6688.36,27/07/2017,People Group
208344,Alcatel Lucent Telecom Ltd,51234977,R4506,IT Support & Maintenance,8332,20/07/2017,Resources
208797,Alcester Academy (ACAD) School,51252088,R6107,SEN Statements Funding,3419,20/07/2017,Communities
207814,Alcester Grammar School (Academy),51252071,R6107,SEN Statements Funding,1429,20/07/2017,Communities
200237,Alcester Nursery Studio,51237961,R6106,Early Years Funding (PVIs and LA),7741.91,03/07/2017,Communities
212639,All About Holes Ltd,51229280,R4441,Professional Fees,2194.18,06/07/2017,Communities
200109,All About People Counselling Services Ltd,51227950,R1408,Other Staffing Costs,2652,05/07/2017,Resources
100004,Allambie Court Nursing Home,51255056,R5806,Residential Care,21238.23,27/07/2017,People Group
100435,Allambie Enterprises,51255057,R5806,Residential Care,1655.92,27/07/2017,People Group
,Allpay Ltd,33897,,,676.26,06/07/2017,
200282,Allsorts Publications Ltd,51244851,R5802,Substitute Care,660,28/07/2017,People Group
207773,Allstar Business Solutions Ltd,51243298,R3001,Vehicle Operating Costs,32614.41,04/07/2017,Communities
228198,Alpha Care Homes - Waters Edge,51255344,R5806,Residential Care,1931.08,27/07/2017,People Group
200291,Alveston Cygnets,51237906,R6106,Early Years Funding (PVIs and LA),3576.04,03/07/2017,Communities
223286,Ambion Contractors Ltd,51248443,R4010,Equipment Hire,3850,28/07/2017,Communities
233607,Anchor Trust ( Tandy Court),51255300,R5806,Residential Care,1744,27/07/2017,People Group
,Angel Care Tamworth Ltd,,R5805,Homecare - External Domiciliary,"35,000.00",28/07/2017,People Group
230129,Angel Care Tamworth Ltd,51232275,R5805,Homecare - External Domiciliary,812.16,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51256771,R5805,Homecare - External Domiciliary,1218.24,27/07/2017,People Group
230129,Angel Care Tamworth Ltd,51256776,R5805,Homecare - External Domiciliary,631.68,27/07/2017,People Group
