Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Directorate
200044,A E Bennett & Sons,51407149,R4615,Coroner/Mortuary/Pathology Fees,801.54,05/07/2018,Other Services
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51414152,R5806,Residential Care,"16,071.42",31/07/2018,People Group
227476,AAFDA Advocacy After Fatal Domestic Abuse,51404593,R4409,Consultancy,799.65,05/07/2018,Communities
200113,Abacus Cash Registers Ltd,51405332,R4008,Equipment,"1,843.00",06/07/2018,Communities
200114,Abacus Day Nursery,51413246,R6106,Early Years Funding (PVIs and LA),944.26,03/07/2018,Communities
200115,Abacus Pre-School Nursery Ltd,51413220,R6106,Early Years Funding (PVIs and LA),"1,289.44",03/07/2018,Communities
223099,Abacus Training Centre Ltd,51416687,R1601,Training,575.00,17/07/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51416700,R1601,Training,575.00,17/07/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51416686,R1601,Training,575.00,17/07/2018,Fire and Rescue
223099,Abacus Training Centre Ltd,51416694,R1601,Training,575.00,26/07/2018,Fire and Rescue
231359,Abbey Offices Park Ltd,51405782,R5702,Payments to External Contractors,"2,240.00",06/07/2018,Communities
236194,Absolute Translations Ltd,51412258,R4441,Professional Fees,919.96,27/07/2018,People Group
219926,Accessible Transport Group Ltd (ATG),51414050,R5704,Public Transport,"1,049.75",03/07/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51414072,R5704,Public Transport,"4,240.00",03/07/2018,Communities
235637,Accomplish - Woodlands Care Home,51415949,R5806,Residential Care,"6,651.96",11/07/2018,People Group
235637,Accomplish - Woodlands Care Home,51418585,R5806,Residential Care,"6,651.96",30/07/2018,People Group
200146,Acorn Wood Day Nursery,51413239,R6106,Early Years Funding (PVIs and LA),"3,555.41",03/07/2018,Communities
,Act Now Training Limited,16647,,,"1,071.99",11/07/2018,Communities
200150,Act On Energy,51413727,R4409,Consultancy,"4,493.75",20/07/2018,Resources
200152,Action 21,51413096,R5208,Recycling/re-use Credits,"1,837.35",27/07/2018,Communities
219696,Action Deafness Ltd,51417261,R5851,Supported Living,726.00,11/07/2018,People Group
215891,Action For Children (****6746),51416643,R5806,Residential Care,"50,625.00",13/07/2018,People Group
215891,Action For Children (****6746),51416647,R5806,Residential Care,"50,625.00",30/07/2018,People Group
235657,Activate Learning,51404655,R5702,Payments to External Contractors,"2,383.00",06/07/2018,Communities
200157,Active Mind Solutions,51404613,R4512,Software,"2,592.00",05/07/2018,Resources
220313,Adana Management Group Ltd,51404696,R1101,Agency Staff Pay,"2,288.55",06/07/2018,Resources
200169,Addaction - Henley House,51412982,R5702,Payments to External Contractors,"35,756.57",16/07/2018,Communities
999982,Adjusting Services Limited (ASL),51424393,R4441,Professional Fees,"126,115.37",30/07/2018,People Group
200187,Advance Housing & Support Ltd,51418586,R5851,Supported Living,985.60,16/07/2018,People Group
200187,Advance Housing & Support Ltd,51418584,R5851,Supported Living,985.60,16/07/2018,People Group
200187,Advance Housing & Support Ltd,51418583,R5851,Supported Living,985.60,16/07/2018,People Group
200187,Advance Housing & Support Ltd,51419709,R5851,Supported Living,985.60,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51420191,R5851,Supported Living,760.32,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51419672,R5851,Supported Living,563.20,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51420297,R5851,Supported Living,"1,126.40",17/07/2018,People Group
200187,Advance Housing & Support Ltd,51420306,R5851,Supported Living,788.48,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51420315,R5851,Supported Living,760.32,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51420322,R5851,Supported Living,"1,070.08",17/07/2018,People Group
200187,Advance Housing & Support Ltd,51420193,R5851,Supported Living,"1,126.40",17/07/2018,People Group
200187,Advance Housing & Support Ltd,51419686,R5851,Supported Living,788.48,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51419707,R5851,Supported Living,535.04,17/07/2018,People Group
200187,Advance Housing & Support Ltd,51421169,R5851,Supported Living,563.20,23/07/2018,People Group
200187,Advance Housing & Support Ltd,51421178,R5851,Supported Living,563.20,23/07/2018,People Group
200187,Advance Housing & Support Ltd,51421618,R5851,Supported Living,872.96,23/07/2018,People Group
200187,Advance Housing & Support Ltd,51421606,R5851,Supported Living,954.80,23/07/2018,People Group
,Affiliated Auto Rental,2142,,,539.98,09/07/2018,Communities
