,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50839648,R5806,Residential Care (Adults),9165.95,17/06/2015,People Group,
INSERTED DETAIL,200014,3P Learning Ltd,50842993,R4029,Licences (Incl Tv),1020.00,26/06/2015,Schools,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50826407,R5805,Homecare - External Domiciliary (Adults),2464.00,10/06/2015,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50845822,R5805,Homecare - External Domiciliary (Adults),560.00,26/06/2015,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50845821,R5805,Homecare - External Domiciliary (Adults),896.00,26/06/2015,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50845820,R5805,Homecare - External Domiciliary (Adults),1008.00,26/06/2015,People Group,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50845823,R5805,Homecare - External Domiciliary (Adults),672.00,26/06/2015,People Group,
INSERTED DETAIL,200252,A Line Coaches,50834696,R3204,Home To School / College Transport,804.00,09/06/2015,Communities,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50836422,R5848,Residential Care (Children),15000.00,12/06/2015,People Group,
INSERTED DETAIL,200091,A To B Taxis,50837872,R3204,Home To School / College Transport,500.00,11/06/2015,People Group,
INSERTED DETAIL,222212,Aa Rx Ltd T/A Grendon Pharmacy,50841426,R5702,Payments to External Contractors,533.36,17/06/2015,Communities,
INSERTED DETAIL,200114,Abacus Day Nursery,50841927,R6106,Private Providers - Early Years Funding,10638.73,22/06/2015,People Group,
INSERTED DETAIL,228722,Abacus Playgrounds Ltd,50822263,C1060,Grants & Contributions To Outside Organisations,2870.40,17/06/2015,Capital,
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,50841928,R6106,Private Providers - Early Years Funding,7200.00,22/06/2015,People Group,
INSERTED DETAIL,223099,Abacus Training Centre Ltd,50842233,R1601,Training - External,1752.00,25/06/2015,Fire and Rescue,
INSERTED DETAIL,200121,Abbey Preschool,50841929,R6106,Private Providers - Early Years Funding,2200.06,22/06/2015,People Group,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50842980,R5822,Foster Care Payments - External,3207.86,25/06/2015,People Group,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50836328,R5822,Foster Care Payments - External,3314.79,30/06/2015,People Group,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50843664,R5822,Foster Care Payments - External,641.57,30/06/2015,People Group,
INSERTED DETAIL,201709,About Me Care and Support Ltd,50831330,R5818,Community Services External,2768.85,18/06/2015,People Group,
INSERTED DETAIL,201709,About Me Care and Support Ltd,50831329,R5818,Community Services External,2865.12,18/06/2015,People Group,
INSERTED DETAIL,201709,About Me Care and Support Ltd,50837932,R5818,Community Services External,2829.75,18/06/2015,People Group,
INSERTED DETAIL,201709,About Me Care and Support Ltd,50822125,R5818,Community Services External,2318.83,18/06/2015,People Group,
INSERTED DETAIL,201709,About Me Care and Support Ltd,50845769,R5818,Community Services External,3069.59,30/06/2015,People Group,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50846173,R6107,SEN Statements Funding - Non-Maintained Schools,10871.16,26/06/2015,People Group,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50845865,R6107,SEN Statements Funding - Non-Maintained Schools,5379.54,26/06/2015,People Group,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50836816,R5822,Foster Care Payments - External,3324.75,12/06/2015,People Group,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50836013,R5822,Foster Care Payments - External,3542.86,26/06/2015,People Group,
INSERTED DETAIL,227186,Acorn Treatment Projects,50742155,R5835,Residential and Inpatient Services,2121.43,10/06/2015,Communities,
INSERTED DETAIL,227186,Acorn Treatment Projects,50814981,R5835,Residential and Inpatient Services,2192.14,10/06/2015,Communities,
INSERTED DETAIL,227186,Acorn Treatment Projects,50776100,R5835,Residential and Inpatient Services,2192.14,10/06/2015,Communities,
INSERTED DETAIL,227186,Acorn Treatment Projects,50755566,R5835,Residential and Inpatient Services,2192.14,10/06/2015,Communities,
