,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,
,,1PP EDUCATION LTD,P-Card,,,2370.00,06/07/2016,,,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51037074,R5806,Residential Care (Adults),2916.44,13/06/2016,People Group,,,,
INSERTED DETAIL,229769,1st Planner Ltd,51019598,R4409,Consultancy,2700.00,03/06/2016,Communities,,,,
INSERTED DETAIL,200013,2simple Software Ltd,51035900,R4056,Learning Resources Curriculum,500.00,09/06/2016,Schools,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037484,R5805,Homecare - External Domiciliary (Adults),925.12,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037523,R5805,Homecare - External Domiciliary (Adults),925.12,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037475,R5805,Homecare - External Domiciliary (Adults),2478.00,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037483,R5805,Homecare - External Domiciliary (Adults),925.12,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037496,R5805,Homecare - External Domiciliary (Adults),809.48,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037499,R5805,Homecare - External Domiciliary (Adults),561.68,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037512,R5805,Homecare - External Domiciliary (Adults),1156.40,17/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51042615,R5805,Homecare - External Domiciliary (Adults),700.00,22/06/2016,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51037729,R5805,Homecare - External Domiciliary (Adults),1120.00,24/06/2016,People Group,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51023012,R5848,Residential Care (Children),15000.00,10/06/2016,People Group,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51028584,R5848,Residential Care (Children),15000.00,23/06/2016,People Group,,,,
INSERTED DETAIL,223161,AAP Ltd t/a Village Pharmacy,51039419,R5702,Payments to External Contractors,1196.78,20/06/2016,Communities,,,,
INSERTED DETAIL,200114,Abacus Day Nursery,51038233,R6106,Private Providers - Early Years Funding,13575.20,20/06/2016,Communities,,,,
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,51038275,R6106,Private Providers - Early Years Funding,11023.11,20/06/2016,Communities,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,51036528,R2023,Mechanical (LM),644.90,24/06/2016,Resources,,,,
INSERTED DETAIL,200121,Abbey Preschool,51038300,R6106,Private Providers - Early Years Funding,7658.70,20/06/2016,Communities,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51017696,R5822,Foster Care Payments - External,3207.86,03/06/2016,People Group,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51023633,R5822,Foster Care Payments - External,3207.86,03/06/2016,People Group,,,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,51020765,R5822,Foster Care Payments - External,2780.14,08/06/2016,People Group,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,51017736,R1101,Agency Staff Pay,949.99,02/06/2016,Schools,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,51020954,R1101,Agency Staff Pay,1170.00,08/06/2016,Schools,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,51029916,R1101,Agency Staff Pay,975.00,24/06/2016,Schools,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51026074,R5822,Foster Care Payments - External,2944.29,03/06/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51026077,R5822,Foster Care Payments - External,2284.29,03/06/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51016136,R5822,Foster Care Payments - External,3428.57,03/06/2016,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,51016137,R5822,Foster Care Payments - External,3217.50,03/06/2016,People Group,,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,51017844,R5706,Payments to Third Parties - Recoverable Operating Expenditure,946.74,03/06/2016,Communities,,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,51017845,R5706,Payments to Third Parties - Recoverable Operating Expenditure,8565.38,03/06/2016,Communities,,,,
INSERTED DETAIL,200146,Acorn Wood Day Nursery,51038254,R6106,Private Providers - Early Years Funding,12238.51,20/06/2016,Communities,,,,
INSERTED DETAIL,211087,Action Centres Uk Ltd,51031586,R4915,Educational Visits Expenditure,3040.00,06/06/2016,Schools,,,,
INSERTED DETAIL,219696,Action Deafness Ltd,51035626,R5810,Adult Day Care,904.40,08/06/2016,People Group,,,,
INSERTED DETAIL,219696,Action Deafness Ltd,51035636,R5810,Adult Day Care,742.00,17/06/2016,People Group,,,,
INSERTED DETAIL,215891,Action For Children (****6746),51032424,R5203,Inter Authority Payments,1833.00,03/06/2016,People Group,,,,
INSERTED DETAIL,215891,Action For Children (****6746),51031784,R5848,Residential Care (Children),50625.00,10/06/2016,People Group,,,,
INSERTED DETAIL,215891,Action For Children (****6746),51037784,R5801,Other Child Care,1314.00,13/06/2016,People Group,,,,
INSERTED DETAIL,220313,Adana Management Group Ltd,51016032,R1101,Agency Staff Pay,2390.85,02/06/2016,Resources,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51041528,R5702,Payments to External Contractors,284436.60,28/06/2016,Communities,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51045075,R5702,Payments to External Contractors,24480.58,29/06/2016,Communities,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51037078,R5806,Residential Care (Adults),2127.16,13/06/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51037078,R5806,Residential Care (Adults),9934.82,13/06/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51037078,R5806,Residential Care (Adults),3076.00,13/06/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51037078,R5806,Residential Care (Adults),2166.93,13/06/2016,People Group,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51037078,R5806,Residential Care (Adults),2840.00,13/06/2016,People Group,,,,
INSERTED DETAIL,229276,Adrian Deacon t/a A J Decorations,51018727,R2001,Buildings Maintenance,900.00,03/06/2016,Communities,,,,
INSERTED DETAIL,231322,Adrian Eastham Painter and Decorator,51044103,R4035,Personal Requisites,1700.00,23/06/2016,People Group,,,,
INSERTED DETAIL,200187,Advance Housing & Support Ltd,51029753,R5805,Homecare - External Domiciliary (Adults),777.70,03/06/2016,People Group,,,,
INSERTED DETAIL,226666,Advance Trust T/A The Kingfisher School,51019413,R6107,SEN Statements Funding - Non-Maintained Schools,2369.23,03/06/2016,Communities,,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,51037222,R5806,Residential Care (Adults),1992.17,13/06/2016,People Group,,,,
INSERTED DETAIL,231165,Adventure Central,51031191,R4915,Educational Visits Expenditure,1240.00,30/06/2016,Schools,,,,
INSERTED DETAIL,200201,Age UK - Warks,51034629,R5807,SLA Social Care Provision,1846.00,16/06/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,51034631,R5807,SLA Social Care Provision,4615.00,16/06/2016,People Group,,,,
INSERTED DETAIL,200201,Age UK - Warks,51034630,R5807,SLA Social Care Provision,4615.00,16/06/2016,People Group,,,,
INSERTED DETAIL,208271,Airwave Solutions Ltd,51019402,R4506,IT Support & Maintenance,1282.00,03/06/2016,Fire and Rescue,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51037080,R5806,Residential Care (Adults),28742.40,13/06/2016,People Group,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51037080,R5806,Residential Care (Adults),2526.52,13/06/2016,People Group,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51037369,R5806,Residential Care (Adults),2252.88,13/06/2016,People Group,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51037369,R5806,Residential Care (Adults),1849.96,13/06/2016,People Group,,,,
INSERTED DETAIL,208797,Alcester Academy (ACAD) School,51039321,R6107,SEN Statements Funding - Non-Maintained Schools,1542.00,15/06/2016,Communities,,,,
INSERTED DETAIL,200237,Alcester Nursery Studio,51038284,R6106,Private Providers - Early Years Funding,22498.78,20/06/2016,Communities,,,,
INSERTED DETAIL,200238,Alcium Software Ltd,51033284,R4512,Software,5375.00,10/06/2016,Communities,,,,
INSERTED DETAIL,220023,Alderson House (Warwick) Ltd,51022069,R4601,Conferences,600.00,08/06/2016,Communities,,,,
INSERTED DETAIL,212639,All About Holes LTD,51035858,R4440,Admin Contracts,4071.60,30/06/2016,Communities,,,,
INSERTED DETAIL,200109,All About People Counselling Services Ltd,51044075,R1408,Other Indirect Misc Employee Expenses,4029.30,30/06/2016,Resources,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51037081,R5806,Residential Care (Adults),3746.24,13/06/2016,People Group,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51037081,R5806,Residential Care (Adults),1896.28,13/06/2016,People Group,,,,
INSERTED DETAIL,100004,Allambie Court Nursing Home,51037081,R5806,Residential Care (Adults),12750.48,13/06/2016,People Group,,,,
INSERTED DETAIL,100435,Allambie Enterprises,51037082,R5806,Residential Care (Adults),1592.08,13/06/2016,People Group,,,,
INSERTED DETAIL,200276,Alliance Foster Care Ltd,51032649,R5822,Foster Care Payments - External,5314.33,10/06/2016,People Group,,,,
INSERTED DETAIL,230581,Alliantist Ltd,51039955,R4512,Software,30000.00,24/06/2016,People Group,,,,
INSERTED DETAIL,207773,Allstar Business Solutions Ltd,51032135,R3005,Fuel,30525.35,02/06/2016,Communities,,,,
INSERTED DETAIL,228198,Alpha Care Homes - Waters Edge,51037374,R5806,Residential Care (Adults),1864.00,13/06/2016,People Group,,,,
INSERTED DETAIL,200291,Alveston Cygnets,51038236,R6106,Private Providers - Early Years Funding,6670.26,20/06/2016,Communities,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51037085,R5806,Residential Care (Adults),1880.76,13/06/2016,People Group,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51037085,R5806,Residential Care (Adults),3636.88,13/06/2016,People Group,,,,
INSERTED DETAIL,100136,Alveston Leys Nursing Home,51037085,R5806,Residential Care (Adults),876.12,13/06/2016,People Group,,,,
INSERTED DETAIL,200303,Amce Construction Ltd,51020747,R2022,Building (LB),1180.13,03/06/2016,Resources,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51046161,C1050,External Fees,2157.00,29/06/2016,Capital,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51046458,C1050,External Fees,13140.14,29/06/2016,Capital,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51046489,C1050,External Fees,7299.25,29/06/2016,Capital,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51046463,C1050,External Fees,4334.41,29/06/2016,Capital,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51046469,C1050,External Fees,10381.30,29/06/2016,Capital,,,,
INSERTED DETAIL,217874,AMEC Foster Wheeler Environment & Infrastructure UK Ltd,51046462,C1050,External Fees,6168.35,29/06/2016,Capital,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51035296,R5805,Homecare - External Domiciliary (Adults),1711.36,08/06/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51026132,R5805,Homecare - External Domiciliary (Adults),1410.56,10/06/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51026175,R5805,Homecare - External Domiciliary (Adults),917.44,10/06/2016,People Group,,,,
INSERTED DETAIL,230129,Angel Care Tamworth Ltd,51026176,R5805,Homecare - External Domiciliary (Adults),1684.48,15/06/2016,People Group,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,51018645,R5822,Foster Care Payments - External,600.00,03/06/2016,People Group,,,,
INSERTED DETAIL,200349,Anglia D N A Services Ltd,51026604,R4443,Professional Fees Admin,560.00,17/06/2016,Resources,,,,
,,AO RETAIL LIMITED,P-Card,,,663.32,15/06/2016,,,,,
INSERTED DETAIL,231035,AoC Create,51026875,R5702,Payments to External Contractors,18000.00,17/06/2016,Communities,,,,
INSERTED DETAIL,200389,Apetito Ltd,51029561,R5807,SLA Social Care Provision,-732.00,09/06/2016,People Group,,,,
INSERTED DETAIL,200389,Apetito Ltd,51034925,R5807,SLA Social Care Provision,597.39,09/06/2016,People Group,,,,
INSERTED DETAIL,200389,Apetito Ltd,51029555,R5807,SLA Social Care Provision,594.75,09/06/2016,People Group,,,,
INSERTED DETAIL,210713,Apple Grove Day Nursery,51038238,R6106,Private Providers - Early Years Funding,17282.50,20/06/2016,Communities,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51039677,R5805,Homecare - External Domiciliary (Adults),964.80,24/06/2016,People Group,,,,
INSERTED DETAIL,215154,Applewood Support Ltd,51039681,R5805,Homecare - External Domiciliary (Adults),1206.00,24/06/2016,People Group,,,,
INSERTED DETAIL,230535,Archway Community College (Academy),51026845,R6107,SEN Statements Funding - Non-Maintained Schools,2799.00,17/06/2016,Communities,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51027353,C1030,"New Construction, Conversion & Renovation",155811.62,07/06/2016,Capital,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51035108,R2022,Building (LB),14407.35,08/06/2016,Resources,,,,
INSERTED DETAIL,200419,Arden Construction Ltd,51032034,C1030,"New Construction, Conversion & Renovation",14564.43,10/06/2016,Capital,,,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,51020460,R2204,Room Hire - External,2070.00,03/06/2016,Communities,,,,
INSERTED DETAIL,226768,Arden Leisure Ltd t/a Studley Sports Centre,51031628,R2204,Room Hire - External,1610.00,24/06/2016,Communities,,,,
INSERTED DETAIL,229140,Arden Psychology Services Ltd,51031539,R5849,Counselling Services (Children),1875.00,24/06/2016,People Group,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51027467,R4049,White Goods/Domestic Appliances,609.93,07/06/2016,Resources,,,,
INSERTED DETAIL,200429,Argos Business Solutions Ltd (****9518),51040342,R4049,White Goods/Domestic Appliances,786.45,29/06/2016,Resources,,,,
,,ARMADA COMPUTER PU,P-Card,,,2970.00,17/06/2016,,,,,
INSERTED DETAIL,228944,Arnold Lodge Prepcare Nursery,51038239,R6106,Private Providers - Early Years Funding,6576.18,20/06/2016,Communities,,,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),51025279,R3204,Home To School / College Transport,4665.00,16/06/2016,Communities,,,,
INSERTED DETAIL,200441,Arriva Midlands North Ltd (****4814),51046152,R5204,Concessionary Fares,5470.00,28/06/2016,Communities,,,,
INSERTED DETAIL,219768,Art of Brilliance Ltd,51028048,R1601,Training - External,1250.00,23/06/2016,Resources,,,,
INSERTED DETAIL,231195,Artistic Alchemy/ David R Cable,51023877,R2001,Buildings Maintenance,500.00,14/06/2016,Communities,,,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),51024127,R5604,Commissioned Works,32000.00,10/06/2016,Communities,,,,
INSERTED DETAIL,213431,Ash Green School & Arts College (Academy),51039264,R6107,SEN Statements Funding - Non-Maintained Schools,1596.00,15/06/2016,Communities,,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,51034570,C1030,"New Construction, Conversion & Renovation",1695.00,14/06/2016,Capital,,,,
INSERTED DETAIL,208346,Ashe Construction Ltd,51037765,C1030,"New Construction, Conversion & Renovation",182696.51,24/06/2016,Capital,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,51039296,R6107,SEN Statements Funding - Non-Maintained Schools,6281.00,15/06/2016,Communities,,,,
INSERTED DETAIL,209807,Ashlawn School Academy Trust,51044469,R5604,Commissioned Works,2160.00,27/06/2016,Communities,,,,
INSERTED DETAIL,200465,Ashleigh Nursery School,51038282,R6106,Private Providers - Early Years Funding,23911.23,20/06/2016,Communities,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51031532,R4058,Books,13173.40,01/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51019442,R4058,Books,612.36,03/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51019425,R4058,Books,692.40,03/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51019441,R4058,Books,672.99,03/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51019440,R4058,Books,783.79,03/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51034058,R4058,Books,4413.46,07/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51022385,R4058,Books,706.93,10/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51037779,R4058,Books,3853.46,13/06/2016,Resources,,,,
INSERTED DETAIL,200468,Askews And Holts Library Services Ltd.,51041053,R4058,Books,3034.26,20/06/2016,Resources,,,,
INSERTED DETAIL,226763,Aspect Care Home Ltd,51037092,R5806,Residential Care (Adults),2960.72,13/06/2016,People Group,,,,
INSERTED DETAIL,231163,Aspens Services Ltd,51026311,R4101,Beverages,6783.63,27/06/2016,Schools,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51017738,R1101,Agency Staff Pay,2298.00,02/06/2016,Schools,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51020942,R1101,Agency Staff Pay,1359.00,08/06/2016,Schools,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51021550,R1101,Agency Staff Pay,567.00,09/06/2016,Schools,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51024272,R1101,Agency Staff Pay,1198.00,15/06/2016,Schools,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51029899,R1101,Agency Staff Pay,1214.00,24/06/2016,Schools,,,,
INSERTED DETAIL,200472,Aspire People Ltd,51040796,R1101,Agency Staff Pay,1198.00,29/06/2016,Schools,,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,51026812,R4433,Sport Instruction,531.45,17/06/2016,Schools,,,,
INSERTED DETAIL,214538,Aspire Sports Health & Fitness Ltd,51029913,R4433,Sport Instruction,967.27,24/06/2016,Schools,,,,
INSERTED DETAIL,227903,Asset Utilities Ltd.,51037815,R2023,Mechanical (LM),2500.00,21/06/2016,Resources,,,,
INSERTED DETAIL,210825,ATG Access Ltd,51028234,R5702,Payments to External Contractors,1036.94,08/06/2016,Communities,,,,
INSERTED DETAIL,228384,Atherstone Pharma Ltd,51039418,R5702,Payments to External Contractors,740.32,17/06/2016,Communities,,,,
INSERTED DETAIL,208290,Atherstone Surgery (Dr Maher & Partners),51042381,R5702,Payments to External Contractors,1311.45,30/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51019451,R4409,Consultancy,1950.00,02/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51019448,R1101,Agency Staff Pay,7931.18,02/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51025329,R4409,Consultancy,5499.35,13/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51024751,C1050,External Fees,1796.00,13/06/2016,Capital,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51024755,C1050,External Fees,1407.00,13/06/2016,Capital,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51026000,R4512,Software,9226.00,15/06/2016,Fire and Rescue,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51043518,C1050,External Fees,69351.00,23/06/2016,Capital,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51030323,C1050,External Fees,14425.00,23/06/2016,Capital,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51035964,R1101,Agency Staff Pay,3671.97,24/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51033435,R1101,Agency Staff Pay,70770.71,28/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51033731,R1101,Agency Staff Pay,4345.92,28/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51033435,R3403,Casual User Mileage,551.88,28/06/2016,Communities,,,,
INSERTED DETAIL,200502,Atkins Ltd  t/a Faithful Gould,51043649,R1101,Agency Staff Pay,12056.85,29/06/2016,Resources,,,,
INSERTED DETAIL,200505,ATS Euromaster Ltd,51020325,R3001,Direct Vehicle Running Costs,7304.23,08/06/2016,Communities,,,,
INSERTED DETAIL,223862,Audley Care Ltd,51044252,R5805,Homecare - External Domiciliary (Adults),1194.76,24/06/2016,People Group,,,,
INSERTED DETAIL,223862,Audley Care Ltd,51044258,R5805,Homecare - External Domiciliary (Adults),1750.49,24/06/2016,People Group,,,,
INSERTED DETAIL,200516,Austrey Pre School,51038219,R6106,Private Providers - Early Years Funding,6177.44,20/06/2016,Communities,,,,
INSERTED DETAIL,200517,Autism Care UK,51041149,R5805,Homecare - External Domiciliary (Adults),1734.20,24/06/2016,People Group,,,,
INSERTED DETAIL,100007,Autism West Midlands,51037094,R5806,Residential Care (Adults),8219.88,13/06/2016,People Group,,,,
INSERTED DETAIL,100001,Autism West Midlands,51037095,R5806,Residential Care (Adults),4084.00,13/06/2016,People Group,,,,
INSERTED DETAIL,100008,Autism West Midlands,51037267,R5806,Residential Care (Adults),4072.80,13/06/2016,People Group,,,,
INSERTED DETAIL,200526,Avenue Lodge Guest House,51046981,R6104,Social Care - Section 17 Payments,1710.00,30/06/2016,People Group,,,,
