,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
INSERTED DETAIL,219686,(NFER)The National Foundation for Educational Research in England and Wales (****2060),51233425,R4056,SCHOOLS ONLY Learning Resources Curriculum,"1,299.92",20/06/2017,Schools
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51238241,R5806,Residential Care,"6,400.24",29/06/2017,People Group
INSERTED DETAIL,228690,3tc Software Ltd,51225793,R4506,IT Support & Maintenance,"5,755.00",29/06/2017,Fire and Rescue
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51223135,R5805,Homecare - External Domiciliary,"2,593.36",07/06/2017,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51218417,R5805,Homecare - External Domiciliary,"-2,593.36",07/06/2017,People Group
INSERTED DETAIL,219733,A Call to Men UK,51228154,R1601,Training,"5,500.00",07/06/2017,Communities
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51228520,R5848,Residential Care (Children),"15,000.00",14/06/2017,People Group
INSERTED DETAIL,200086,A Pargetter & Son Ltd,51220180,R4615,Coroner/Mortuary/Pathology Fees,500.00,16/06/2017,Other Services
INSERTED DETAIL,200114,Abacus Day Nursery,51235744,R6106,Early Years Funding (PVIs and LA),"8,122.28",26/06/2017,Communities
INSERTED DETAIL,200115,Abacus Pre-School Nursery Ltd,51235541,R6106,Early Years Funding (PVIs and LA),"5,965.80",26/06/2017,Communities
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51213586,R1601,Training,"1,150.00",02/06/2017,Fire and Rescue
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51216942,R1601,Training,"1,300.00",09/06/2017,Fire and Rescue
INSERTED DETAIL,231359,Abbey Offices Park Ltd,51228234,R5702,Payments to External Contractors,"2,080.00",15/06/2017,Communities
INSERTED DETAIL,200121,Abbey Preschool,51235621,R6106,Early Years Funding (PVIs and LA),"1,646.04",26/06/2017,Communities
INSERTED DETAIL,230978,Abbotswood Lodge Ltd,51238240,R5806,Residential Care,"1,772.52",29/06/2017,People Group
INSERTED DETAIL,201875,About Interiors Ltd t/a E & M Services,51217312,R2002,Building Maintenance,"1,320.00",09/06/2017,Communities
INSERTED DETAIL,201875,About Interiors Ltd t/a E & M Services,51222312,R2001,SCHOOLS ONLY Building Maintenance,"2,820.00",22/06/2017,Communities
INSERTED DETAIL,219926,Accessible Transport Group Ltd (ATG),51237507,R5704,Public Transport,"1,860.00",27/06/2017,Communities
INSERTED DETAIL,233478,Acorn Children's Home  Group Ltd,51226280,R5806,Residential Care,"16,285.71",01/06/2017,People Group
INSERTED DETAIL,233478,Acorn Children's Home  Group Ltd,51226554,R5806,Residential Care,"14,114.29",02/06/2017,People Group
INSERTED DETAIL,231875,Acorn House (Fostering Services) Ltd,51214424,R5822,Foster Care Payments - External Provision,"4,725.00",02/06/2017,People Group
