Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
228690,3tc Software Ltd,51392553,R4506,IT Support & Maintenance,"2,996.00",01/06/2018,Fire and Rescue
233676,4B Medical LLP,51396723,R4030,Materials,"1,737.00",13/06/2018,Fire and Rescue
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51402375,R5806,Residential Care,"16,607.13",29/06/2018,People Group
200114,Abacus Day Nursery,51412383,R6106,Early Years Funding (PVIs and LA),"19,081.17",29/06/2018,Communities
231359,Abbey Offices Park Ltd,51393619,R5702,Payments to External Contractors,"2,240.00",01/06/2018,Communities
236194,Absolute Translations Ltd,51403932,R4441,Professional Fees,898.00,06/06/2018,People Group
236194,Absolute Translations Ltd,51403928,R4441,Professional Fees,849.96,06/06/2018,People Group
200146,Acorn Wood Day Nursery,51412515,R6106,Early Years Funding (PVIs and LA),"31,771.15",29/06/2018,Communities
211087,Action Centres UK Ltd,51396361,R4915,Schools Specific - Other Expenditure,"3,549.33",08/06/2018,Schools
211087,Action Centres UK Ltd,51401559,R4607,Client Expenses,"4,538.33",19/06/2018,Schools
200168,ADCS / The Association of Directors of Children's Services Ltd,51396640,R4601,"Conferences, Staff Accommodation & Subsistence",780.00,22/06/2018,Other Services
200169,Addaction - Henley House,51398104,R5702,Payments to External Contractors,"2,565.00",15/06/2018,Communities
200169,Addaction - Henley House,51398099,R5702,Payments to External Contractors,"2,850.00",15/06/2018,Communities
200169,Addaction - Henley House,51401423,R5702,Payments to External Contractors,"20,762.01",22/06/2018,Communities
200169,Addaction - Henley House,51401347,R5702,Payments to External Contractors,"21,691.66",22/06/2018,Communities
200187,Advance Housing & Support Ltd,51397092,R5851,Supported Living,"1,620.00",12/06/2018,People Group
200187,Advance Housing & Support Ltd,51389892,R5851,Supported Living,"-1,224.96",12/06/2018,People Group
200187,Advance Housing & Support Ltd,51389893,R5851,Supported Living,-957.44,12/06/2018,People Group
200187,Advance Housing & Support Ltd,51389909,R5851,Supported Living,"-1,267.20",12/06/2018,People Group
226666,Advance Trust T/A The Kingfisher School,51402803,R6107,SEN Statements Funding,"2,369.23",08/06/2018,Communities
200191,Adventure Kit UK Ltd,51401497,R4008,Equipment,"1,048.00",22/06/2018,People Group
209397,AECOM Ltd,51396933,C1050,External Fees,"1,800.00",08/06/2018,Capital
209397,AECOM Ltd,51396938,C1050,External Fees,"4,785.50",08/06/2018,Capital
209397,AECOM Ltd,51412084,C1050,External Fees,"10,000.00",27/06/2018,Capital
234328,AFFPRO Solutions Ltd,51393642,R4409,Consultancy,"6,300.00",01/06/2018,People Group
234328,AFFPRO Solutions Ltd,51402993,R4409,Consultancy,"8,550.00",29/06/2018,People Group
200201,Age UK Warwickshire,51404189,R5807,Social Care Block Contracts,"7,583.33",08/06/2018,People Group
200201,Age UK Warwickshire,51404198,R5807,Social Care Block Contracts,"7,583.33",08/06/2018,People Group
200201,Age UK Warwickshire,51398866,R5807,Social Care Block Contracts,"1,907.69",15/06/2018,People Group
205948,Agile Applications Ltd,51393762,R4506,IT Support & Maintenance,"6,869.08",01/06/2018,Communities
,Ah Media Ltd,13085,,,885.00,05/06/2018,People Group
231993,Aim Educational Ltd,51393091,R6107,SEN Statements Funding,"1,680.00",01/06/2018,Communities
231993,Aim Educational Ltd,51396375,R5702,Payments to External Contractors,"9,400.00",08/06/2018,Communities
231993,Aim Educational Ltd,51398459,R5702,Payments to External Contractors,"4,680.00",15/06/2018,Communities
234227,Airedale International Air Conditioning Ltd,51408564,R2023,Property Services Mechanical (LM),"4,118.00",22/06/2018,Resources
208797,Alcester Academy (ACAD) School,51400565,R3204,Home To School / College Transport,675.00,01/06/2018,Communities
208797,Alcester Academy (ACAD) School,51405377,R4441,Professional Fees,500.00,13/06/2018,Communities
208797,Alcester Academy (ACAD) School,51409522,R6107,SEN Statements Funding,"5,645.00",19/06/2018,Communities
207814,Alcester Grammar School (Academy),51409492,R6107,SEN Statements Funding,"1,383.00",19/06/2018,Communities
200237,Alcester Nursery Studio,51412404,R6106,Early Years Funding (PVIs and LA),"26,315.73",29/06/2018,Communities
220516,Alere Ltd (****7108),51404540,R5702,Payments to External Contractors,"40,000.00",20/06/2018,Communities
212639,All About Holes Ltd,51398189,R1601,Training,690.00,15/06/2018,Communities
212639,All About Holes Ltd,51403632,R4441,Professional Fees,"1,932.65",29/06/2018,Communities
202796,All Blinds Ltd,51407999,R2022,Property Services Building (LB),682.16,29/06/2018,Resources
235897,All Saints Leek Wootton - Coventry Diocese MAT,51407905,R6109,Funding payment to Academies and Non WCC Schools,"75,067.32",18/06/2018,Schools
235897,All Saints Leek Wootton - Coventry Diocese MAT,51409476,R6107,SEN Statements Funding,"2,090.00",19/06/2018,Communities
207709,Allen Ford,51407005,R4030,Materials,761.32,22/06/2018,Communities
207709,Allen Ford,51407184,R4030,Materials,618.71,29/06/2018,Communities
999982,Allied Vehicles Ltd,51411699,R4607,Client Expenses,"4,795.00",27/06/2018,People Group
207773,Allstar Business Solutions Ltd,51403144,R3004,Repair & Maintenance Of Vehicles,"36,232.70",11/06/2018,Communities
200291,Alveston Cygnets,51412585,R6106,Early Years Funding (PVIs and LA),"14,873.07",29/06/2018,Communities
221048,Alzheimer's Society,51401529,R5807,Social Care Block Contracts,"55,885.50",22/06/2018,People Group
228595,Amelio Utilities (Gloucester) Ltd,51410053,R5702,Payments to External Contractors,"1,150.00",22/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51410264,R5702,Payments to External Contractors,"1,200.00",22/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51410263,R5702,Payments to External Contractors,"1,920.00",22/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51410052,R5702,Payments to External Contractors,770.00,22/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51411090,C1050,External Fees,"4,250.00",26/06/2018,Capital
228595,Amelio Utilities (Gloucester) Ltd,51411089,C1050,External Fees,"1,940.00",26/06/2018,Capital
228595,Amelio Utilities (Gloucester) Ltd,51411576,R5702,Payments to External Contractors,"3,040.00",27/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51411585,R5702,Payments to External Contractors,"1,520.00",27/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51411577,R5702,Payments to External Contractors,"4,560.00",27/06/2018,Communities
228595,Amelio Utilities (Gloucester) Ltd,51411580,R5702,Payments to External Contractors,"3,026.96",27/06/2018,Communities
235474,Ameo Professional Services Ltd,51394002,R4409,Consultancy,"19,000.00",01/06/2018,Other Services
200351,Angloco Ltd,51397814,R3004,Repair & Maintenance Of Vehicles,"2,300.97",15/06/2018,Fire and Rescue
210713,Apple Grove Day Nursery Ltd,51412598,R6106,Early Years Funding (PVIs and LA),"15,314.78",29/06/2018,Communities
200397,Apse,51402310,R1401,Professional Subscriptions,"2,050.00",29/06/2018,Resources
235309,Arc Electrical (Design and Installations) Ltd (****0168),51400601,R2002,Building Maintenance,"1,462.00",22/06/2018,Communities
235267,Archway Academy Ltd,51384654,R6107,SEN Statements Funding,"1,474.00",08/06/2018,Communities
235267,Archway Academy Ltd,51393505,R6107,SEN Statements Funding,"2,800.60",08/06/2018,Communities
235267,Archway Academy Ltd,51402203,R6107,SEN Statements Funding,"2,948.00",29/06/2018,Communities
200419,Arden Construction Ltd,51401580,R2022,Property Services Building (LB),"1,243.00",04/06/2018,Resources
200419,Arden Construction Ltd,51401550,C1050,External Fees,971.29,06/06/2018,Capital
200419,Arden Construction Ltd,51401578,C1030,"New Construction, Conversion & Renovation","131,160.28",06/06/2018,Capital
200419,Arden Construction Ltd,51409545,R2022,Property Services Building (LB),"4,587.18",21/06/2018,Resources
200419,Arden Construction Ltd,51409613,R2022,Property Services Building (LB),"15,866.50",29/06/2018,Resources
236288,Arden Fields School (Academy),51409114,R6107,SEN Statements Funding,"36,164.00",18/06/2018,Communities
226768,Arden Leisure Ltd t/a Studley Sports Centre,51407964,R2201,Rents & Lettings,"1,150.00",28/06/2018,Communities
200429,Argos Business Solutions Ltd (****9518),51393276,R4008,Equipment,-968.62,01/06/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51393278,R4008,Equipment,-968.62,01/06/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51393281,R4008,Equipment,968.62,01/06/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51393284,R4008,Equipment,"1,287.35",01/06/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51393285,R4008,Equipment,779.56,01/06/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51397018,R4008,Equipment,"1,330.24",14/06/2018,Resources
200429,Argos Business Solutions Ltd (****9518),51399451,R4008,Equipment,601.75,20/06/2018,Resources
233778,Arnold Plant Hire Ltd,51395420,R4008,Equipment,"4,305.80",01/06/2018,Communities
219768,Art of Brilliance Ltd,51403856,R1601,Training,"3,148.50",29/06/2018,Resources
213377,Ascentis,51395787,R4607,Client Expenses,600.00,08/06/2018,Communities
209807,Ashlawn School Academy Trust,51405454,R4441,Professional Fees,"2,000.00",13/06/2018,Communities
209807,Ashlawn School Academy Trust,51409462,R6107,SEN Statements Funding,"7,916.00",19/06/2018,Communities
200465,Ashleigh Nursery School,51412473,R6106,Early Years Funding (PVIs and LA),"28,400.58",29/06/2018,Communities
200468,Askews And Holts Library Services Ltd.,51399724,R4058,"Books, Newspapers & Publications",891.26,21/06/2018,Resources
200468,Askews And Holts Library Services Ltd.,51399723,R4058,"Books, Newspapers & Publications",718.18,21/06/2018,Resources
236105,Aspire Children Services,51398854,R5459,Leaving Care Accommodation,"2,011.96",13/06/2018,People Group
236105,Aspire Children Services,51398857,R5459,Leaving Care Accommodation,"2,086.48",13/06/2018,People Group
236105,Aspire Children Services,51398869,R5459,Leaving Care Accommodation,"1,266.79",13/06/2018,People Group
236105,Aspire Children Services,51404724,R5459,Leaving Care Accommodation,745.17,25/06/2018,People Group
236105,Aspire Children Services,51405840,R5459,Leaving Care Accommodation,"1,341.31",25/06/2018,People Group
200472,Aspire People Ltd,51393562,R1101,Agency Staff Pay,966.00,01/06/2018,Schools
200472,Aspire People Ltd,51393583,R1101,Agency Staff Pay,"2,378.00",01/06/2018,Schools
200472,Aspire People Ltd,51393582,R1101,Agency Staff Pay,"2,864.63",01/06/2018,Schools
200472,Aspire People Ltd,51393562,R1101,Agency Staff Pay,567.00,01/06/2018,Schools
200472,Aspire People Ltd,51394177,R1101,Agency Staff Pay,679.00,01/06/2018,Schools
