Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
200003,1spatial Group Ltd,50772252,R4005,Data Equipment,7600,18/03/2015,Resources
224477,1st Class School Improvement Ltd,50800581,R5604,Commissioned Works,5250,31/03/2015,People Group
227230,A & A Lamb Ltd,50758996,C1030,"New Construction, Conversion & Renovation",4655.45,17/03/2015,Capital
215193,A & C Mealing,50790784,R4402,Artists Fees,650,26/03/2015,Resources
223628,A and K Home Care Services Ltd,50780344,R5805,Homecare - External Domiciliary (Adults),1344,18/03/2015,People Group
223628,A and K Home Care Services Ltd,50780353,R5805,Homecare - External Domiciliary (Adults),784,18/03/2015,People Group
223628,A and K Home Care Services Ltd,50780343,R5805,Homecare - External Domiciliary (Adults),560,18/03/2015,People Group
223628,A and K Home Care Services Ltd,50780345,R5805,Homecare - External Domiciliary (Adults),560,18/03/2015,People Group
223628,A and K Home Care Services Ltd,50780346,R5805,Homecare - External Domiciliary (Adults),912,18/03/2015,People Group
223628,A and K Home Care Services Ltd,50780347,R5805,Homecare - External Domiciliary (Adults),896,18/03/2015,People Group
223628,A and K Home Care Services Ltd,50788995,R5805,Homecare - External Domiciliary (Adults),2464,25/03/2015,People Group
223628,A and K Home Care Services Ltd,50799255,R5805,Homecare - External Domiciliary (Adults),1224,27/03/2015,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50799193,R5848,Residential Care (Children),15000,31/03/2015,People Group
200102,A.S. Wilkes Services,50791659,R2752,Grounds Maintenance Contract,3300,25/03/2015,Communities
216128,A.S.K. Development (N. Wales) Ltd,50799274,R2003,Devolved Maintenance (Via Local),8109.02,30/03/2015,People Group
200513,AAC Consultancy Ltd,50793040,R5604,Commissioned Works,1595,23/03/2015,People Group
200114,Abacus Day Nursery,50775577,R6106,Private Providers - Early Years Funding,4277.61,16/03/2015,People Group
200114,Abacus Day Nursery,50789220,R6106,Private Providers - Early Years Funding,1796.85,23/03/2015,People Group
227305,Abacus Fostering Ltd,50765766,R5822,Foster Care Payments - External,3452.07,09/03/2015,People Group
200115,Abacus Pre-School Nursery Ltd,50775578,R6106,Private Providers - Early Years Funding,2270.58,16/03/2015,People Group
200115,Abacus Pre-School Nursery Ltd,50789221,R6106,Private Providers - Early Years Funding,517.27,23/03/2015,People Group
221450,Abbey Fire (UK) Ltd,50768328,R2007,Health & Safety Contracts/Services,1680,06/03/2015,People Group
221450,Abbey Fire (UK) Ltd,50793701,R2023,Mechanical (LM),676.55,25/03/2015,Resources
200121,Abbey Preschool,50775579,R6106,Private Providers - Early Years Funding,1636.2,16/03/2015,People Group
223033,ABC Fostering Services Ltd,50762257,R5822,Foster Care Payments - External,3447.64,02/03/2015,People Group
223033,ABC Fostering Services Ltd,50762258,R5822,Foster Care Payments - External,3314.79,02/03/2015,People Group
