,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
INSERTED DETAIL,219686,(NFER)The National Foundation for Educational Research in England and Wales (****2060),50978862,R4052,Equipment Curriculum,712.84,24/03/2016,Schools
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50992924,R5806,Residential Care (Adults),2916.44,21/03/2016,People Group
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50991650,R5604,Commissioned Works,4000.00,18/03/2016,People Group
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50991602,R5604,Commissioned Works,6375.00,18/03/2016,People Group
INSERTED DETAIL,200013,2simple Software Ltd,50979400,R4512,Software,20000.00,10/03/2016,Resources
INSERTED DETAIL,200014,3P Learning Ltd,50985144,R4056,Learning Resources Curriculum,675.00,14/03/2016,Schools
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50966037,R5805,Homecare - External Domiciliary (Adults),560.00,04/03/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50966046,R5805,Homecare - External Domiciliary (Adults),1360.00,04/03/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50975879,R5805,Homecare - External Domiciliary (Adults),2096.00,18/03/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50988966,R5805,Homecare - External Domiciliary (Adults),560.00,18/03/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50988955,R5805,Homecare - External Domiciliary (Adults),672.00,18/03/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50988950,R5805,Homecare - External Domiciliary (Adults),672.00,18/03/2016,People Group
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50988976,R5805,Homecare - External Domiciliary (Adults),896.00,18/03/2016,People Group
INSERTED DETAIL,200044,A E Bennett & Sons,50976413,R4615,Mortuary/Pathology Expenses,904.15,04/03/2016,Other Services
INSERTED DETAIL,227305,Abacus Fostering Ltd,50975621,R5822,Foster Care Payments - External,3452.07,23/03/2016,People Group
INSERTED DETAIL,227305,Abacus Fostering Ltd,50975625,R5822,Foster Care Payments - External,3340.71,23/03/2016,People Group
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50971268,C1030,"New Construction, Conversion & Renovation",647.16,16/03/2016,Capital
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50968367,R5822,Foster Care Payments - External,3314.79,10/03/2016,People Group
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50980420,R5822,Foster Care Payments - External,3314.79,11/03/2016,People Group
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50975352,R5822,Foster Care Payments - External,3314.79,23/03/2016,People Group
INSERTED DETAIL,209852,ABC Teachers Ltd,50969758,R1101,Agency Staff Pay,1365.00,11/03/2016,Schools
INSERTED DETAIL,209852,ABC Teachers Ltd,50975678,R1101,Agency Staff Pay,780.00,24/03/2016,Schools
INSERTED DETAIL,224722,Access Intelligence Media & Communications Ltd,50979688,R4512,Software,8500.00,30/03/2016,Resources
INSERTED DETAIL,208544,Achievement for All (3As) Ltd,50967798,R4443,Professional Fees Admin,3400.00,09/03/2016,Schools
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50969422,R6107,SEN Statements Funding - Non-Maintained Schools,6666.67,02/03/2016,People Group
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50971321,R6107,SEN Statements Funding - Non-Maintained Schools,5066.67,02/03/2016,People Group
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50977322,R6107,SEN Statements Funding - Non-Maintained Schools,11933.34,18/03/2016,People Group
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50978374,R6107,SEN Statements Funding - Non-Maintained Schools,11197.34,18/03/2016,People Group
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50978363,R6107,SEN Statements Funding - Non-Maintained Schools,5066.67,18/03/2016,People Group
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50977319,R6107,SEN Statements Funding - Non-Maintained Schools,11933.33,18/03/2016,People Group
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50962920,R5822,Foster Care Payments - External,3542.86,03/03/2016,People Group
