Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
200003,1spatial Group Ltd,51489805,R4512,Software,"£4,808.60",13/03/2019,People Group
999982,2nd Whitnash Brownies,51505939,R5501,Grants / Donations to External Organisations,£600.00,26/03/2019,Communities
200013,2simple Software Ltd,51492208,R4512,Software,"£48,300.00",20/03/2019,Resources
233676,4B Medical LLP,51492020,R4030,Materials,"£1,162.00",20/03/2019,Fire and Rescue
999982,4th Whitnash Guides,51505943,R5501,Grants / Donations to External Organisations,£600.00,26/03/2019,Communities
999982,A Band of Brothers,51505945,R5501,Grants / Donations to External Organisations,"£2,000.00",26/03/2019,Communities
,A E Art,10302,,,"£1,275.00",26/03/2019,Resources
200114,Abacus Day Nursery,51494761,R6106,Early Years Funding (PVIs and LA),"£1,832.98",01/03/2019,Communities
223099,Abacus Training Centre Ltd,51488933,R1601,Training,£575.00,13/03/2019,Fire and Rescue
223099,Abacus Training Centre Ltd,51488926,R1601,Training,£575.00,13/03/2019,Fire and Rescue
223099,Abacus Training Centre Ltd,51488928,R1601,Training,£575.00,13/03/2019,Fire and Rescue
223099,Abacus Training Centre Ltd,51488935,R1601,Training,"£6,175.00",13/03/2019,Fire and Rescue
223099,Abacus Training Centre Ltd,51492652,R1601,Training,£575.00,21/03/2019,Fire and Rescue
223099,Abacus Training Centre Ltd,51492655,R1601,Training,£575.00,21/03/2019,Fire and Rescue
221450,Abbey Fire (UK) Ltd,51491426,R2023,Property Services Mechanical (LM),£546.35,08/03/2019,Resources
221450,Abbey Fire (UK) Ltd,51491458,R2023,Property Services Mechanical (LM),£797.00,08/03/2019,Resources
221450,Abbey Fire (UK) Ltd,51492714,R2023,Property Services Mechanical (LM),£614.90,15/03/2019,Resources
231359,Abbey Offices Park Ltd,51486747,R4015,Equipment Repair & Maintenance,"£2,270.00",06/03/2019,Communities
231359,Abbey Offices Park Ltd,51486742,R4015,Equipment Repair & Maintenance,£824.00,06/03/2019,Communities
,Aberconwy Car And Van,43403,,,"£1,008.90",06/03/2019,Communities
,Aberconwy Car And Van,43411,,,£539.63,06/03/2019,Communities
201875,About Interiors Ltd t/a E & M Services,51487067,R2002,Building Maintenance,"£1,570.00",07/03/2019,Communities
201875,About Interiors Ltd t/a E & M Services,51487068,R2002,Building Maintenance,£755.00,07/03/2019,Communities
236194,Absolute Translations Ltd,51486255,R5702,Payments to External Contractors,£708.63,01/03/2019,Communities
236194,Absolute Translations Ltd,51505712,R4441,Professional Fees,"£1,259.95",26/03/2019,People Group
236194,Absolute Translations Ltd,51505704,R4441,Professional Fees,"£1,839.91",26/03/2019,People Group
219926,Accessible Transport Group Ltd (ATG),51505621,R5704,Public Transport,"£3,910.00",26/03/2019,Communities
,Acp*yha Exclusive Hire,50421,,,£732.00,25/03/2019,People Group
200150,Act On Energy,51496758,R4409,Consultancy,"£4,995.75",22/03/2019,Resources
,Acting Returning Officer - Stratford on Avon DC,,R5203,Payments/Contributions to Public Sector Organisations,"£11,886.54",08/03/2019,Resources
211087,Action Centres UK Ltd,51500635,R1601,Training,"£2,705.25",22/03/2019,People Group
215891,Action For Children (****6746),51485628,R5806,Residential Care,"£50,625.00",01/03/2019,People Group
215891,Action For Children (****6746),51496177,R5806,Residential Care,"£50,625.00",29/03/2019,People Group
220313,Adana Management Group Ltd,51486272,R1101,Agency Staff Pay,"£2,376.15",06/03/2019,Resources
237834,A-Day Consultants Ltd t/a Academics,51490675,R1101,Agency Staff Pay,"£1,100.00",14/03/2019,Schools
237834,A-Day Consultants Ltd t/a Academics,51490678,R1101,Agency Staff Pay,£975.00,14/03/2019,Schools
237834,A-Day Consultants Ltd t/a Academics,51493003,R1101,Agency Staff Pay,£780.00,20/03/2019,Schools
200169,Addaction - Henley House,51485907,R5702,Payments to External Contractors,"£35,720.44",01/03/2019,Communities
200169,Addaction - Henley House,51496734,R5702,Payments to External Contractors,"£17,819.91",29/03/2019,Communities
231022,Addleshaw Goddard LLP,51493794,R4441,Professional Fees,"£6,000.00",22/03/2019,Resources
200188,Advanced Health & Care Ltd,51489049,R4409,Consultancy,£904.00,13/03/2019,People Group
200188,Advanced Health & Care Ltd,51502674,R4513,Telephones & Broadband,£928.00,22/03/2019,People Group
230962,Advocate Services,51503119,R4441,Professional Fees,£663.90,19/03/2019,People Group
229959,AE Fisheries,51489502,R2751,Grounds Maintenance,"£2,085.00",15/03/2019,Communities
209397,AECOM Ltd,51484849,R4409,Consultancy,"£50,000.00",01/03/2019,Communities
209397,AECOM Ltd,51490819,C1050,External Fees,"£47,919.15",15/03/2019,Capital
209397,AECOM Ltd,51494345,R4409,Consultancy,"£50,973.86",22/03/2019,Communities
209397,AECOM Ltd,51496207,R4409,Consultancy,"£31,498.87",29/03/2019,Communities
234328,AFFPRO Solutions Ltd,51487110,R4409,Consultancy,"£9,450.00",07/03/2019,People Group
200201,Age UK Warwickshire,51494348,R5807,Social Care Block Contracts,"£4,615.00",01/03/2019,People Group
