Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
224477,1st Class School Improvement Ltd,50587561,R5604,Commissioned Works,6000,09/05/2014,People Group
208371,201 Capital Bank Leasing Ltd (Bank of Scotland),50568636,R99C4,Operating Leases,28785.27,09/05/2014,Other Services
208371,201 Capital Bank Leasing Ltd (Bank of Scotland),50568635,R99C4,Operating Leases,1757.16,09/05/2014,Other Services
221093,24x7 Taxis,50599108,R3204,Home To School / College Transport,1169.55,29/05/2014,Communities
221093,24x7 Taxis,50599092,R3204,Home To School / College Transport,798.36,29/05/2014,Communities
221093,24x7 Taxis,50599098,R3204,Home To School / College Transport,629.2,29/05/2014,Communities
221093,24x7 Taxis,50599105,R3204,Home To School / College Transport,867.35,29/05/2014,Communities
221093,24x7 Taxis,50599084,R3204,Home To School / College Transport,514.2,29/05/2014,Communities
221093,24x7 Taxis,50599083,R3204,Home To School / College Transport,1320,29/05/2014,Communities
221093,24x7 Taxis,50599087,R3204,Home To School / College Transport,888,29/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591939,R3204,Home To School / College Transport,1500,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591931,R3204,Home To School / College Transport,553.56,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591933,R3204,Home To School / College Transport,738,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591940,R3204,Home To School / College Transport,922.5,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591936,R3204,Home To School / College Transport,948.36,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591929,R3204,Home To School / College Transport,1574.4,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591926,R3204,Home To School / College Transport,2140.13,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591925,R3204,Home To School / College Transport,627.36,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591923,R3204,Home To School / College Transport,665,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591922,R3204,Home To School / College Transport,600,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591921,R3202,Car Hire,2044.98,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591920,R3204,Home To School / College Transport,1089.2,14/05/2014,Communities
200021,A 2 B Taxis and Contract Ltd,50591906,R3204,Home To School / College Transport,1420.68,14/05/2014,Communities
223628,A and K Home Care Services Ltd,50585246,R5805,Homecare - External Domiciliary (Adults),672,06/05/2014,People Group
223628,A and K Home Care Services Ltd,50584288,R5805,Homecare - External Domiciliary (Adults),2464,14/05/2014,People Group
223628,A and K Home Care Services Ltd,50584309,R5805,Homecare - External Domiciliary (Adults),2016,14/05/2014,People Group
223628,A and K Home Care Services Ltd,50584311,R5805,Homecare - External Domiciliary (Adults),736,14/05/2014,People Group
200252,A Line Coaches,50591851,R3204,Home To School / College Transport,1690.8,14/05/2014,Communities
200252,A Line Coaches,50591843,R3204,Home To School / College Transport,2437.68,14/05/2014,Communities
200252,A Line Coaches,50591841,R3204,Home To School / College Transport,780,14/05/2014,Communities
200252,A Line Coaches,50591839,R3204,Home To School / College Transport,1775.88,14/05/2014,Communities
200252,A Line Coaches,50591827,R3204,Home To School / College Transport,3230.16,14/05/2014,Communities
200252,A Line Coaches,50591826,R3204,Home To School / College Transport,2253.72,14/05/2014,Communities
200252,A Line Coaches,50591819,R3204,Home To School / College Transport,1798.56,14/05/2014,Communities
200252,A Line Coaches,50591862,R3204,Home To School / College Transport,1514.64,14/05/2014,Communities
200252,A Line Coaches,50591840,R3204,Home To School / College Transport,3176.16,14/05/2014,Communities
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50600949,R5848,Residential Care (Children),15000,30/05/2014,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50600942,R5848,Residential Care (Children),15000,30/05/2014,People Group
