,Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,
INSERTED DETAIL,208371,201 Capital Bank Leasing Ltd (Bank of Scotland),50805994,R99C4,Operating Leases,1757.16,08/05/2015,Other Services,,,,
INSERTED DETAIL,208371,201 Capital Bank Leasing Ltd (Bank of Scotland),50805993,R99C4,Operating Leases,28785.27,08/05/2015,Other Services,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50822582,R5805,Homecare - External Domiciliary (Adults),736.00,13/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50818033,R5805,Homecare - External Domiciliary (Adults),928.00,13/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50818032,R5805,Homecare - External Domiciliary (Adults),560.00,13/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50818031,R5805,Homecare - External Domiciliary (Adults),1344.00,13/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50818030,R5805,Homecare - External Domiciliary (Adults),560.00,13/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50828839,R5805,Homecare - External Domiciliary (Adults),1008.00,26/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50828841,R5805,Homecare - External Domiciliary (Adults),896.00,26/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50828840,R5805,Homecare - External Domiciliary (Adults),528.00,26/05/2015,People Group,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50830669,R5805,Homecare - External Domiciliary (Adults),896.00,29/05/2015,People Group,,,,
INSERTED DETAIL,200044,A E Bennett & Sons,50815984,R4615,Mortuary/Pathology Expenses,1171.79,01/05/2015,Other Services,,,,
INSERTED DETAIL,228214,A3 Training Ltd,50812601,R1601,Training - External,4265.00,22/05/2015,Resources,,,,
INSERTED DETAIL,222212,Aa Rx Ltd T/A Grendon Pharmacy,50826171,R5702,Payments to External Contractors,603.10,19/05/2015,Communities,,,,
INSERTED DETAIL,210116,AAI Sports Ltd T/A The Sports Connexion,50820831,R4612,Projects,551.25,12/05/2015,People Group,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50817383,R2007,Health & Safety Contracts/Services,2100.00,22/05/2015,Resources,,,,
,,ABILITY DRIVING ACADEM,P-Card,,,"1,000.00",15/05/2015,,,,,
INSERTED DETAIL,221156,ABW (CA) Ltd,50826128,R5702,Payments to External Contractors,887.34,19/05/2015,Communities,,,,
INSERTED DETAIL,209459,Acas,50822020,R1601,Training - External,1520.00,13/05/2015,Resources,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50826592,R5822,Foster Care Payments - External,1179.75,19/05/2015,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50826757,R5822,Foster Care Payments - External,3217.50,20/05/2015,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50827266,R5822,Foster Care Payments - External,2145.71,22/05/2015,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50827546,R5822,Foster Care Payments - External,3609.29,22/05/2015,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50827636,R5822,Foster Care Payments - External,3407.14,22/05/2015,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50825394,R5822,Foster Care Payments - External,3428.57,29/05/2015,People Group,,,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50825395,R5822,Foster Care Payments - External,3217.50,29/05/2015,People Group,,,,
