"setparameter select to_char(sysdate,'DD/MM/YYYY' ) as today from dual ",,,,,,,,,,,,,
,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,51023185,R5806,Residential Care (Adults),2916.44,16/05/2016,People Group,,,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,51028918,R5604,Commissioned Works,2500.00,26/05/2016,People Group,,,,,
INSERTED DETAIL,229769,1st Planner Ltd,51014527,R4409,Consultancy,3700.00,04/05/2016,People Group,,,,,
INSERTED DETAIL,227908,2 Wheels Only Ltd,51003054,R4018,Equipment Repair & Maintenance,591.25,06/05/2016,People Group,,,,,
INSERTED DETAIL,228690,3tc Software Ltd,51008772,R4506,IT Support & Maintenance,5600.00,13/05/2016,Fire and Rescue,,,,,
INSERTED DETAIL,200017,90-One Education,51024120,R5604,Commissioned Works,2100.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51009382,R5805,Homecare - External Domiciliary (Adults),512.00,06/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51009591,R5805,Homecare - External Domiciliary (Adults),1120.00,05/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51015523,R5805,Homecare - External Domiciliary (Adults),896.00,13/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51015528,R5805,Homecare - External Domiciliary (Adults),896.00,13/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51015536,R5805,Homecare - External Domiciliary (Adults),2400.00,13/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51015541,R5805,Homecare - External Domiciliary (Adults),896.00,13/05/2016,People Group,,,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,51015544,R5805,Homecare - External Domiciliary (Adults),560.00,13/05/2016,People Group,,,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51003099,R5848,Residential Care (Children),7500.00,06/05/2016,People Group,,,,,
INSERTED DETAIL,223099,Abacus Training Centre Ltd,51010675,R1601,Training - External,2920.00,13/05/2016,Fire and Rescue,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,51010969,R2023,Mechanical (LM),645.80,18/05/2016,Resources,,,,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,51010979,R2023,Mechanical (LM),721.45,18/05/2016,Resources,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,51008560,R1101,Agency Staff Pay,1755.00,12/05/2016,Schools,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,51013917,R1101,Agency Staff Pay,1170.00,20/05/2016,Schools,,,,,
INSERTED DETAIL,209852,ABC Teachers Ltd,51015461,R1101,Agency Staff Pay,1069.99,27/05/2016,Schools,,,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51016056,R5818,Community Services External,4613.51,09/05/2016,People Group,,,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51016062,R5818,Community Services External,4360.51,09/05/2016,People Group,,,,,
INSERTED DETAIL,201709,About Me Care and Support Ltd,51020026,R5818,Community Services External,4296.29,16/05/2016,People Group,,,,,
INSERTED DETAIL,221156,ABW (CA) Ltd,51024831,R5702,Payments to External Contractors,613.16,19/05/2016,Communities,,,,,
INSERTED DETAIL,208057,Access Control Solutions (UK) Ltd,51011108,R2001,Buildings Maintenance,880.00,13/05/2016,Schools,,,,,
INSERTED DETAIL,208345,ACM Management Solutions Ltd,51022679,C1030,"New Construction, Conversion & Renovation",900.00,19/05/2016,Capital,,,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,51005671,R5706,Payments to Third Parties - Recoverable Operating Expenditure,2918.93,12/05/2016,Communities,,,,,
INSERTED DETAIL,200145,Acorn Tree Surgery Ltd,51005689,R5706,Payments to Third Parties - Recoverable Operating Expenditure,4382.33,12/05/2016,Communities,,,,,
INSERTED DETAIL,200152,Action 21,51025327,R5207,Re-useable Credits,1985.63,19/05/2016,Communities,,,,,
INSERTED DETAIL,215891,Action For Children (****6746),51015264,R5203,Inter Authority Payments,1833.00,06/05/2016,People Group,,,,,
INSERTED DETAIL,215891,Action For Children (****6746),51015862,R5848,Residential Care (Children),50625.00,09/05/2016,People Group,,,,,
INSERTED DETAIL,228784,Active Informatics Ltd,51026683,R5702,Payments to External Contractors,7420.00,26/05/2016,Communities,,,,,
INSERTED DETAIL,200157,Active Mind Solutions,51014077,R4512,Software,2592.00,06/05/2016,Resources,,,,,
INSERTED DETAIL,209747,Adare Ltd,51020398,R4317,Print Operational Costs,3876.02,11/05/2016,Resources,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51025258,R5702,Payments to External Contractors,24480.58,18/05/2016,Communities,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51025505,R5702,Payments to External Contractors,284436.60,19/05/2016,Communities,,,,,
INSERTED DETAIL,200169,Addaction - Henley House,51026329,R5702,Payments to External Contractors,284436.60,27/05/2016,Communities,,,,,
INSERTED DETAIL,231022,Addleshaw Goddard LLP,51015013,R4443,Professional Fees Admin,15000.00,09/05/2016,Resources,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51023190,R5806,Residential Care (Adults),-3164.00,16/05/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51023190,R5806,Residential Care (Adults),2840.00,16/05/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51023190,R5806,Residential Care (Adults),2735.73,16/05/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51023190,R5806,Residential Care (Adults),1668.44,16/05/2016,People Group,,,,,
INSERTED DETAIL,229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51023190,R5806,Residential Care (Adults),1887.16,16/05/2016,People Group,,,,,
INSERTED DETAIL,200184,ADT Fire and Security Plc,51017106,R2024,Electrical (LE),2079.38,11/05/2016,Resources,,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50987262,R6107,SEN Statements Funding - Non-Maintained Schools,-3231.00,09/05/2016,People Group,,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,50987276,R6107,SEN Statements Funding - Non-Maintained Schools,1292.31,09/05/2016,People Group,,,,,
INSERTED DETAIL,223797,Advance Trust T/A Vale of Evesham School,51020300,R6107,SEN Statements Funding - Non-Maintained Schools,1938.69,09/05/2016,People Group,,,,,
INSERTED DETAIL,100301,ADVENT ESTATES LIMITED T/A Kilsby House,51023336,R5806,Residential Care (Adults),3846.96,16/05/2016,People Group,,,,,
INSERTED DETAIL,216354,After Adoption,51007786,R5854,Reimbursement of 3rd Party Expenditure,5141.60,11/05/2016,People Group,,,,,
INSERTED DETAIL,216354,After Adoption,51016640,R5802,Substitute Care,12138.00,27/05/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51014470,R5809,Adult Social Care Contracts,7109.00,05/05/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51014501,R5809,Adult Social Care Contracts,14218.00,05/05/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51022072,R5702,Payments to External Contractors,3585.33,13/05/2016,Communities,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51022077,R5702,Payments to External Contractors,1792.67,13/05/2016,Communities,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51022113,R5807,SLA Social Care Provision,4615.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51022118,R5807,SLA Social Care Provision,4615.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,200201,Age UK - Warks,51022119,R5807,SLA Social Care Provision,1846.00,20/05/2016,People Group,,,,,
INSERTED DETAIL,225383,Alan Hornsby Crane Hire,51012913,R5706,Payments to Third Parties - Recoverable Operating Expenditure,600.00,25/05/2016,Communities,,,,,
INSERTED DETAIL,225383,Alan Hornsby Crane Hire,51025827,R5706,Payments to Third Parties - Recoverable Operating Expenditure,1140.00,27/05/2016,Communities,,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51023192,R5806,Residential Care (Adults),3842.40,16/05/2016,People Group,,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51023192,R5806,Residential Care (Adults),2526.52,16/05/2016,People Group,,,,,
INSERTED DETAIL,100245,Albemarle Rest Home Ltd,51023192,R5806,Residential Care (Adults),578.57,16/05/2016,People Group,,,,,
INSERTED DETAIL,100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51023484,R5806,Residential Care (Adults),1849.96,16/05/2016,People Group,,,,,
