Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
228843,1st Care Ltd t/a Acorn Care Home,51220885,R5806,Residential Care,6400.23,24/05/2017,People Group
200013,2simple Software Ltd,51203412,R4056,SCHOOLS ONLY Learning Resources Curriculum,675,12/05/2017,Schools
233676,4B Medical LLP,51203953,R4441,Professional Fees,874.5,12/05/2017,Fire and Rescue
223628,A and K Home Care Services Ltd,51208955,R5805,Homecare - External Domiciliary,925.12,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208957,R5805,Homecare - External Domiciliary,578.2,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208958,R5805,Homecare - External Domiciliary,1850.24,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208960,R5805,Homecare - External Domiciliary,2593.36,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208951,R5805,Homecare - External Domiciliary,644.28,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208950,R5805,Homecare - External Domiciliary,925.12,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208948,R5805,Homecare - External Domiciliary,925.12,11/05/2017,People Group
223628,A and K Home Care Services Ltd,51208954,R5805,Homecare - External Domiciliary,925.12,11/05/2017,People Group
223099,Abacus Training Centre Ltd,51198892,R1601,Training,925,05/05/2017,Fire and Rescue
223099,Abacus Training Centre Ltd,51204803,R1601,Training,2336,19/05/2017,Fire and Rescue
223099,Abacus Training Centre Ltd,51206984,R1601,Training,1375,24/05/2017,Fire and Rescue
223099,Abacus Training Centre Ltd,51204531,R4008,Equipment,684.95,26/05/2017,Fire and Rescue
231359,Abbey Offices Park Ltd,51204723,R5702,Payments to External Contractors,2080,12/05/2017,Communities
230978,Abbotswood Lodge Ltd,51220884,R5806,Residential Care,1772.52,24/05/2017,People Group
209852,ABC Teachers Ltd,51201096,R1101,Agency Staff Pay,1210.26,05/05/2017,Schools
209852,ABC Teachers Ltd,51201104,R1101,Agency Staff Pay,1164.99,05/05/2017,Schools
209852,ABC Teachers Ltd,51209590,R1101,Agency Staff Pay,758.07,26/05/2017,Schools
201875,About Interiors Ltd t/a E & M Services,51198831,R2001,SCHOOLS ONLY Building Maintenance,14695,05/05/2017,Communities
233538,Academy Board Bank Ltd,51197155,R1101,Agency Staff Pay,12500,03/05/2017,Communities
233391,Access With Choice Ltd,51204724,R5459,Leaving Care Accommodation,3936.48,05/05/2017,People Group
219926,Accessible Transport Group Ltd (ATG),51222513,R5704,Public Transport,1860,25/05/2017,Communities
200142,Acorn Fostering Services Ltd,51219602,R5822,Foster Care Payments - External Provision,3454.29,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219605,R5822,Foster Care Payments - External Provision,-1769.71,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219606,R5822,Foster Care Payments - External Provision,3365.72,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51220044,R5822,Foster Care Payments - External Provision,-4410,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219601,R5822,Foster Care Payments - External Provision,3365.72,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219600,R5822,Foster Care Payments - External Provision,3454.29,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219598,R5822,Foster Care Payments - External Provision,3454.29,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219599,R5822,Foster Care Payments - External Provision,3258.97,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219596,R5822,Foster Care Payments - External Provision,3365.72,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219595,R5822,Foster Care Payments - External Provision,3257.14,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219594,R5822,Foster Care Payments - External Provision,3056.62,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219592,R5822,Foster Care Payments - External Provision,3120,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219591,R5822,Foster Care Payments - External Provision,2943.59,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219590,R5822,Foster Care Payments - External Provision,3040,19/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219608,R5822,Foster Care Payments - External Provision,3258.97,22/05/2017,People Group
200142,Acorn Fostering Services Ltd,51219597,R5822,Foster Care Payments - External Provision,3258.97,22/05/2017,People Group
200142,Acorn Fostering Services Ltd,51223220,R5822,Foster Care Payments - External Provision,-4882.5,25/05/2017,People Group
200152,Action 21,51201741,R5207,Re-useable Credits,2680.27,05/05/2017,Communities
211087,Action Centres Uk Ltd,51215697,R4915,SCHOOLS ONLY Educational Visits Expenditure,3968.67,24/05/2017,Schools
215891,Action For Children (****6746),51214722,R5203,Payments / Contributions to Public Sector Organisations,1833,09/05/2017,People Group
215891,Action For Children (****6746),51210830,R5848,Residential Care (Children),50625,26/05/2017,People Group
228784,Active Informatics Ltd,51208656,R5702,Payments to External Contractors,7865.2,26/05/2017,Communities
200157,Active Mind Solutions,51204543,R4512,Software,2592,05/05/2017,Resources
200158,Active8 Sports,51198870,R4442,SCHOOLS ONLY Professional Fees Curriculum,1792,05/05/2017,Schools
200158,Active8 Sports,51198867,R4433,SCHOOLS ONLY Sport Instruction,3000,05/05/2017,Schools
200158,Active8 Sports,51198866,R4442,SCHOOLS ONLY Professional Fees Curriculum,1064,05/05/2017,Schools
220313,Adana Management Group Ltd,51198864,R1101,Agency Staff Pay,2499.52,05/05/2017,Resources
200168,ADCS / The Association of Directors of Children's Services Ltd,51206286,R4601,"Conferences, Staff Accommodation & Subsistence",780,19/05/2017,Other Services
