Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
208079,123 Comms Ltd t/a ParentMail,51383572,R4440,For use by schools only - Admin Contracts,"2,337.00",04/05/2018,Schools
223628,A and K Home Care Services Ltd,51392590,R5805,Homecare - External Domiciliary,"1,005.76",09/05/2018,People Group
223628,A and K Home Care Services Ltd,51391432,R5805,Homecare - External Domiciliary,"-3,514.56",09/05/2018,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51391802,R5806,Residential Care,"16,071.42",30/05/2018,People Group
223099,Abacus Training Centre Ltd,51382544,R1601,Training,"5,225.00",04/05/2018,Fire and Rescue
231359,Abbey Offices Park Ltd,51382093,R5702,Payments to External Contractors,"2,240.00",04/05/2018,Communities
219926,Accessible Transport Group Ltd (ATG),51398826,R5704,Public Transport,"4,290.00",21/05/2018,Communities
208345,ACM Management Solutions Ltd,51393659,C1050,External Fees,980,08/05/2018,Capital
200146,Acorn Wood Day Nursery,51398963,R5702,Payments to External Contractors,"5,345.00",21/05/2018,Communities
200148,Acs Ltd,51383543,R4503,Hardware,"3,943.00",10/05/2018,Resources
200148,Acs Ltd,51383539,R4503,Hardware,"1,026.95",10/05/2018,Resources
215891,Action For Children (****6746),51392361,R5806,Residential Care,"50,625.00",31/05/2018,People Group
235657,Activate Learning,51365140,R5702,Payments to External Contractors,"4,766.00",17/05/2018,Communities
228784,Active Informatics Ltd,51389285,R4512,Software,"8,337.11",24/05/2018,Communities
220313,Adana Management Group Ltd,51381769,R1101,Agency Staff Pay,"2,225.25",02/05/2018,Resources
220313,Adana Management Group Ltd,51392363,R1101,Agency Staff Pay,"2,113.35",31/05/2018,Resources
200168,ADCS / The Association of Directors of Children's Services Ltd,51383587,R4702,Subscriptions To Organisations,"3,135.00",10/05/2018,Other Services
200169,Addaction - Henley House,51382657,R5702,Payments to External Contractors,"33,573.79",04/05/2018,Communities
200169,Addaction - Henley House,51385456,R5702,Payments to External Contractors,"255,993.30",16/05/2018,Communities
200169,Addaction - Henley House,51386228,R4409,Consultancy,"4,032.00",18/05/2018,Communities
200169,Addaction - Henley House,51389968,R5702,Payments to External Contractors,"34,071.21",25/05/2018,Communities
200184,ADT Fire and Security Plc,51402155,R2002,Building Maintenance,500.11,31/05/2018,Fire and Rescue
226666,Advance Trust T/A The Kingfisher School,51396345,R6107,SEN Statements Funding,"2,369.23",18/05/2018,Communities
226666,Advance Trust T/A The Kingfisher School,51396342,R6107,SEN Statements Funding,"1,438.46",18/05/2018,Communities
223797,Advance Trust T/A Vale of Evesham School,51392328,R6107,SEN Statements Funding,"2,369.23",25/05/2018,Communities
223797,Advance Trust T/A Vale of Evesham School,51392313,R6107,SEN Statements Funding,"4,357.69",31/05/2018,Communities
200191,Adventure Kit UK Ltd,51391247,R4008,Equipment,"1,055.00",25/05/2018,People Group
200201,Age UK Warwickshire,51398089,R5208,Recycling/re-use Credits,"1,500.00",22/05/2018,Communities
200201,Age UK Warwickshire,51398089,R5208,Recycling/re-use Credits,"1,000.00",22/05/2018,Communities
200201,Age UK Warwickshire,51398089,R5208,Recycling/re-use Credits,"1,000.00",22/05/2018,Communities
200201,Age UK Warwickshire,51398089,R5208,Recycling/re-use Credits,"1,500.00",22/05/2018,Communities
,Agoda Reservation,21798,,,513.3,31/05/2018,Resources
200211,Airtay,51390087,R2751,Grounds Maintenance,"2,211.00",25/05/2018,Communities
200211,Airtay,51390086,R2751,Grounds Maintenance,745,25/05/2018,Communities
208271,Airwave Solutions Ltd,51400589,R3001,Vehicle Operating Costs,"1,282.00",25/05/2018,Fire and Rescue
208797,Alcester Academy (ACAD) School,51398762,R6107,SEN Statements Funding,"5,834.00",21/05/2018,Communities
207814,Alcester Grammar School (Academy),51398802,R6107,SEN Statements Funding,"1,429.00",21/05/2018,Communities
235120,Alderminster Electrics,51381721,C1030,"New Construction, Conversion & Renovation","9,825.00",03/05/2018,Capital
223728,Alere Toxicology Plc (****0298),51382467,R4441,Professional Fees,786,04/05/2018,Resources
