Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Directorate
228690,3tc Software Ltd,51511333,R4506,IT Support & Maintenance,"3,145.80",13/05/2019,Communities
223628,A and K Home Care Services Ltd,51507887,R5807,Social Care Block Contracts,829.80,01/05/2019,People
200114,Abacus Day Nursery,51517142,R6106,Early Years Funding (PVIs and LA),"28,414.39",03/05/2019,Communities
200114,Abacus Day Nursery,51517949,R6106,Early Years Funding (PVIs and LA),"4,043.68",08/05/2019,Communities
200115,Abacus Pre-School Nursery Ltd,51517144,R6106,Early Years Funding (PVIs and LA),"10,036.03",03/05/2019,Communities
200115,Abacus Pre-School Nursery Ltd,51517948,R6106,Early Years Funding (PVIs and LA),722.09,08/05/2019,Communities
223099,Abacus Training Centre Ltd,51509187,R1601,Training,575.00,03/05/2019,Communities
223099,Abacus Training Centre Ltd,51512357,R1601,Training,575.00,15/05/2019,Communities
223099,Abacus Training Centre Ltd,51522184,R1601,Training,575.00,17/05/2019,Communities
223099,Abacus Training Centre Ltd,51522185,R1601,Training,575.00,17/05/2019,Communities
223099,Abacus Training Centre Ltd,51522188,R1601,Training,575.00,29/05/2019,Communities
231359,Abbey Offices Park Ltd,51509754,R4015,Equipment Repair & Maintenance,"2,270.00",08/05/2019,Communities
231359,Abbey Offices Park Ltd,51519003,R5702,Payments to External Contractors,"2,270.00",31/05/2019,Communities
209852,ABC Teachers Ltd,51509530,R1101,Agency Staff Pay,780.00,03/05/2019,Schools
209852,ABC Teachers Ltd,51512474,R1101,Agency Staff Pay,780.00,03/05/2019,Schools
209852,ABC Teachers Ltd,51521149,R1101,Agency Staff Pay,585.00,14/05/2019,Schools
201875,About Interiors Ltd t/a E & M Services,51519689,R2002,Building Maintenance,"1,942.50",29/05/2019,Communities
236194,Absolute Translations Ltd,51510807,R4441,Professional Fees,979.96,10/05/2019,People
236194,Absolute Translations Ltd,51514328,R4441,Professional Fees,519.98,23/05/2019,People
236194,Absolute Translations Ltd,51511774,R5702,Payments to External Contractors,590.35,13/05/2019,Communities
208345,ACM Management Solutions Ltd,51523144,C1030,"New Construction, Conversion & Renovation","1,130.00",21/05/2019,Capital
215546,Acorn Care and Education Ltd,51509786,R6107,SEN Statements Funding,"13,515.67",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509787,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509773,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509769,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509770,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509771,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509782,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509776,R6107,SEN Statements Funding,"12,517.33",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509777,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509778,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509779,R6107,SEN Statements Funding,"13,515.67",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51509781,R6107,SEN Statements Funding,"11,852.00",08/05/2019,Communities
215546,Acorn Care and Education Ltd,51511251,R6107,SEN Statements Funding,"13,515.67",13/05/2019,Communities
231875,Acorn House (Fostering Services) Ltd,51522240,R5822,Foster Care Payments - External Provision,-814.96,31/05/2019,People
231875,Acorn House (Fostering Services) Ltd,51522018,R5822,Foster Care Payments - External Provision,"5,433.12",31/05/2019,People
200146,Acorn Wood Day Nursery,51517187,R6106,Early Years Funding (PVIs and LA),"40,801.76",03/05/2019,Communities
200146,Acorn Wood Day Nursery,51517926,R6106,Early Years Funding (PVIs and LA),"4,476.93",08/05/2019,Communities
200152,Action 21 (2010) Ltd t/a Action 21,51517607,R5208,Recycling/re-use Credits,"1,755.99",14/05/2019,Communities
215891,Action For Children (****6746),51510429,R5806,Residential Care,"50,625.00",09/05/2019,People
228784,Active Informatics Ltd,51515135,R4512,Software,"8,837.33",24/05/2019,Communities
220313,Adana Management Group Ltd,51507893,R1101,Agency Staff Pay,"2,184.52",02/05/2019,Resources
220313,Adana Management Group Ltd,51509755,R1101,Agency Staff Pay,"2,266.65",08/05/2019,Resources
220313,Adana Management Group Ltd,51516614,R1101,Agency Staff Pay,"2,195.47",31/05/2019,Resources
200168,ADCS / The Association of Directors of Children's Services Ltd,51511972,R4601,"Conferences, Staff Accommodation & Subsistence",780.00,13/05/2019,Other Services
,Adjuvo,8986,,,708.00,08/05/2019,Communities
237130,Advance Cars Warwick Ltd,51516613,R3204,Home To School / College Transport,"2,480.00",02/05/2019,Communities
200187,Advance Housing & Support Ltd,51516665,R5851,Supported Living,"1,168.64",02/05/2019,People
200187,Advance Housing & Support Ltd,51516667,R5851,Supported Living,"3,570.48",02/05/2019,People
200187,Advance Housing & Support Ltd,51516662,R5851,Supported Living,"1,267.20",02/05/2019,People
200187,Advance Housing & Support Ltd,51516668,R5851,Supported Living,957.44,02/05/2019,People
200187,Advance Housing & Support Ltd,51516591,R5851,Supported Living,"1,224.96",02/05/2019,People
226666,Advance Trust T/A The Kingfisher School,51517805,R6107,SEN Statements Funding,"9,054.00",10/05/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51517801,R6107,SEN Statements Funding,"1,438.46",10/05/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51518841,R6107,SEN Statements Funding,"2,369.23",31/05/2019,Communities
226666,Advance Trust T/A The Kingfisher School,51517797,R6107,SEN Statements Funding,"1,438.46",31/05/2019,Communities
223797,Advance Trust T/A Vale of Evesham School,51515984,R6107,SEN Statements Funding,"4,357.69",29/05/2019,Communities
223797,Advance Trust T/A Vale of Evesham School,51515985,R6107,SEN Statements Funding,"2,369.23",29/05/2019,Communities
200188,Advanced Health & Care Ltd,51511344,R4513,Telephones & Broadband,944.00,13/05/2019,People
200188,Advanced Health & Care Ltd,51519027,R4513,Telephones & Broadband,992.00,29/05/2019,People
999982,Advanced Products,51521120,R2201,Rents & Lettings,-522.60,14/05/2019,Communities
999982,Advanced Products Ltd,51516993,R2201,Rents & Lettings,522.60,03/05/2019,Communities
999982,Advanced Products Ltd,51522401,R2201,Rents & Lettings,522.60,17/05/2019,Communities
209397,AECOM Ltd,51508709,C1050,External Fees,"4,110.00",03/05/2019,Capital
209397,AECOM Ltd,51515699,C1050,External Fees,"6,800.00",21/05/2019,Capital
209397,AECOM Ltd,51507321,R4409,Consultancy,"35,173.00",01/05/2019,Communities
234328,AFFPRO Solutions Ltd,51516522,R4409,Consultancy,"10,000.00",30/05/2019,People
200201,Age UK Warwickshire,51521678,R5208,Recycling/re-use Credits,521.04,21/05/2019,Communities
200201,Age UK Warwickshire,51521678,R5208,Recycling/re-use Credits,"1,169.68",21/05/2019,Communities
200201,Age UK Warwickshire,51521680,R5208,Recycling/re-use Credits,"1,000.00",22/05/2019,Communities
200201,Age UK Warwickshire,51521680,R5208,Recycling/re-use Credits,"1,000.00",22/05/2019,Communities
200201,Age UK Warwickshire,51521680,R5208,Recycling/re-use Credits,500.00,22/05/2019,Communities
200201,Age UK Warwickshire,51521680,R5208,Recycling/re-use Credits,500.00,22/05/2019,Communities
200201,Age UK Warwickshire,51519670,R5807,Social Care Block Contracts,510.00,10/05/2019,People
238586,AGS Gas Ltd,51513739,R2002,Building Maintenance,"3,494.40",17/05/2019,Communities
200211,Airtay,51510719,R2751,Grounds Maintenance,898.00,09/05/2019,Communities
200211,Airtay,51510668,R2751,Grounds Maintenance,"1,973.00",09/05/2019,Communities
208797,Alcester Academy (ACAD) School,51523581,R6107,SEN Statements Funding,"5,146.00",24/05/2019,Communities
207814,Alcester Grammar School (Academy),51523554,R6107,SEN Statements Funding,"2,144.00",24/05/2019,Communities
200237,Alcester Nursery Studio Ltd,51523496,R4030,Materials,"1,903.73",23/05/2019,Other Services
200237,Alcester Nursery Studio Ltd,51517185,R6106,Early Years Funding (PVIs and LA),"42,997.79",03/05/2019,Communities
200237,Alcester Nursery Studio Ltd,51517943,R6106,Early Years Funding (PVIs and LA),"4,135.62",08/05/2019,Communities
200237,Alcester Nursery Studio Ltd,51521374,R6106,Early Years Funding (PVIs and LA),"1,100.00",17/05/2019,Communities
