Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,
999982,11th Nuneaton (Weddington) Scout Group,51322029,R5501,Grants / Donations to External Organisations,"3,772.00",29/11/2017,Communities,,,
228843,1st Care Ltd t/a Acorn Care Home,51315972,R5806,Residential Care,6400.24,16/11/2017,People Group,,,
234269,1st Class Property Solutions Ltd,51305146,R2003,Devolved Maintenance (Via Local),1614.00,03/11/2017,Schools,,,
234269,1st Class Property Solutions Ltd,51307088,R2003,Devolved Maintenance (Via Local),840.00,10/11/2017,Schools,,,
224477,1st Class School Improvement Ltd,51319005,R4442,For use by schools only - Professional Fees Curriculum,750.00,27/11/2017,Schools,,,
999985,"1st,2nd and 4th Whitnash Brownies",51308008,R5501,Grants / Donations to External Organisations,900.00,08/11/2017,Communities,,,
999985,2nd Cubbington (St. Mary's Guide Unit),51307990,R5501,Grants / Donations to External Organisations,906.00,08/11/2017,Communities,,,
234911,2nd Quadrant Ltd,51302061,R1601,Training,10010.00,17/11/2017,Resources,,,
233106,4Passion Care Ltd,51304375,R5851,Supported Living,1785.32,03/11/2017,People Group,,,
233106,4Passion Care Ltd,51304375,R5851,Supported Living,2689.02,03/11/2017,People Group,,,
233106,4Passion Care Ltd,51304960,R5851,Supported Living,1063.62,10/11/2017,People Group,,,
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51302693,R5848,Residential Care (Children),15000.00,17/11/2017,People Group,,,
200114,Abacus Day Nursery,51308649,R6106,Early Years Funding (PVIs and LA),"2,085.70",13/11/2017,Communities,,,
200114,Abacus Day Nursery,51315713,R6106,Early Years Funding (PVIs and LA),"3,888.15",27/11/2017,Communities,,,
200115,Abacus Pre-School Nursery Ltd,51308644,R6106,Early Years Funding (PVIs and LA),2712.89,13/11/2017,Communities,,,
200115,Abacus Pre-School Nursery Ltd,51315757,R6106,Early Years Funding (PVIs and LA),1110.90,27/11/2017,Communities,,,
223099,Abacus Training Centre Ltd,51302764,R1601,Training,1525.00,17/11/2017,Fire and Rescue,,,
223099,Abacus Training Centre Ltd,51302766,R1601,Training,1300.00,17/11/2017,Fire and Rescue,,,
223099,Abacus Training Centre Ltd,51302824,R1601,Training,5600.00,22/11/2017,Fire and Rescue,,,
231359,Abbey Offices Park Ltd,51303173,R5702,Payments to External Contractors,2160.00,17/11/2017,Communities,,,
230978,Abbotswood Lodge Ltd,51315971,R5806,Residential Care,1772.52,16/11/2017,People Group,,,
201709,About Me Care and Support Ltd,51304720,R5851,Supported Living,4321.91,08/11/2017,People Group,,,
201709,About Me Care and Support Ltd,51304716,R5851,Supported Living,4322.00,08/11/2017,People Group,,,
201709,About Me Care and Support Ltd,51315691,R5851,Supported Living,4321.86,22/11/2017,People Group,,,
219926,Accessible Transport Group Ltd (ATG),51319969,R5704,Public Transport,1930.00,24/11/2017,Communities,,,
999985,Achieving Results in Communities (ARC),51307981,R5501,Grants / Donations to External Organisations,"1,218.00",08/11/2017,Communities,,,
200145,Acorn Tree Surgery Ltd,51302753,R5706,Payments to Third Parties - Recoverable Operating Expenditure,1057.74,17/11/2017,Communities,,,
200145,Acorn Tree Surgery Ltd,51302777,R5706,Payments to Third Parties - Recoverable Operating Expenditure,4810.23,17/11/2017,Communities,,,
200146,Acorn Wood Day Nursery,51308654,R6106,Early Years Funding (PVIs and LA),"20,049.06",13/11/2017,Communities,,,
200146,Acorn Wood Day Nursery,51315754,R6106,Early Years Funding (PVIs and LA),"7,443.03",27/11/2017,Communities,,,
,Acting Returning Officer ,,R5203,Payments/Contributions to Public Sector Organisations,"64,138.36",30/11/2017,Resources,,,
219696,Action Deafness Ltd,51309930,R5803,Daycare External,824.80,09/11/2017,People Group,,,
215891,Action For Children (****6746),51318723,R5203,Payments / Contributions to Public Sector Organisations,"1,833.03",23/11/2017,People Group,,,
200169,Addaction - Henley House,51294604,R5702,Payments to External Contractors,"35,154.25",10/11/2017,Communities,,,
200169,Addaction - Henley House,51297969,R5702,Payments to External Contractors,"24,480.58",10/11/2017,Communities,,,
200169,Addaction - Henley House,51298131,R5702,Payments to External Contractors,"255,993.30",16/11/2017,Communities,,,
200169,Addaction - Henley House,51303728,R5702,Payments to External Contractors,"35,173.69",24/11/2017,Communities,,,
200170,Addiction Recovery Centre Ltd,51295608,R5702,Payments to External Contractors,2320.00,10/11/2017,Communities,,,
229387,Adelaide House (B & E Thorpe-Smith),51315975,R5806,Residential Care,"3,396.40",16/11/2017,People Group,,,
229387,Adelaide House (B & E Thorpe-Smith),51315975,R5806,Residential Care,"2,840.04",16/11/2017,People Group,,,
229387,Adelaide House (B & E Thorpe-Smith),51315975,R5806,Residential Care,"3,470.88",16/11/2017,People Group,,,
229387,Adelaide House (B & E Thorpe-Smith),51315975,R5806,Residential Care,889.21,16/11/2017,People Group,,,
229387,Adelaide House (B & E Thorpe-Smith),51315975,R5806,Residential Care,"6,570.08",16/11/2017,People Group,,,
233077,ADM Care Homes Ltd t/a Beeches Care Home,51315999,R5806,Residential Care,1920.00,16/11/2017,People Group,,,
200184,ADT Fire and Security Plc,51312309,R2010,Security Services,"1,047.00",17/11/2017,Schools,,,
200187,Advance Housing & Support Ltd,51309358,R5851,Supported Living,625.24,09/11/2017,People Group,,,
226666,Advance Trust T/A The Kingfisher School,51315423,R6107,SEN Statements Funding,"1,111.54",22/11/2017,Communities,,,
226666,Advance Trust T/A The Kingfisher School,51315415,R6107,SEN Statements Funding,"1,830.77",22/11/2017,Communities,,,
226666,Advance Trust T/A The Kingfisher School,51315420,R6107,SEN Statements Funding,"1,111.54",22/11/2017,Communities,,,
100301,Advent Estates Ltd t/a Kilsby House,51316079,R5806,Residential Care,2012.64,16/11/2017,People Group,,,
209397,AECOM Ltd,51304429,R5702,Payments to External Contractors,1960.00,27/11/2017,Communities,,,
234328,AFFPRO Solutions Ltd,51306690,R4409,Consultancy,3813.33,08/11/2017,People Group,,,
200201,Age UK Warwickshire,51291814,R5807,Social Care Block Contracts,"5,000.00",03/11/2017,People Group,,,
200201,Age UK Warwickshire,51313656,R5807,Social Care Block Contracts,"4,620.00",14/11/2017,People Group,,,
200201,Age UK Warwickshire,51313694,R5807,Social Care Block Contracts,"4,620.00",14/11/2017,People Group,,,
200201,Age UK Warwickshire,51305604,R5807,Social Care Block Contracts,510.00,24/11/2017,People Group,,,
200201,Age UK Warwickshire,51320416,R5208,Recycling/re-use Credits,"3,873.46",27/11/2017,Communities,,,
200201,Age UK Warwickshire,51320416,R5208,Recycling/re-use Credits,"1,551.63",27/11/2017,Communities,,,
200201,Age UK Warwickshire,51321919,R5807,Social Care Block Contracts,"2,500.00",29/11/2017,People Group,,,
200201,Age UK Warwickshire,51321924,R5807,Social Care Block Contracts,"4,615.00",29/11/2017,People Group,,,
200201,Age UK Warwickshire,51320842,R5208,Recycling/re-use Credits,"1,000.00",29/11/2017,Communities,,,
