,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50912894,R5806,Residential Care (Adults),2916.44,02/11/2015,People Group,,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50929177,R5806,Residential Care (Adults),2916.44,30/11/2015,People Group,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50920372,R5604,Commissioned Works,5500.00,16/11/2015,People Group,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50921855,R1690,Internal Expenditure - Training,625.00,17/11/2015,Schools,,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50924447,R1690,Internal Expenditure - Training,2500.00,23/11/2015,Schools,,,
INSERTED DETAIL,999982,22nd Hillmorton Scout Group,50918107,R5501,Grants to Organisations & Voluntary Bodies,1350.00,13/11/2015,Communities,,,
INSERTED DETAIL,200013,2simple Software Ltd,50915704,R4512,Software,1500.00,05/11/2015,People Group,,,
INSERTED DETAIL,999982,5th Coleshill Brownies,50922349,R5501,Grants to Organisations & Voluntary Bodies,860.00,24/11/2015,Communities,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913583,R5805,Homecare - External Domiciliary (Adults),1048.00,03/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913508,R5805,Homecare - External Domiciliary (Adults),672.00,03/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50916636,R5805,Homecare - External Domiciliary (Adults),672.00,09/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913587,R5805,Homecare - External Domiciliary (Adults),896.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913586,R5805,Homecare - External Domiciliary (Adults),560.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50916637,R5805,Homecare - External Domiciliary (Adults),1256.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50914730,R5805,Homecare - External Domiciliary (Adults),2464.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913647,R5805,Homecare - External Domiciliary (Adults),896.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913588,R5805,Homecare - External Domiciliary (Adults),672.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913645,R5805,Homecare - External Domiciliary (Adults),560.00,25/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913589,R5805,Homecare - External Domiciliary (Adults),672.00,27/11/2015,People Group,,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50913646,R5805,Homecare - External Domiciliary (Adults),1792.00,27/11/2015,People Group,,,
INSERTED DETAIL,200044,A E Bennett & Sons,50919213,R4615,Mortuary/Pathology Expenses,1270.69,17/11/2015,Other Services,,,
INSERTED DETAIL,229286,A F Harper Builders,50909663,R2751,Grounds Maintenance Non Contract,3785.00,03/11/2015,Communities,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50913386,R5848,Residential Care (Children),27869.00,19/11/2015,People Group,,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50913387,R5848,Residential Care (Children),15000.00,25/11/2015,People Group,,,
