Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
234457,3SFire,51566045,R1601,Training,"1,586.00",08/11/2019,Communities,
233676,4B Medical LLP,51569525,R4030,Materials,"2,312.00",22/11/2019,Communities,
210116,AAI Sports Ltd T/A The Sports Connexion,51573110,R2201,Rents & Lettings,"1,250.00",06/11/2019,Communities,
200114,Abacus Day Nursery,51573452,R6106,Early Years Funding (PVIs and LA),700.00,07/11/2019,Communities,
200114,Abacus Day Nursery,51576562,R6106,Early Years Funding (PVIs and LA),"10,331.99",15/11/2019,Communities,
200114,Abacus Day Nursery,51576990,R6106,Early Years Funding (PVIs and LA),"4,269.03",19/11/2019,Communities,
200115,Abacus Pre-School Nursery Ltd,51576536,R6106,Early Years Funding (PVIs and LA),"5,583.23",15/11/2019,Communities,
223099,Abacus Training Centre Ltd,51566153,R1601,Training,575.00,04/11/2019,Communities,
223099,Abacus Training Centre Ltd,51565726,R1601,Training,575.00,07/11/2019,Communities,
223099,Abacus Training Centre Ltd,51567687,R1601,Training,575.00,08/11/2019,Communities,
223099,Abacus Training Centre Ltd,51567684,R1601,Training,575.00,08/11/2019,Communities,
201875,About Interiors Ltd t/a E & M Services,51572332,R2002,Building Maintenance,"1,612.00",22/11/2019,Communities,
239607,Accessible Motor Company- Fleximobility,51562754,R3203,Vehicle Hire / Lease,750.00,04/11/2019,Communities,
239033,Acorn Academy & Slim Fit 5K,51572288,R1601,Training,"1,200.00",21/11/2019,People,
215546,Acorn Care and Education Ltd,51570992,R6107,SEN Statements Funding,"13,515.66",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51571001,R6107,SEN Statements Funding,"11,852.00",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570999,R6107,SEN Statements Funding,"11,852.00",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570998,R6107,SEN Statements Funding,"13,733.34",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570997,R6107,SEN Statements Funding,"11,852.00",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570993,R6107,SEN Statements Funding,"11,852.00",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570995,R6107,SEN Statements Funding,"11,852.00",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570996,R6107,SEN Statements Funding,"13,515.66",22/11/2019,Communities,
215546,Acorn Care and Education Ltd,51570991,R6107,SEN Statements Funding,"12,517.34",22/11/2019,Communities,
