Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,,
208079,123 Comms Ltd t/a ParentMail,51275624,R4440,For use by schools only - Admin Contracts,777.00,06/10/2017,Schools,,,,,,
234314,123 Learning,51279636,R4030,Materials,1020.00,13/10/2017,Communities,,,,,,
228843,1st Care Ltd t/a Acorn Care Home,51298824,R5806,Residential Care,6400.24,19/10/2017,People Group,,,,,,
200014,3P Learning Ltd,51288656,R4512,Software,831.60,27/10/2017,Schools,,,,,,
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51291758,R5848,Residential Care (Children),15000.00,30/10/2017,People Group,,,,,,
232396,A.C. Lloyd Homes Ltd,51280247,R5706,Payments to Third Parties - Recoverable Operating Expenditure,45169.20,13/10/2017,Communities,,,,,,
223099,Abacus Training Centre Ltd,51285836,R1601,Training,850.00,20/10/2017,Fire and Rescue,,,,,,
221450,Abbey Fire (UK) Ltd,51280177,C1030,"New Construction, Conversion & Renovation",957.76,06/10/2017,Capital,,,,,,
221450,Abbey Fire (UK) Ltd,51280176,C1030,"New Construction, Conversion & Renovation",1088.62,06/10/2017,Capital,,,,,,
221450,Abbey Fire (UK) Ltd,51288349,R2023,Mechanical (LM),772.80,06/10/2017,Resources,,,,,,
221450,Abbey Fire (UK) Ltd,51280164,R2023,Mechanical (LM),580.00,06/10/2017,Resources,,,,,,
221450,Abbey Fire (UK) Ltd,51279329,R2023,Mechanical (LM),993.15,06/10/2017,Resources,,,,,,
221450,Abbey Fire (UK) Ltd,51290085,R2023,Mechanical (LM),889.80,20/10/2017,Resources,,,,,,
231359,Abbey Offices Park Ltd,51274641,R5702,Payments to External Contractors,795.00,04/10/2017,Communities,,,,,,
231359,Abbey Offices Park Ltd,51274636,R5702,Payments to External Contractors,2150.00,04/10/2017,Communities,,,,,,
230978,Abbotswood Lodge Ltd,51298823,R5806,Residential Care,1772.52,19/10/2017,People Group,,,,,,
234761,Academy of Play and Child Psychotherapy,51291689,R1601,Training,3515.00,13/10/2017,Communities,,,,,,
219926,Accessible Transport Group Ltd (ATG),51301460,R5704,Public Transport,1930.00,24/10/2017,Communities,,,,,,
208544,Achievement for All (3As) Ltd,51301737,R4443,For use by schools only - Professional Fees Admin,715.00,30/10/2017,Schools,,,,,,
200145,Acorn Tree Surgery Ltd,51280500,R5706,Payments to Third Parties - Recoverable Operating Expenditure,7000.00,05/10/2017,Communities,,,,,,
200145,Acorn Tree Surgery Ltd,51280415,R5706,Payments to Third Parties - Recoverable Operating Expenditure,7424.50,05/10/2017,Communities,,,,,,
200145,Acorn Tree Surgery Ltd,51280412,R5706,Payments to Third Parties - Recoverable Operating Expenditure,9442.26,05/10/2017,Communities,,,,,,
200145,Acorn Tree Surgery Ltd,51280361,R5706,Payments to Third Parties - Recoverable Operating Expenditure,9000.00,05/10/2017,Communities,,,,,,
200145,Acorn Tree Surgery Ltd,51279465,R5706,Payments to Third Parties - Recoverable Operating Expenditure,1438.05,06/10/2017,Communities,,,,,,
200145,Acorn Tree Surgery Ltd,51279466,R5706,Payments to Third Parties - Recoverable Operating Expenditure,2737.70,13/10/2017,Communities,,,,,,
200146,Acorn Wood Day Nursery,51297071,C1030,"New Construction, Conversion & Renovation",63694.00,18/10/2017,Capital,,,,,,
200150,Act On Energy,51285742,R5702,Payments to External Contractors,24972.50,20/10/2017,Communities,,,,,,
200152,Action 21,51292584,R5208,Recycling/re-use Credits,1555.59,19/10/2017,Communities,,,,,,
215891,Action For Children (****6746),51284133,R5822,Foster Care Payments - External Provision,2837.79,13/10/2017,People Group,,,,,,
215891,Action For Children (****6746),51289348,R5848,Residential Care (Children),50625.00,27/10/2017,People Group,,,,,,
229911,Action Moves,51279572,R6104,Social Care - Section 17 Payments,630.00,13/10/2017,People Group,,,,,,
220313,Adana Management Group Ltd,51294343,R1101,Agency Staff Pay,2157.97,30/10/2017,Resources,,,,,,
231979,Adaptive IT Solutions Ltd,51281955,R4515,For use by schools only - Computer Equipment Curriculum,3150.00,05/10/2017,Schools,,,,,,
209747,Adare SEC Ltd,51301697,R4310,"Printing, Photocopying and Reprographics",3975.62,25/10/2017,Resources,,,,,,
209747,Adare SEC Ltd,51301693,R4310,"Printing, Photocopying and Reprographics",4514.10,25/10/2017,Resources,,,,,,
200169,Addaction - Henley House,51273986,R4409,Consultancy,9000.00,06/10/2017,Communities,,,,,,
200169,Addaction - Henley House,51278635,R5702,Payments to External Contractors,24480.58,13/10/2017,Communities,,,,,,
200169,Addaction - Henley House,51279621,R5702,Payments to External Contractors,36682.47,13/10/2017,Communities,,,,,,
200169,Addaction - Henley House,51280677,R5702,Payments to External Contractors,255993.30,18/10/2017,Communities,,,,,,
233077,ADM Care Homes Ltd t/a Beeches Care Home,51298856,R5806,Residential Care,1920.00,19/10/2017,People Group,,,,,,
200187,Advance Housing & Support Ltd,51272672,R5851,Supported Living,1126.40,02/10/2017,People Group,,,,,,
200187,Advance Housing & Support Ltd,51272681,R5851,Supported Living,708.40,02/10/2017,People Group,,,,,,
200187,Advance Housing & Support Ltd,51275729,R5851,Supported Living,577.28,06/10/2017,People Group,,,,,,
200187,Advance Housing & Support Ltd,51280374,R5851,Supported Living,858.88,13/10/2017,People Group,,,,,,
200187,Advance Housing & Support Ltd,51288849,R5851,Supported Living,1126.40,27/10/2017,People Group,,,,,,
200187,Advance Housing & Support Ltd,51288891,R5851,Supported Living,708.40,27/10/2017,People Group,,,,,,
223797,Advance Trust T/A Vale of Evesham School,51292788,R6107,SEN Statements Funding,1830.77,30/10/2017,Communities,,,,,,
223797,Advance Trust T/A Vale of Evesham School,51292798,R6107,SEN Statements Funding,3367.31,30/10/2017,Communities,,,,,,
100301,Advent Estates Ltd t/a Kilsby House,51298964,R5806,Residential Care,1991.64,19/10/2017,People Group,,,,,,
230962,Advocate Services,51284134,R4441,Professional Fees,888.50,13/10/2017,People Group,,,,,,
230962,Advocate Services,51284136,R4441,Professional Fees,791.35,13/10/2017,People Group,,,,,,
234328,AFFPRO Solutions Ltd,51277093,R4409,Consultancy,4560.00,11/10/2017,People Group,,,,,,
234328,AFFPRO Solutions Ltd,51277101,R4409,Consultancy,4773.33,11/10/2017,People Group,,,,,,
216354,After Adoption,51286615,R4702,Subscriptions To Organisations,12138.00,11/10/2017,People Group,,,,,,
200201,Age UK Warwickshire,51285556,R5807,Social Care Block Contracts,4615.00,05/10/2017,People Group,,,,,,
200201,Age UK Warwickshire,51280150,R5807,Social Care Block Contracts,645.00,11/10/2017,People Group,,,,,,
200201,Age UK Warwickshire,51281657,R5807,Social Care Block Contracts,1848.00,18/10/2017,People Group,,,,,,
200201,Age UK Warwickshire,51285559,R5807,Social Care Block Contracts,1846.00,18/10/2017,People Group,,,,,,
200201,Age UK Warwickshire,51301892,R5208,Recycling/re-use Credits,1000.00,26/10/2017,Communities,,,,,,
200201,Age UK Warwickshire,51301892,R5208,Recycling/re-use Credits,1500.00,26/10/2017,Communities,,,,,,
200201,Age UK Warwickshire,51301892,R5208,Recycling/re-use Credits,1500.00,26/10/2017,Communities,,,,,,
200201,Age UK Warwickshire,51301892,R5208,Recycling/re-use Credits,1000.00,26/10/2017,Communities,,,,,,
234227,Airedale International Air Conditioning Ltd,51288369,R2023,Mechanical (LM),992.50,18/10/2017,Resources,,,,,,
200211,Airtay,51273287,R2751,Grounds Maintenance,3655.00,04/10/2017,Communities,,,,,,
200211,Airtay,51273319,R5702,Payments to External Contractors,2878.00,05/10/2017,Communities,,,,,,
208271,Airwave Solutions Ltd,51291118,R4008,Equipment,2988.80,27/10/2017,Fire and Rescue,,,,,,
208271,Airwave Solutions Ltd,51291112,R4008,Equipment,10135.40,27/10/2017,Fire and Rescue,,,,,,
100245,Albemarle Rest Home Ltd,51298830,R5806,Residential Care,6688.36,19/10/2017,People Group,,,,,,
100245,Albemarle Rest Home Ltd,51298830,R5806,Residential Care,3600.00,19/10/2017,People Group,,,,,,
100245,Albemarle Rest Home Ltd,51298830,R5806,Residential Care,6964.36,19/10/2017,People Group,,,,,,
208344,Alcatel Lucent Telecom Ltd,51288911,R4506,IT Support & Maintenance,8332.00,27/10/2017,Resources,,,,,,
208797,Alcester Academy (ACAD) School,51298746,R6107,SEN Statements Funding,5834.00,19/10/2017,Communities,,,,,,
207814,Alcester Grammar School (Academy),51298772,R6107,SEN Statements Funding,1429.00,19/10/2017,Communities,,,,,,
200266,Aljac Fuelling Components Ltd,51272801,R4015,Equipment Repair & Maintenance,638.29,04/10/2017,Communities,,,,,,
212639,All About Holes Ltd,51286956,R4441,Professional Fees,2551.67,03/10/2017,Communities,,,,,,
202796,All Blinds Ltd,51286762,C1030,"New Construction, Conversion & Renovation",5975.04,13/10/2017,Capital,,,,,,
202796,All Blinds Ltd,51293431,R4024,Furniture,980.07,27/10/2017,Resources,,,,,,
100004,Allambie Court Nursing Home,51298831,R5806,Residential Care,20500.40,19/10/2017,People Group,,,,,,
100004,Allambie Court Nursing Home,51298831,R5806,Residential Care,3844.40,19/10/2017,People Group,,,,,,
