,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50897102,R5806,Residential Care (Adults),2916.44,05/10/2015,People Group,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50901356,R1690,Internal Expenditure - Training,1250.00,13/10/2015,Schools,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50905926,R1690,Internal Expenditure - Training,1250.00,20/10/2015,Schools,,
INSERTED DETAIL,208371,201 Capital Bank Leasing Ltd (Bank of Scotland),50906965,R99C4,Operating Leases,8629.42,22/10/2015,Other Services,,
INSERTED DETAIL,200014,3P Learning Ltd,50906741,R4056,Learning Resources Curriculum,552.00,20/10/2015,Schools,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50905098,R5805,Homecare - External Domiciliary (Adults),1792.00,16/10/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50905099,R5805,Homecare - External Domiciliary (Adults),560.00,28/10/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50905100,R5805,Homecare - External Domiciliary (Adults),896.00,28/10/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50905103,R5805,Homecare - External Domiciliary (Adults),560.00,28/10/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50907513,R5805,Homecare - External Domiciliary (Adults),2464.00,28/10/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50905073,R5805,Homecare - External Domiciliary (Adults),672.00,28/10/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50911708,R5805,Homecare - External Domiciliary (Adults),896.00,30/10/2015,People Group,,
INSERTED DETAIL,219733,A Call to Men UK,50898946,R1601,Training - External,2500.00,28/10/2015,Communities,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50883094,R5848,Residential Care (Children),15000.00,02/10/2015,People Group,,
INSERTED DETAIL,225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,50900373,R5848,Residential Care (Children),15000.00,30/10/2015,People Group,,
INSERTED DETAIL,200513,AAC Consultancy Ltd,50895319,R5604,Commissioned Works,1375.00,09/10/2015,People Group,,
INSERTED DETAIL,223099,Abacus Training Centre Ltd,50896152,R4019,Fire Equipment Purchase,804.00,01/10/2015,Fire and Rescue,,
INSERTED DETAIL,223099,Abacus Training Centre Ltd,50904995,R4019,Fire Equipment Purchase,660.48,23/10/2015,Fire and Rescue,,
INSERTED DETAIL,221450,Abbey Fire (UK) Ltd,50899537,R2023,Mechanical (LM),514.20,07/10/2015,Resources,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50892294,R5822,Foster Care Payments - External,3207.86,05/10/2015,People Group,,
INSERTED DETAIL,223033,ABC Fostering Services Ltd,50899509,R5822,Foster Care Payments - External,3207.86,30/10/2015,People Group,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50875888,R6107,SEN Statements Funding - Non-Maintained Schools,-1255.22,16/10/2015,People Group,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50875892,R6107,SEN Statements Funding - Non-Maintained Schools,-550.38,16/10/2015,People Group,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50902472,R4458,Pupil Premium Payment,660.00,16/10/2015,Schools,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50902471,R4458,Pupil Premium Payment,660.00,16/10/2015,Schools,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50902470,R4458,Pupil Premium Payment,660.00,16/10/2015,Schools,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50902468,R4458,Pupil Premium Payment,660.00,16/10/2015,Schools,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50902469,R4458,Pupil Premium Payment,660.00,16/10/2015,Schools,,
INSERTED DETAIL,215546,Acorn Care and Education Ltd,50902124,R6107,SEN Statements Funding - Non-Maintained Schools,10000.00,30/10/2015,People Group,,
INSERTED DETAIL,229042,Acorn Children’s Home Ltd,50886032,R5848,Residential Care (Children),11378.55,01/10/2015,People Group,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50898369,R5822,Foster Care Payments - External,3428.57,07/10/2015,People Group,,
INSERTED DETAIL,200142,Acorn Fostering Services Ltd,50898370,R5822,Foster Care Payments - External,3217.50,30/10/2015,People Group,,
INSERTED DETAIL,200152,Action 21,50900174,R5207,Re-useable Credits,784.57,15/10/2015,Communities,,
INSERTED DETAIL,211087,Action Centres Uk Ltd,50896392,R4915,Educational Visits Expenditure,500.00,01/10/2015,Schools,,
