Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
228843,1st Care Ltd t/a Acorn Care Home,51094588,R5806,Residential Care (Adults),2916.44,04/10/2016,People Group
223628,A and K Home Care Services Ltd,51099942,R5805,Homecare - External Domiciliary (Adults),528.64,28/10/2016,People Group
223628,A and K Home Care Services Ltd,51099944,R5805,Homecare - External Domiciliary (Adults),1156.4,28/10/2016,People Group
223628,A and K Home Care Services Ltd,51100018,R5805,Homecare - External Domiciliary (Adults),2478,28/10/2016,People Group
223628,A and K Home Care Services Ltd,51100020,R5805,Homecare - External Domiciliary (Adults),925.12,28/10/2016,People Group
223628,A and K Home Care Services Ltd,51099938,R5805,Homecare - External Domiciliary (Adults),693.84,28/10/2016,People Group
223628,A and K Home Care Services Ltd,51099945,R5805,Homecare - External Domiciliary (Adults),1850.24,28/10/2016,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51082404,R5848,Residential Care (Children),15000,07/10/2016,People Group
224529,A1 Minibus,51107883,R3204,Home To School / College Transport,810,31/10/2016,Communities
223099,Abacus Training Centre Ltd,51091713,R4019,Fire Equipment Purchase,4370.5,21/10/2016,Fire and Rescue
232112,Abbey Design  & Display,51097248,R5702,Payments to External Contractors,2868.5,11/10/2016,Communities
232112,Abbey Design  & Display,51097454,R5702,Payments to External Contractors,2868.5,26/10/2016,Communities
221450,Abbey Fire (UK) Ltd,51101438,R2023,Mechanical (LM),652.45,14/10/2016,Resources
231844,Abbey Law Costs Consultants Ltd,51079567,R4443,Professional Fees Admin,740.6,04/10/2016,Resources
231359,Abbey Offices Park Ltd,51090394,R5702,Payments to External Contractors,1195,05/10/2016,Communities
230978,Abbotswood Lodge Ltd,51094587,R5806,Residential Care (Adults),1772.52,04/10/2016,People Group
223033,ABC Fostering Services Ltd,51081985,R5822,Foster Care Payments - External,3314.79,06/10/2016,People Group
223033,ABC Fostering Services Ltd,51088561,R5822,Foster Care Payments - External,607.29,07/10/2016,People Group
223033,ABC Fostering Services Ltd,51084882,R5822,Foster Care Payments - External,3314.79,07/10/2016,People Group
209852,ABC Teachers Ltd,51087812,R1101,Agency Staff Pay,1263.45,13/10/2016,Schools
209852,ABC Teachers Ltd,51093627,R1101,Agency Staff Pay,1263.45,21/10/2016,Schools
209852,ABC Teachers Ltd,51100101,R1101,Agency Staff Pay,1263.45,27/10/2016,Schools
,ABERCONWY CAR AND VAN,P-Card,,,510.26,24/10/2016,
201709,About Me Care and Support Ltd,51096690,R5818,Community Services External,4321.9,06/10/2016,People Group
215546,Acorn Care and Education Ltd,51066540,R6107,SEN Statements Funding - Non-Maintained Schools,-1509.67,28/10/2016,Communities
215546,Acorn Care and Education Ltd,51099398,R4457,LAC Pupil Premium,600,28/10/2016,Communities
200142,Acorn Fostering Services Ltd,51084875,R5822,Foster Care Payments - External,2061,07/10/2016,People Group
200142,Acorn Fostering Services Ltd,51084880,R5822,Foster Care Payments - External,2360.43,07/10/2016,People Group
200142,Acorn Fostering Services Ltd,51108229,R5822,Foster Care Payments - External,3257.14,27/10/2016,People Group
200142,Acorn Fostering Services Ltd,51093896,R5822,Foster Care Payments - External,3342.86,28/10/2016,People Group
200142,Acorn Fostering Services Ltd,51093874,R5822,Foster Care Payments - External,3056.62,28/10/2016,People Group
200142,Acorn Fostering Services Ltd,51093868,R5822,Foster Care Payments - External,3257.14,28/10/2016,People Group
200145,Acorn Tree Surgery Ltd,51089083,R5706,Payments to Third Parties - Recoverable Operating Expenditure,2572.28,20/10/2016,Communities
200145,Acorn Tree Surgery Ltd,51089082,R5706,Payments to Third Parties - Recoverable Operating Expenditure,8259.39,20/10/2016,Communities
,ACT NOW TRAINING,P-Card,,,1026,02/11/2016,
200150,Act On Energy,51093063,R5702,Payments to External Contractors,29967,26/10/2016,Communities
219696,Action Deafness Ltd,51095798,R5810,Adult Day Care,860,04/10/2016,People Group
219696,Action Deafness Ltd,51105798,R5810,Adult Day Care,710.4,21/10/2016,People Group
215891,Action For Children (****6746),51095625,R5848,Residential Care (Children),50625,13/10/2016,People Group
215891,Action For Children (****6746),51107430,R5203,Inter Authority Payments,1314,25/10/2016,People Group
215891,Action For Children (****6746),51107431,R5203,Inter Authority Payments,1833,28/10/2016,People Group
209747,Adare Ltd,51082174,R4317,Print Operational Costs,4320.97,06/10/2016,Resources
200170,Addiction Recovery Centre Ltd,51081958,R5835,Residential and Inpatient Services,1740,06/10/2016,Communities
229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51094593,R5806,Residential Care (Adults),2127.16,04/10/2016,People Group
229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51094593,R5806,Residential Care (Adults),6136.88,04/10/2016,People Group
229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51094593,R5806,Residential Care (Adults),3076,04/10/2016,People Group
229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51094593,R5806,Residential Care (Adults),1887.16,04/10/2016,People Group
229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51094593,R5806,Residential Care (Adults),2840,04/10/2016,People Group
229387,ADELAIDE HOUSE (B & E THORPE-SMITH),51094593,R5806,Residential Care (Adults),8571.43,04/10/2016,People Group
232001,Adullam Homes Housing Association Ltd,51103348,R5459,Leaving Care Accommodation,3080,28/10/2016,People Group
200187,Advance Housing & Support Ltd,51109047,R5805,Homecare - External Domiciliary (Adults),716.1,27/10/2016,People Group
226666,Advance Trust T/A The Kingfisher School,51101933,R6107,SEN Statements Funding - Non-Maintained Schools,1112,18/10/2016,Communities
226666,Advance Trust T/A The Kingfisher School,51101932,R6107,SEN Statements Funding - Non-Maintained Schools,1831,18/10/2016,Communities
223797,Advance Trust T/A Vale of Evesham School,51098499,R6107,SEN Statements Funding - Non-Maintained Schools,3367.31,28/10/2016,Communities
223797,Advance Trust T/A Vale of Evesham School,51098505,R6107,SEN Statements Funding - Non-Maintained Schools,1830.77,28/10/2016,Communities
100301,ADVENT ESTATES LIMITED T/A Kilsby House,51094735,R5806,Residential Care (Adults),1923.48,04/10/2016,People Group
216354,After Adoption,51108149,R4702,Subscriptions To Organisations,12138,27/10/2016,People Group
230120,AG Instruments,51106509,C1060,Grants & Contributions To Outside Organisations,956.54,26/10/2016,Capital
230075,AGD Systems Ltd,51084319,R5702,Payments to External Contractors,2745.15,13/10/2016,Communities
200201,Age UK - Warks,51105634,R5702,Payments to External Contractors,3585.33,01/10/2016,Communities
200201,Age UK - Warks,51082424,R5208,Recycling Credits - Contract Payments,975,04/10/2016,Communities
200201,Age UK - Warks,51082424,R5208,Recycling Credits - Contract Payments,525,04/10/2016,Communities
200201,Age UK - Warks,51100871,R5807,SLA Social Care Provision,600,17/10/2016,People Group
200201,Age UK - Warks,51104706,R5208,Recycling Credits - Contract Payments,525,21/10/2016,Communities
200201,Age UK - Warks,51104706,R5208,Recycling Credits - Contract Payments,975,21/10/2016,Communities
200201,Age UK - Warks,51106235,R5702,Payments to External Contractors,3585.33,31/10/2016,Communities
200211,Airtay,51095809,R2751,Grounds Maintenance Non Contract,8476,13/10/2016,Communities
200211,Airtay,51095808,R2751,Grounds Maintenance Non Contract,4085,13/10/2016,Communities
100245,Albemarle Rest Home Ltd,51094595,R5806,Residential Care (Adults),6642.4,04/10/2016,People Group
100245,Albemarle Rest Home Ltd,51094595,R5806,Residential Care (Adults),2526.52,04/10/2016,People Group
100025,Albemarle Rest Home Ltd T/A Victoria Nursing Home,51094884,R5806,Residential Care (Adults),1849.96,04/10/2016,People Group
208797,Alcester Academy (ACAD) School,51099328,R4457,LAC Pupil Premium,600,13/10/2016,Communities
208797,Alcester Academy (ACAD) School,51104475,R6107,SEN Statements Funding - Non-Maintained Schools,3419,20/10/2016,Communities
208797,Alcester Academy (ACAD) School,51106580,R4701,Grants To External Organisations,3000,25/10/2016,Communities
