Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
228843,1st Care Ltd t/a Acorn Care Home,51080359,R5806,Residential Care (Adults),2916.44,05/09/2016,People Group
223628,A and K Home Care Services Ltd,51071795,R5805,Homecare - External Domiciliary (Adults),925.12,01/09/2016,People Group
223628,A and K Home Care Services Ltd,51074328,R5805,Homecare - External Domiciliary (Adults),695.52,01/09/2016,People Group
223628,A and K Home Care Services Ltd,51072256,R5805,Homecare - External Domiciliary (Adults),925.12,01/09/2016,People Group
223628,A and K Home Care Services Ltd,51071847,R5805,Homecare - External Domiciliary (Adults),528.64,01/09/2016,People Group
223628,A and K Home Care Services Ltd,51071814,R5805,Homecare - External Domiciliary (Adults),925.12,01/09/2016,People Group
223628,A and K Home Care Services Ltd,51071803,R5805,Homecare - External Domiciliary (Adults),2478,01/09/2016,People Group
223628,A and K Home Care Services Ltd,51090858,R5805,Homecare - External Domiciliary (Adults),1850.24,22/09/2016,People Group
223628,A and K Home Care Services Ltd,51086107,R5805,Homecare - External Domiciliary (Adults),925.12,30/09/2016,People Group
223628,A and K Home Care Services Ltd,51086132,R5805,Homecare - External Domiciliary (Adults),2478,30/09/2016,People Group
223628,A and K Home Care Services Ltd,51086155,R5805,Homecare - External Domiciliary (Adults),925.12,30/09/2016,People Group
223628,A and K Home Care Services Ltd,51086145,R5805,Homecare - External Domiciliary (Adults),693.84,30/09/2016,People Group
223628,A and K Home Care Services Ltd,51086140,R5805,Homecare - External Domiciliary (Adults),528.64,30/09/2016,People Group
223628,A and K Home Care Services Ltd,51086134,R5805,Homecare - External Domiciliary (Adults),925.12,30/09/2016,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51067233,R5848,Residential Care (Children),15000,02/09/2016,People Group
225317,A Lowrie Care Services Ltd T/A Cornerstone Children's Homes,51068608,R5848,Residential Care (Children),15000,09/09/2016,People Group
231594,AAT Recycling Ltd,51093124,R5702,Payments to External Contractors,578,29/09/2016,Communities
231594,AAT Recycling Ltd,51093116,R5702,Payments to External Contractors,739.5,29/09/2016,Communities
200114,Abacus Day Nursery,51050588,R6106,Private Providers - Early Years Funding,12241.9,05/09/2016,Communities
200114,Abacus Day Nursery,51084706,R6106,Private Providers - Early Years Funding,2286.9,26/09/2016,Communities
200115,Abacus Pre-School Nursery Ltd,51050585,R6106,Private Providers - Early Years Funding,7441.98,05/09/2016,Communities
223099,Abacus Training Centre Ltd,51079785,R1601,Training - External,2336,30/09/2016,Fire and Rescue
