Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
A EVANS (ENGINEERING) LTD,C28686,12/09/2011,"3,533.50",COMMUNITIES GROUP,0311,VEHICLE MAINTENANCE & REPAIRS (EXTERNAL JOBS),"PT373178,1"
A F BLAKEMORE & SON LTD,C22790,22/09/2011,"1,095.74",RESOURCES GROUP,BF12,CLEANING MATERIALS,"WA251501,2"
A F BLAKEMORE & SON LTD,C22790,22/09/2011,"1,314.64",RESOURCES GROUP,BF12,CLEANING MATERIALS,"WA251576,2"
A F BLAKEMORE & SON LTD,C22790,08/09/2011,"8,495.56",RESOURCES GROUP,DB40,FOOD,"WA250005,1"
A F BLAKEMORE & SON LTD,C22790,22/09/2011,"21,516.96",RESOURCES GROUP,DB40,FOOD,"WA251501,1"
A F BLAKEMORE & SON LTD,C22790,22/09/2011,"25,765.18",RESOURCES GROUP,DB40,FOOD,"WA251576,1"
A.L.A CARE LTD,CI7562,15/09/2011,"1,680.64",ADULT HEALTH AND COMMUNITY SERVICES,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1236954,1"
AALPS COLLEGE (MIDLANDS),CM411Z,15/09/2011,"6,000.00",ADULT HEALTH AND COMMUNITY SERVICES,R67A,RESIDENTIAL CARE EXTERNAL,"SS1236754,1"
AAP COUNSELLING,C28824,19/09/2011,"1,148.90",RESOURCES GROUP,D735,CONSULTANCY  COSTS,"CL197926,1"
AAP COUNSELLING,C28824,26/09/2011,531.52,RESOURCES GROUP,D735,CONSULTANCY  COSTS,"CL197927,1"
ABACUS DAY NURSERY,C21652,08/09/2011,"9,469.98",CHILDREN YOUNG PEOPLE AND FAMILIES,4321,PAYMENTS TO 3RD PARTIES FOR SERVICE PROVISION,"ED1232105,1"
ABACUS PRE-SCHOOL NURSERY LTD,D10219,08/09/2011,"5,150.34",CHILDREN YOUNG PEOPLE AND FAMILIES,4321,PAYMENTS TO 3RD PARTIES FOR SERVICE PROVISION,"ED1232106,1"
ABBERDALE RESIDENTIAL CARE HOME,D10226,15/09/2011,"1,636.20",ADULT HEALTH AND COMMUNITY SERVICES,R64A,RESIDENTIAL EMI SERVICES EXTERNAL,"SS1236756,1"
ABBEY FIELDS NURSERY & OUT OF SCHOOL CLUB,CE8449,08/09/2011,"16,614.00",CHILDREN YOUNG PEOPLE AND FAMILIES,4321,PAYMENTS TO 3RD PARTIES FOR SERVICE PROVISION,"ED1232107,1"
ABBEY FIELDS NURSERY & OUT OF SCHOOL CLUB,CE8449,19/09/2011,"1,038.37",CHILDREN YOUNG PEOPLE AND FAMILIES,4321,PAYMENTS TO 3RD PARTIES FOR SERVICE PROVISION,"ED1238293,1"
ABBEY PRESCHOOL,D10237,08/09/2011,"3,890.45",CHILDREN YOUNG PEOPLE AND FAMILIES,4321,PAYMENTS TO 3RD PARTIES FOR SERVICE PROVISION,"ED1232108,1"
ABBEYFIELD COVENTRY SOCIETY LTD,C20623,15/09/2011,"1,450.36",ADULT HEALTH AND COMMUNITY SERVICES,R67A,RESIDENTIAL CARE EXTERNAL,"SS1236903,4"
