Supplier ID,Supplier Name,Transaction Number,Account,Description,Amount,Pay date,Group
207756,2nd Chance Furniture Re-Use,50183982,R5207,Re-useable Credits,722.02,12/09/2012,Communities
200252,A Line Coaches,50186827,R5704,Public Transport,1436.40,18/09/2012,Communities
200252,A Line Coaches,50186827,R3204,Home To School / College Transport,3351.51,18/09/2012,Communities
200252,A Line Coaches,50186841,R3204,Home To School / College Transport,2052.61,18/09/2012,Communities
200252,A Line Coaches,50186841,R5704,Public Transport,3436.80,18/09/2012,Communities
200088,A R Cartwright - Construction  Ltd,50186129,C1030,"New Construction, Conversion & Renovation",10859.45,14/09/2012,Capital
215443,A.T.B. Systems Ltd,50186237,C1030,"New Construction, Conversion & Renovation",20333.00,17/09/2012,Capital
217017,AAA Training Co Ltd,50174598,R1601,Training - External,700.00,04/09/2012,Resources
200109,AAP Counselling Services Ltd,50186507,R4409,Consultancy,1908.80,28/09/2012,Resources
200114,Abacus Day Nursery,50148688,R5702,Payments to External Contractors,7642.44,05/09/2012,People Group
200115,Abacus Pre-School Nursery Ltd,50148693,R5702,Payments to External Contractors,8888.49,05/09/2012,People Group
200119,Abbey Fields Nursery & Out of School Club,50148720,R5702,Payments to External Contractors,21708.96,05/09/2012,People Group
200121,Abbey Preschool,50148644,R5702,Payments to External Contractors,2547.48,05/09/2012,People Group
208345,ACM Management Solutions Ltd,50193791,C1030,"New Construction, Conversion & Renovation",2970.00,28/09/2012,Capital
200142,Acorn Fostering Services Ltd,50178937,R5822,Foster Care Payments - External,3325.86,03/09/2012,People Group
200142,Acorn Fostering Services Ltd,50178945,R5822,Foster Care Payments - External,3325.86,03/09/2012,People Group
200142,Acorn Fostering Services Ltd,50178946,R5822,Foster Care Payments - External,2841.43,03/09/2012,People Group
200142,Acorn Fostering Services Ltd,50187924,R5801,Other Child Care,3172.19,21/09/2012,People Group
200142,Acorn Fostering Services Ltd,50187925,R5801,Other Child Care,2967.53,21/09/2012,People Group
200142,Acorn Fostering Services Ltd,50187934,R5801,Other Child Care,3250.57,21/09/2012,People Group
200143,Acorn Nursery School,50148560,R5702,Payments to External Contractors,5621.07,05/09/2012,People Group
200145,Acorn Tree Surgery Ltd,50181260,R5702,Payments to External Contractors,9057.00,07/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50181282,R5702,Payments to External Contractors,3584.62,07/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50193247,R5702,Payments to External Contractors,1470.24,27/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50193250,R5702,Payments to External Contractors,979.98,27/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50193256,R5702,Payments to External Contractors,618.77,27/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50193257,R5702,Payments to External Contractors,2135.40,27/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50193261,R5702,Payments to External Contractors,7070.00,27/09/2012,Communities
200145,Acorn Tree Surgery Ltd,50193262,R5702,Payments to External Contractors,3491.82,27/09/2012,Communities
200146,Acorn Wood Day Nursery,50148706,R5702,Payments to External Contractors,4818.06,05/09/2012,People Group
,Act*NG Events Ltd,Pcard,R4601,Next Gen Conference,520.20,23/09/2012,People Group
200152,Action 21,50184014,R5207,Re-useable Credits,903.53,12/09/2012,Communities
