,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,
INSERTED DETAIL,228843,1st Care Ltd t/a Acorn Care Home,50883610,R5806,Residential Care (Adults),2916.44,07/09/2015,People Group,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50877535,R5604,Commissioned Works,3000.00,01/09/2015,People Group,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50877297,R5604,Commissioned Works,3750.00,01/09/2015,People Group,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50877271,R5604,Commissioned Works,2000.00,01/09/2015,People Group,,
INSERTED DETAIL,224477,1st Class School Improvement Ltd,50877290,R5604,Commissioned Works,3000.00,01/09/2015,People Group,,
INSERTED DETAIL,200014,3P Learning Ltd,50894332,R4056,Learning Resources Curriculum,1134.00,28/09/2015,Schools,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50872570,R5805,Homecare - External Domiciliary (Adults),2464.00,02/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882266,R5805,Homecare - External Domiciliary (Adults),896.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882265,R5805,Homecare - External Domiciliary (Adults),560.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882262,R5805,Homecare - External Domiciliary (Adults),896.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882261,R5805,Homecare - External Domiciliary (Adults),944.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882260,R5805,Homecare - External Domiciliary (Adults),724.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882259,R5805,Homecare - External Domiciliary (Adults),560.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882187,R5805,Homecare - External Domiciliary (Adults),560.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882147,R5805,Homecare - External Domiciliary (Adults),672.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882267,R5805,Homecare - External Domiciliary (Adults),560.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882268,R5805,Homecare - External Domiciliary (Adults),672.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882269,R5805,Homecare - External Domiciliary (Adults),576.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882295,R5805,Homecare - External Domiciliary (Adults),896.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50882294,R5805,Homecare - External Domiciliary (Adults),576.00,03/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50885466,R5805,Homecare - External Domiciliary (Adults),1008.00,11/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886154,R5805,Homecare - External Domiciliary (Adults),2464.00,16/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886279,R5805,Homecare - External Domiciliary (Adults),896.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886278,R5805,Homecare - External Domiciliary (Adults),672.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886277,R5805,Homecare - External Domiciliary (Adults),896.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886276,R5805,Homecare - External Domiciliary (Adults),560.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886274,R5805,Homecare - External Domiciliary (Adults),896.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886273,R5805,Homecare - External Domiciliary (Adults),944.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886272,R5805,Homecare - External Domiciliary (Adults),560.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886271,R5805,Homecare - External Domiciliary (Adults),1792.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50886270,R5805,Homecare - External Domiciliary (Adults),560.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50890178,R5805,Homecare - External Domiciliary (Adults),672.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50890142,R5805,Homecare - External Domiciliary (Adults),1008.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50887129,R5805,Homecare - External Domiciliary (Adults),560.00,30/09/2015,People Group,,
INSERTED DETAIL,223628,A and K Home Care Services Ltd,50895523,R5805,Homecare - External Domiciliary (Adults),896.00,30/09/2015,People Group,,
