Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
,1pp Education Ltd,16583,,,"2,895.00",09/09/2019,Resources,
,4imprint,44546,,,888.20,30/09/2019,Communities,
200114,Abacus Day Nursery,51551360,R6106,Early Years Funding (PVIs and LA),800.00,03/09/2019,Communities,
200114,Abacus Day Nursery,51557199,R6106,Early Years Funding (PVIs and LA),"28,227.39",12/09/2019,Communities,
200114,Abacus Day Nursery,51558038,R6106,Early Years Funding (PVIs and LA),"3,888.15",16/09/2019,Communities,
200115,Abacus Pre-School Nursery Ltd,51557307,R6106,Early Years Funding (PVIs and LA),"7,334.71",12/09/2019,Communities,
200115,Abacus Pre-School Nursery Ltd,51558093,R6106,Early Years Funding (PVIs and LA),777.63,16/09/2019,Communities,
223099,Abacus Training Centre Ltd,51552086,R1601,Training,575.00,09/09/2019,Fire and Rescue,
223099,Abacus Training Centre Ltd,51552084,R1601,Training,575.00,16/09/2019,Fire and Rescue,
221450,Abbey Fire (UK) Ltd,51552019,R2023,Property Services Mechanical (LM),533.55,04/09/2019,Resources,
221450,Abbey Fire (UK) Ltd,51552017,R2023,Property Services Mechanical (LM),953.40,13/09/2019,Resources,
221450,Abbey Fire (UK) Ltd,51552633,R2023,Property Services Mechanical (LM),681.85,20/09/2019,Resources,
231359,Abbey Offices Park Ltd,51554343,R4015,Equipment Repair & Maintenance,"2,133.00",27/09/2019,Communities,
231359,Abbey Offices Park Ltd,51554050,R4015,Equipment Repair & Maintenance,685.00,27/09/2019,Communities,
201875,About Interiors Ltd t/a E & M Services,51549711,R2002,Building Maintenance,"3,727.75",11/09/2019,Communities,
239033,Acorn Academy & Slim Fit 5K,51554597,R1601,Training,"5,000.00",26/09/2019,People Group,
215546,Acorn Care and Education Ltd,51547705,R5806,Residential Care,"79,333.34",05/09/2019,People Group,
215546,Acorn Care and Education Ltd,51546525,R5806,Residential Care,"-1,306.04",05/09/2019,People Group,
215546,Acorn Care and Education Ltd,51546524,R5806,Residential Care,"-79,552.62",05/09/2019,People Group,
215546,Acorn Care and Education Ltd,51554799,R5806,Residential Care,"79,333.34",05/09/2019,People Group,
200145,Acorn Tree Surgery Ltd,51545696,R5702,Payments to External Contractors,675.00,03/09/2019,Communities,
200146,Acorn Wood Day Nursery,51557315,R6106,Early Years Funding (PVIs and LA),"31,446.90",12/09/2019,Communities,
200146,Acorn Wood Day Nursery,51558118,R6106,Early Years Funding (PVIs and LA),"2,332.89",16/09/2019,Communities,
215891,Action For Children (****6746),51554146,R5806,Residential Care,"50,625.00",27/09/2019,People Group,
220313,Adana Management Group Ltd,51554210,R2002,Building Maintenance,630.00,27/09/2019,Communities,
220313,Adana Management Group Ltd,51554245,R2002,Building Maintenance,630.00,27/09/2019,Communities,
220313,Adana Management Group Ltd,51554519,R1101,Agency Staff Pay,"2,359.72",27/09/2019,Resources,
220313,Adana Management Group Ltd,51554209,R2002,Building Maintenance,570.00,27/09/2019,Communities,
200184,ADT Fire and Security Plc,51557442,R2002,Building Maintenance,741.40,19/09/2019,Fire and Rescue,
200188,Advanced Health & Care Ltd,51554161,R4513,Telephones & Broadband,992.00,26/09/2019,People Group,
234328,AFFPRO Solutions Ltd,51554391,R4409,Consultancy,"10,000.00",27/09/2019,People Group,
200201,Age UK Warwickshire,51554066,R5208,Recycling/re-use Credits,500.00,03/09/2019,Communities,
200201,Age UK Warwickshire,51554066,R5208,Recycling/re-use Credits,500.00,03/09/2019,Communities,
200201,Age UK Warwickshire,51554066,R5208,Recycling/re-use Credits,"1,000.00",03/09/2019,Communities,
200201,Age UK Warwickshire,51554066,R5208,Recycling/re-use Credits,"1,000.00",03/09/2019,Communities,
200201,Age UK Warwickshire,51554066,R5208,Recycling/re-use Credits,"1,000.00",03/09/2019,Communities,
200201,Age UK Warwickshire,51554066,R5208,Recycling/re-use Credits,500.00,03/09/2019,Communities,
200201,Age UK Warwickshire,51552650,R5807,Social Care Block Contracts,"12,916.66",06/09/2019,People Group,
200201,Age UK Warwickshire,51553334,R5807,Social Care Block Contracts,"4,985.00",13/09/2019,People Group,
200201,Age UK Warwickshire,51553336,R5807,Social Care Block Contracts,"4,985.00",13/09/2019,People Group,
200201,Age UK Warwickshire,51553328,R5807,Social Care Block Contracts,"1,994.00",13/09/2019,People Group,
200201,Age UK Warwickshire,51551621,R5807,Social Care Block Contracts,"1,994.00",13/09/2019,People Group,
