Supplier ID,Supplier,TransNo,Account,Description, Amount ,Pay date,Group
208796,9th St Marieïs Scout Group,50012655,R5501,Grants to Organisations & Voluntary Bodies," 1,000.00 ",30/11/2011,Communities
200045,A E Maintenance,50006807,R2022,Building (LB)," 1,050.00 ",10/11/2011,Resources
200045,A E Maintenance,50006807,R2022,Building (LB)," 12,145.00 ",10/11/2011,Resources
200088,A R Cartwright - Construction  Ltd,50013908,R2022,Building (LB)," 1,650.35 ",29/11/2011,Resources
200109,AAP Counselling Services Ltd,50007589,R4409,Consultancy, 664.40 ,14/11/2011,Resources
200109,AAP Counselling Services Ltd,50007599,R4409,Consultancy," 1,207.10 ",16/11/2011,Resources
200109,AAP Counselling Services Ltd,50013378,R4409,Consultancy," 1,820.00 ",30/11/2011,Resources
200109,AAP Counselling Services Ltd,50013407,R4409,Consultancy, 700.30 ,30/11/2011,Resources
200111,Aba Taxis,50010827,R3204,Home To School / College Transport, 665.00 ,18/11/2011,Communities
200114,Abacus Day Nursery,50011206,R5702,Payments to External Contractors," 3,712.02 ",22/11/2011,People Group
200115,Abacus Pre-School Nursery Ltd,50011187,R5702,Payments to External Contractors," 9,640.74 ",22/11/2011,People Group
200119,Abbey Fields Nursery & Out of School Club,50011071,R5702,Payments to External Contractors," 23,531.95 ",22/11/2011,People Group
200123,Abbots Farm Community Playgroup,50011123,R5702,Payments to External Contractors," 8,707.44 ",22/11/2011,People Group
200126,Abc Taxi,50007634,R3204,Home To School / College Transport," 1,408.00 ",14/11/2011,Communities
200126,Abc Taxi,50007635,R3204,Home To School / College Transport," 1,500.00 ",09/11/2011,Communities
200133,Abs Skip-Hire Ltd,50011465,R5206,Excess / Bulk haulage," 1,500.48 ",24/11/2011,Communities
200133,Abs Skip-Hire Ltd,50011482,R5206,Excess / Bulk haulage," 2,184.07 ",24/11/2011,Communities
208450,Access Cleaning Services,50010305,R2022,Building (LB)," 1,990.00 ",18/11/2011,Resources
208450,Access Cleaning Services,50010336,R2022,Building (LB)," 4,787.00 ",18/11/2011,Resources
208450,Access Cleaning Services,50010338,R2022,Building (LB)," 1,997.00 ",18/11/2011,Resources
200142,Acorn Fostering Services Ltd,50012725,R5801,Other Child Care," 3,172.19 ",30/11/2011,People Group
200142,Acorn Fostering Services Ltd,50012730,R5801,Other Child Care," 2,995.49 ",28/11/2011,People Group
200142,Acorn Fostering Services Ltd,50012732,R5801,Other Child Care," 3,250.57 ",30/11/2011,People Group
200142,Acorn Fostering Services Ltd,50012751,R5801,Other Child Care," 3,303.71 ",28/11/2011,People Group
200142,Acorn Fostering Services Ltd,50012752,R5801,Other Child Care," 3,054.39 ",28/11/2011,People Group
200142,Acorn Fostering Services Ltd,50012754,R5801,Other Child Care," 3,138.53 ",28/11/2011,People Group
200143,Acorn Nursery School,50011080,R5702,Payments to External Contractors," 5,790.00 ",22/11/2011,People Group
200143,Acorn Nursery School,50014372,R4606,Pre-School Teachers Flexible Payments, 500.00 ,29/11/2011,People Group
200145,Acorn Tree Surgery Ltd,50015239,R5702,Payments to External Contractors, 994.79 ,30/11/2011,Communities
200146,Acorn Wood Day Nursery,50011042,R5702,Payments to External Contractors," 1,760.65 ",22/11/2011,People Group
210249,Actica Consulting Ltd,50007858,R4512,Software," 1,875.00 ",18/11/2011,Fire and Rescue
200152,Action 21,50011721,R4403,Business Support Activities," 2,500.00 ",23/11/2011,Communities
200203,Age UK Leamington Spa,50012679,R5501,Grants to Organisations & Voluntary Bodies," 4,800.00 ",30/11/2011,Communities
208271,Airwave Solutions Ltd,50007673,R3003,Radio Installations," 6,662.50 ",17/11/2011,Fire and Rescue
208271,Airwave Solutions Ltd,50007674,R3003,Radio Installations, 816.03 ,18/11/2011,Fire and Rescue
200223,Alan Robinson Property Rental,50013650,R2802,Material Damage Insurance Premiums, 566.25 ,28/11/2011,Resources
208344,Alcatel - Lucent UK,50012113,R4503,Hardware," 10,305.99 ",23/11/2011,Resources
208344,Alcatel - Lucent UK,50012113,R4512,Software," 6,106.98 ",23/11/2011,Resources
208344,Alcatel - Lucent UK,50012117,R4512,Software," 15,182.31 ",28/11/2011,Resources
200237,Alcester Nursery Studio,50011132,R5702,Payments to External Contractors," 8,861.58 ",22/11/2011,People Group
200252,A-Line Coaches,50009717,R3204,Home To School / College Transport," 2,082.72 ",16/11/2011,Communities
200252,A-Line Coaches,50009717,R3204,Home To School / College Transport, 587.20 ,16/11/2011,Communities
200252,A-Line Coaches,50009717,R5704,Public Transport," 1,653.31 ",16/11/2011,Communities
200252,A-Line Coaches,50013313,R5204,Concessionary Fares," 3,171.15 ",25/11/2011,Communities
207709,Allen Ford,50008669,R4030,Materials, 515.36 ,22/11/2011,Communities
200285,Alpha Electrical Midlands Ltd,50010519,R2024,Electrical (LE)," 1,998.50 ",18/11/2011,Resources
200285,Alpha Electrical Midlands Ltd,50015107,R2024,Electrical (LE)," 1,320.00 ",30/11/2011,Resources
200285,Alpha Electrical Midlands Ltd,50015108,R2024,Electrical (LE)," 1,995.00 ",30/11/2011,Resources
200285,Alpha Electrical Midlands Ltd,50015121,R2024,Electrical (LE)," 1,995.00 ",30/11/2011,Resources
200285,Alpha Electrical Midlands Ltd,50015122,R2024,Electrical (LE)," 1,995.00 ",30/11/2011,Resources
200287,Alsters Kelley Solicitors,50006755,R4443,Professional Fees Admin, 500.00 ,04/11/2011,Resources
200287,Alsters Kelley Solicitors,50011270,R4443,Professional Fees Admin, 600.00 ,29/11/2011,Resources
200303,Amce Construction Ltd,50014675,R2022,Building (LB), 869.00 ,30/11/2011,Resources
200303,Amce Construction Ltd,50014675,R2022,Building (LB)," 1,305.00 ",30/11/2011,Resources
208885,Ameeca Ltd,50004509,C1030,"New Construction, Conversion & Renovation"," 1,980.00 ",04/11/2011,Capital
200349,Anglia Dna Services,50010274,R4443,Professional Fees Admin, 560.00 ,29/11/2011,Resources
200349,Anglia Dna Services,50010281,R4443,Professional Fees Admin, 595.00 ,29/11/2011,Resources
200349,Anglia Dna Services,50010295,R4443,Professional Fees Admin, 560.00 ,29/11/2011,Resources
200349,Anglia Dna Services,50010311,R4443,Professional Fees Admin, 560.00 ,29/11/2011,Resources
200351,Angloco Ltd,50008432,R4030,Materials," 1,005.30 ",15/11/2011,Communities
210712,Annes Pre-School Education Service,50011252,R5702,Payments to External Contractors, 553.80 ,22/11/2011,People Group
210713,Apple Grove Day Nursery,50011216,R5702,Payments to External Contractors," 5,155.80 ",22/11/2011,People Group
209047,Apple Transcription Ltd,50006752,R4443,Professional Fees Admin," 1,654.24 ",07/11/2011,Resources
200397,Apse,50013493,R1601,Training - External," 1,726.79 ",30/11/2011,Resources
200419,Arden Construction Ltd,50003340,C1030,"New Construction, Conversion & Renovation"," 4,635.00 ",07/11/2011,Capital
200419,Arden Construction Ltd,50004292,R2022,Building (LB)," 1,582.72 ",01/11/2011,Resources
200419,Arden Construction Ltd,50005253,C1030,"New Construction, Conversion & Renovation"," 3,442.22 ",01/11/2011,Capital
