Supplier ID,Supplier,TransNo,Account,Description, Amount ,Pay date,Group
200045,A E Maintenance,50005739,R2022,Building (LB)," 17,957.60 ",27/10/2011,Resources
200045,A E Maintenance,50005739,R2022,Building (LB)," 14,170.00 ",27/10/2011,Resources
208450,Access Cleaning Services,50003487,R2022,Building (LB)," 4,900.00 ",19/10/2011,Resources
200223,Alan Robinson Property Rental,50004480,R2201,Rent," 4,125.00 ",26/10/2011,Resources
208507,Allamo Services Ltd,50006204,R2022,Building (LB)," 1,130.00 ",31/10/2011,Resources
200416,Arco Ltd,50003054,R4205,Uniforms, 711.19 ,17/10/2011,Fire and Rescue
200419,Arden Construction Ltd,50005769,C1030,"New Construction, Conversion & Renovation"," 9,000.00 ",27/10/2011,Capital
200419,Arden Construction Ltd,50004411,C1030,"New Construction, Conversion & Renovation"," 15,500.00 ",25/10/2011,Capital
200419,Arden Construction Ltd,50001286,C1030,"New Construction, Conversion & Renovation", 676.00 ,31/10/2011,Capital
200419,Arden Construction Ltd,50004101,R2022,Building (LB), 704.34 ,21/10/2011,Resources
200419,Arden Construction Ltd,50003364,R2022,Building (LB)," 1,262.43 ",27/10/2011,Resources
200419,Arden Construction Ltd,50004831,R2022,Building (LB), 548.47 ,26/10/2011,Resources
200419,Arden Construction Ltd,50004311,R2022,Building (LB)," 1,195.64 ",24/10/2011,Resources
200419,Arden Construction Ltd,50004833,R2022,Building (LB), 881.92 ,26/10/2011,Resources
200419,Arden Construction Ltd,50004979,R2022,Building (LB), 603.75 ,31/10/2011,Resources
200419,Arden Construction Ltd,50003339,R2022,Building (LB)," 6,066.00 ",18/10/2011,Resources
200419,Arden Construction Ltd,50003459,R2022,Building (LB)," 12,824.00 ",19/10/2011,Resources
200419,Arden Construction Ltd,50003365,R2022,Building (LB)," 19,193.19 ",18/10/2011,Resources
200419,Arden Construction Ltd,50004981,R2022,Building (LB), 502.42 ,27/10/2011,Resources
200419,Arden Construction Ltd,50004291,R2022,Building (LB)," 1,615.41 ",24/10/2011,Resources
200419,Arden Construction Ltd,50004887,R2022,Building (LB), 534.73 ,26/10/2011,Resources
200761,Blakemore Foods Service,50005503,R2709,Cleaning Materials, 953.91 ,27/10/2011,Resources
200761,Blakemore Foods Service,50005202,R2709,Cleaning Materials, 972.24 ,26/10/2011,Resources
200761,Blakemore Foods Service,50005770,R2709,Cleaning Materials, 804.97 ,27/10/2011,Resources
200761,Blakemore Foods Service,50005503,R4104,Food Costs / Provisions," 26,183.14 ",27/10/2011,Resources
200761,Blakemore Foods Service,50005202,R4104,Food Costs / Provisions," 24,018.29 ",26/10/2011,Resources
200761,Blakemore Foods Service,50005770,R4104,Food Costs / Provisions," 18,500.82 ",27/10/2011,Resources
200765,Blk Catering,50002728,R4104,Food Costs / Provisions, 995.00 ,19/10/2011,Fire and Rescue
208354,Blue Diamond Plumbing & Heating,50004342,C1030,"New Construction, Conversion & Renovation"," 10,800.00 ",25/10/2011,Capital
208315,Bob Watts Design & Construction,50002804,C1030,"New Construction, Conversion & Renovation"," 2,565.00 ",19/10/2011,Capital
200867,Bristol Managed Services Ltd,50002294,R4019,Fire Equipment Purchase," 17,950.51 ",13/10/2011,Fire and Rescue
200867,Bristol Managed Services Ltd,50002296,R4019,Fire Equipment Purchase," 17,950.51 ",13/10/2011,Fire and Rescue
200869,Britannia Promotion UK Ltd,50003860,R4044,Stock For Re-Sale Or Hire, 696.00 ,20/10/2011,Resources
200891,British Telecom Plc,50002764,R4514,Telephone Rental, 557.50 ,21/10/2011,Fire and Rescue
