Supplier Name,Supplier ID,Payment Date,Amount,Spend Area, Account Code,Account Description,Internal Reference Number
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,505.44,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274145,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,524.88,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274736,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,537.84,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274716,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,537.84,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274774,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,544.32,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274205,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,544.32,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274373,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,544.32,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274719,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,544.32,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274980,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,550.80,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274720,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,631.80,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274085,2"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,654.48,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274182,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,690.12,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274332,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,719.28,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274203,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,719.28,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274181,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,719.28,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274381,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,777.60,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274718,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,867.24,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274727,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,920.16,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274206,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,952.56,ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274249,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,046.52",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274113,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,069.20",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274204,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,075.68",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274985,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,082.16",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274128,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,082.16",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1275001,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,082.16",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1275321,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,159.92",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1275018,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,189.08",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1275320,1"
ALLIED HEALTHCARE GROUP LTD,C22436,02/04/2012,"1,218.24",ADULT HEALTH AND COMMUNITY SERVICES,H21A,HOMECARE EXTERNAL,"SS1274737,1"
